,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
11/27/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,38.2939,18.4053,0.43363245991366894,0.4793924623096766,0.9690683820812731,1.520522380651745,-0.00720217154027436,-0.030931617918726895,0.14256261226048617,0.01672343387842301,0.01160490439852841,0.01408865256063357
11/28/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,38.2939,18.4053,0.42064454856744304,0.43684173427860196,0.9690683820812731,1.520522380651745,0.0,-0.011272769522727488,0.14256261226048617,0.01672343387842301,0.010807897128874372,0.01408865256063357
11/29/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,38.4527,18.4053,0.5103478073017931,0.5103478073017931,0.9730869871090845,1.5268277962413688,0.0041468745674897445,0.0,0.14783836466159794,0.01672343387842301,0.010739685851272742,0.01408647237588139
12/2/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,38.4051,18.4053,0.488840990412982,0.506375192380007,0.971882417843821,1.524937759830373,-0.0012378844658502697,-0.01163999650002323,0.13206229052996465,0.01672343387842301,0.010469692557932913,0.01402988946584208
12/3/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,39.659,18.4053,0.574725924867082,0.5365956314746654,1.0,1.5558650451157316,0.03264930959690249,0.024814787060030374,0.15881345730164398,0.03264930959690249,0.012677608241867344,0.014527337818512148
12/4/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,39.4209,18.4053,0.5465241271086703,0.49981953707336224,0.9939963186162032,1.5323011979818555,-0.006003681383796811,0.031140139784046283,0.14188676403283673,0.03264930959690249,0.012423963555182932,0.014543122549816944
12/5/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,39.4924,18.4053,0.5029779914066397,0.4513264906131427,0.9957991880783682,1.5350804225976227,0.0018137586914555026,0.03558916696385506,0.13005259332596997,0.03264930959690249,0.012389703556559925,0.014485639916466885
12/6/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,40.7543,18.4053,0.5591555815706213,0.4343597807082984,1.0,1.5841308217953403,0.03195298335882346,0.0870045315971546,0.15704645015856245,0.03264930959690249,0.01327330570678933,0.01495204043916674
12/9/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,40.6432,18.4053,0.5517350651532333,0.45537394863336655,0.9972739072932181,1.5798123343154555,-0.002726092706781924,0.06621055475835069,0.14952879818081022,0.03264930959690249,0.013021975864582327,0.014964986933730476
12/10/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,41.3813,18.4053,0.5338792061738737,0.42885366703486505,1.0,1.6085024838105308,0.018160479489804038,0.07350335556541365,0.17694924316975658,0.03264930959690249,0.01332129278189971,0.015061509769928793
12/11/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,41.8019,18.4053,0.5538642252034243,0.4007486460064158,1.0,1.624851321200625,0.010164011280457519,0.1093098177417815,0.18388125474380623,0.03264930959690249,0.011983467887430424,0.015089726959444556
12/12/2013,5628.0,77.4266,129736.9759,37.0916,11.3053,41.5797,18.4053,0.5456045855497196,0.411666090499184,0.9946844521421275,1.6162143462408558,-0.005315547857872471,0.09487972825299851,0.15368735901355968,0.03264930959690249,0.012171703436275695,0.01494678387944301
