,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/22/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2284,3.6072,-0.2693683622135272,-0.15845444382336504,0.6399353748990233,1.141671761725915,-0.007177851202005425,-0.1317978778167085,-0.2602507145080506,0.04000476247172302,0.025887328655946132,0.03290592858181768
6/23/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2914,3.6072,-0.2795915588835942,-0.14923076923076917,0.647646324447382,1.155428421696218,0.012049575395914669,-0.15322696794635848,-0.2391291844012423,0.04000476247172302,0.024260761210324704,0.03293373548483102
6/24/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.1402,3.6072,-0.31023469894392186,-0.18851062116718775,0.6291400455313212,1.1224124377674907,-0.028574668329742647,-0.15000082681527294,-0.2608708155987576,0.04000476247172302,0.02408609801346024,0.033077086014210624
6/25/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.0898,3.6072,-0.298616470069452,-0.17882537757689332,0.6229712858926343,1.1114071097912481,-0.009805065950741154,-0.14587773321474717,-0.2518520696142992,0.04000476247172302,0.024037610593419766,0.03300938356216413
6/28/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2410000000000005,3.6072,-0.21287396371500655,-0.10502523128679564,0.6414775648086951,1.1444230937199755,0.029706471767063647,-0.12050477421087069,-0.23948689671184364,0.04000476247172302,0.02532225941157274,0.03321539068702537
6/29/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2158,3.6072,-0.23756760707498914,-0.12891390147639237,0.6383931849893516,1.1389204297318543,-0.004808242701774601,-0.12473360071151696,-0.23333137347130772,0.04000476247172302,0.025289052158985453,0.03319569858321174
6/30/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.1402,3.6072,-0.2642036101289741,-0.15780357577405923,0.6291400455313212,1.1224124377674907,-0.0144944207983434,-0.12633636440894025,-0.24444379115710257,0.04000476247172302,0.02531596645739426,0.03322009862573793
7/1/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2410000000000005,3.6072,-0.22819780284510938,-0.1613995817748064,0.6414775648086951,1.1444230937199755,0.01961013190148253,-0.0796544094405226,-0.1938039348397913,0.04000476247172302,0.02517465752423948,0.03293828707974374
7/2/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2410000000000005,3.6072,-0.27778084003968684,-0.20832873994046963,0.6414775648086951,1.1444230937199755,0.0,-0.08772845953002606,-0.13152269375445336,0.04000476247172302,0.025028804870174552,0.031738428179402804
7/5/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2410000000000005,3.6072,-0.3066726637739442,-0.2399989416869509,0.6414775648086951,1.1444230937199755,0.0,-0.08772845953002606,-0.10150691741955387,0.04000476247172302,0.025028804870174552,0.031478857605857315
7/6/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.1024,3.6072,-0.29258114159745996,-0.21047596600440888,0.624513475802306,1.1141584417853088,-0.02644533485975964,-0.10399325676957116,-0.03571833541217828,0.04000476247172302,0.025488118138936644,0.029403467700841148
7/7/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.0898,3.6072,-0.27663686880889093,-0.1745803902619274,0.6229712858926343,1.1114071097912481,-0.002469426152398868,-0.12364193598374618,-0.11014371131857759,0.04000476247172302,0.024859717705881898,0.027508834433710588
7/8/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2032,3.6072,-0.23730229694668803,-0.15788393603142725,0.6368509950796798,1.1361690977377936,0.022279853825297513,-0.09430809399477813,-0.09629012088370159,0.04000476247172302,0.025575414464161037,0.027653638923349114
7/9/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.3796,3.6072,-0.25284371050402077,-0.21609422091359842,0.6584416538150841,1.1746877456546423,0.03390221402214033,-0.04687998299138929,-0.09341242690304863,0.04000476247172302,0.02669183803358045,0.02771762614190383
7/12/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.4174,3.6072,-0.20147988738705547,-0.16990699114131158,0.6630682235440993,1.1829417416368242,0.007026544724514805,-0.038035371830385634,-0.11884972593158871,0.04000476247172302,0.02676312176316849,0.02732623470073692
7/13/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.4174,3.6072,-0.2036982596425212,-0.20740239887111955,0.6630682235440993,1.1829417416368242,0.0,0.00467341715811731,-0.1666692304142503,0.04000476247172302,0.02505941353257358,0.02626271491290258
7/14/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.682,3.6072,-0.265464417296878,-0.3094434748885011,0.6954542116472058,1.240719713512097,0.04884261823014735,0.06368639784342367,-0.09799501531916233,0.04884261823014735,0.027051086117619506,0.026788790384038495
7/15/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.7198,3.6072,-0.24270147890214355,-0.2794026135656503,0.700080781376221,1.248973709494279,0.006652587117212283,0.05093154007275946,-0.08651281641779118,0.04884261823014735,0.026829894504187234,0.0268002961101047
7/16/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.7702,3.6072,-0.21305438874038507,-0.31272161911516017,0.7062495410149079,1.2599790374705213,0.008811496905486216,0.14501726395999537,-0.08945732275015394,0.04884261823014735,0.0202594705162788,0.026777604766893927
7/19/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.745,3.6072,-0.23296706231057818,-0.3002576803428616,0.7031651611955644,1.2544763734824003,-0.004367266299261652,0.09616485403548936,-0.0674760984953009,0.04884261823014735,0.01887477904560238,0.02656255297540561
7/20/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.7072,3.6072,-0.25614858260019546,-0.3136265884652981,0.6985385914665493,1.2462223775002184,-0.00657963446475196,0.0837415973567277,-0.08668725695722446,0.04884261823014735,0.019029936394375137,0.026501607044985193
7/21/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.745,3.6072,0.017859041139576926,-0.07366854470075479,0.7031651611955644,1.2544763734824003,0.006623212783851917,0.09880651824649989,-0.08799390408458074,0.04884261823014735,0.01886190174323769,0.02649418832805354
7/22/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.7198,3.6072,0.1154926281301194,0.03194476948279901,0.700080781376221,1.248973709494279,-0.00438642297650127,0.08096156026760393,-0.06197418698853663,0.04884261823014735,0.018881144471474452,0.026201781122077845
7/23/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.619,3.6072,0.1136214994946192,0.01872881859801412,0.6877432620988471,1.226963053541794,-0.017622993810972543,0.09314812653204152,-0.1008017411064348,0.04884261823014735,0.018073831385235384,0.02608131134975543
7/26/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.115,3.6072,0.001233190439837939,-0.003699571319513706,0.6260556657119778,1.1169097737793694,-0.08969567538707945,0.004951078627843941,-0.14526343933292118,0.04884261823014735,0.027278316974731053,0.02790050777321753
7/27/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.0646,3.6072,-0.03481790635183801,-0.0012006174604081155,0.6198869060732909,1.105904445803127,-0.009853372434017516,-0.03365769891242132,-0.12419589126374753,0.04884261823014735,0.026523236127568742,0.027625885371911785
7/28/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,4.7875,3.6072,-0.06402737047898344,0.01970674486803503,0.5859709676629703,1.045396977902,-0.05471310666192808,-0.08211587867632963,-0.14220956066795676,0.04884261823014735,0.028976927956801533,0.02811873232755192
7/29/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.1402,3.6072,0.04615948223226285,0.04615948223226285,0.6291400455313212,1.1224124377674907,0.07367101827676259,0.0,-0.16049584347286405,0.07367101827676259,0.033381101340984654,0.026918066112195677
7/30/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.6442,3.6072,0.1666632216457553,0.08332127576014381,0.6908276419181905,1.2324657175299152,0.09805065950741199,0.0769318832283914,-0.08196028041183467,0.09805065950741199,0.03945758570280565,0.0297392820446693
8/2/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.8079,3.6072,0.20050021703631726,0.08332127576014381,0.7108638711414654,1.2682111974844965,0.029003224549094764,0.10816638046174387,-0.04555389393765097,0.09805065950741199,0.03980659932181498,0.029951153994285974
8/3/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.6316,3.6072,0.13309591356310713,0.05450594555441546,0.6892854520085188,1.2297143855358545,-0.03035520584032103,0.0745277618775042,-0.07643865719861587,0.09805065950741199,0.04056606535091445,0.030187457955798754
8/4/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.367000000000001,3.6072,0.03023322775698256,-0.020558594874748093,0.6568994639054125,1.1719364136605819,-0.04698487108459393,0.05185794920037634,-0.15476321715986574,0.09805065950741199,0.04157710955532543,0.030249417991083542
8/5/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.2284,3.6072,-0.0047967108268615055,-0.031178620374600174,0.6399353748990233,1.141671761725915,-0.025824482951369743,0.027230932453141454,-0.14433006562689232,0.09805065950741199,0.04204690131922907,0.030061093678768715
8/6/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.0898,3.6072,-0.03924344526870138,-0.017837929667591568,0.6229712858926343,1.1114071097912481,-0.026509065871012094,-0.021794280442804292,-0.16182791272128438,0.09805065950741199,0.04222470099995804,0.030215095965237932
8/9/1999,590.7869999999999,2.6037,18102.6194,0.6867,13.4382,5.1402,3.6072,-0.03774008761091763,0.007076266427046951,0.6291400455313212,1.1224124377674907,0.009902157255687882,-0.04450144992192728,-0.15000082681527294,0.09805065950741199,0.04157518690242786,0.03025343192726101
