,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/14/1999,61.902,82.9895,8858.5291,23.2122,44.9039,7.25,20.0537,0.05454545454545445,0.16363636363636358,0.8405797101449275,1.7575757575757576,-0.06451612903225812,-0.09375,0.5465017064846418,0.049180327868852514,0.030930999055554926,0.04415852394346908
6/15/1999,61.902,82.9895,8858.5291,23.2122,44.9039,6.75,20.0537,0.0,0.18518518518518512,0.782608695652174,1.6363636363636365,-0.06896551724137934,-0.15625,0.4024516933305631,0.049180327868852514,0.03397279130870848,0.04513458491630736
6/16/1999,61.902,82.9895,8858.5291,23.2122,44.9039,6.813,20.0537,-0.03539572419651704,0.13266317428854602,0.7899130434782609,1.6516363636363636,0.009333333333333194,-0.14837500000000003,0.4532849829351535,0.049180327868852514,0.03413644892620626,0.0449456717572581
6/17/1999,61.902,82.9895,8858.5291,23.2122,44.9039,7.063,20.0537,0.056070574162679465,0.1495215311004785,0.8188985507246377,1.7122424242424241,0.0366945545281081,-0.08129552549427677,0.4869473684210526,0.049180327868852514,0.03458791300748183,0.045095923626943625
6/18/1999,61.902,82.9895,8858.5291,23.2122,44.9039,7.25,20.0537,0.06414208131513277,0.17422574489945686,0.8405797101449275,1.7575757575757576,0.02647600169899489,-0.09375,0.4966969446738234,0.049180327868852514,0.033818412256623985,0.04513370199766628
6/21/1999,61.902,82.9895,8858.5291,23.2122,44.9039,7.25,20.0537,0.09433962264150941,0.2359245283018867,0.8405797101449275,1.7575757575757576,0.0,-0.1145578895945285,0.44999999999999996,0.049180327868852514,0.03324263753996872,0.045030284652723344
6/22/1999,61.902,82.9895,8858.5291,23.2122,44.9039,6.813,20.0537,0.028377358490565996,0.24528301886792447,0.7899130434782609,1.6516363636363636,-0.06027586206896551,-0.17418181818181822,0.13549999999999995,0.049180327868852514,0.035176003449839524,0.03849040534701086
6/23/1999,61.902,82.9895,8858.5291,23.2122,44.9039,6.563,20.0537,-0.027703703703703786,0.1945185185185183,0.760927536231884,1.591030303030303,-0.03669455452810799,-0.1860349745752201,0.10525429437521061,0.049180327868852514,0.03558981932140586,0.03877703622145426
6/24/1999,61.902,82.9895,8858.5291,23.2122,44.9039,6.938,20.0537,-0.059254237288135614,0.016949152542372836,0.8044057971014492,1.6819393939393938,0.05713850373304896,-0.07493333333333341,0.12120232708468004,0.05713850373304896,0.035549266642626975,0.03907100319496085
6/25/1999,61.902,82.9895,8858.5291,23.2122,44.9039,6.875,20.0537,-0.06779661016949157,0.03389830508474567,0.7971014492753623,1.6666666666666667,-0.009080426635918126,-0.09836065573770492,0.1577972381273156,0.05713850373304896,0.03527664749976269,0.03871316867208363
6/28/1999,61.902,82.9895,8858.5291,23.2122,44.9039,6.688,20.0537,-0.08546424176124712,0.09394229454396275,0.7754202898550724,1.6213333333333333,-0.027200000000000002,-0.16400000000000003,0.07007999999999992,0.05713850373304896,0.03337091658625911,0.0383712131299772
