,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
7/8/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,13.4059,17.6224,0.1582071241587255,0.3150923998030186,0.5876275554932145,1.4827075153459053,-0.018429299437675684,-0.11929600967034115,-0.2754625000675577,0.03312989057519755,0.03199039817555551,0.03722177636702517
7/9/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,12.6658,17.6224,0.10593227738679434,0.3550984056022213,0.5551863800540029,1.4008516286014492,-0.055207035708158325,-0.18387308787710854,-0.26385595387548233,0.03312989057519755,0.03319798056891999,0.03684308912886963
7/10/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.6357,17.6224,0.016662297946701488,0.35932721712538207,0.5100334887961566,1.2869214179063209,-0.08132924884334203,-0.2520842037602442,-0.32282470158938936,0.03312989057519755,0.036602648586160226,0.038100833884032806
7/11/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.8646,17.6224,0.04643635176969685,0.35397465183760946,0.5200669775923134,1.3122380136039375,0.019672215681050487,-0.2271374132820897,-0.30704310903707,0.03312989057519755,0.037293005365860214,0.03823150509161363
7/12/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,10.7583,17.6224,-0.05685205316127229,0.3217379107199214,0.47157397341936386,1.1898799977879777,-0.09324376717293459,-0.2864334606813117,-0.40631415138070326,0.03312989057519755,0.041343743620796236,0.0389388570541725
7/15/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.0253,17.6224,-0.003452795227550043,0.37930130609662416,0.48327751867307217,1.2194104960460102,0.02481804746103,-0.2774985419301569,-0.39741592746232934,0.03312989057519755,0.041850538150832964,0.039092804104582136
7/16/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.4068,17.6224,0.03102996339313968,0.42413341166900187,0.5,1.2616048222087044,0.03460223304581289,-0.2760299316446537,-0.3528130177246215,0.03460223304581289,0.041970691774773944,0.039257819883963166
7/17/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.4068,17.6224,0.017002344843572992,0.42516561014969545,0.5,1.2616048222087044,0.0,-0.28639707722336216,-0.38929875469799013,0.03460223304581289,0.041588279915841596,0.03835267836247494
7/18/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,10.6057,17.6224,-0.07084910288758062,0.3643117465657415,0.46488498088859276,1.1730022673229001,-0.07023003822281448,-0.31895998150621596,-0.43056032816459777,0.03460223304581289,0.04325796224227742,0.03916451475048822
7/19/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.3305,17.6224,-0.04193971166448218,0.28838625121549066,0.4966555037346144,1.2531659569761657,0.06834060929500185,-0.2563873703001227,-0.37970130623775056,0.06834060929500185,0.047083588550598666,0.04030130706754853
7/22/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.3305,17.6224,-0.0357185409610048,0.27921226872734084,0.4966555037346144,1.2531659569761657,0.0,-0.24619120484332369,-0.3585323323935369,0.06834060929500185,0.047167224940795165,0.04016861126558936
7/23/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.0787,17.6224,-0.04158520338425875,0.26402754468225,0.4856182277238138,1.2253165956976166,-0.022223202859538493,-0.24177696866830012,-0.35409451848742435,0.06834060929500185,0.047089099675990835,0.04011617104336073
7/24/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.6739,17.6224,0.013245033112582849,0.24171751451659107,0.5117079286039906,1.291146380578444,0.0537247149936364,-0.18399714808963952,-0.2981609181581526,0.06834060929500185,0.04915434021945476,0.040691792443538786
7/25/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.2466,17.6224,-0.04903394918192183,0.20967319156132436,0.492977872847775,1.2438865232538852,-0.036603020413058074,-0.21386531713522805,-0.27245557402819187,0.06834060929500185,0.04948775342603105,0.040023531750840446
7/26/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.3458,17.6224,-0.008667540410659647,0.25466142420270854,0.49732615632780447,1.2548581540673562,0.008820443511816878,-0.20988049806401288,-0.30643633051526087,0.06834060929500185,0.04957169384905426,0.039256211248285315
7/29/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,12.5666,17.6224,0.06257979960258742,0.22579799602587425,0.5508380965739733,1.3898799977879777,0.10759928784219697,-0.13315260503969817,-0.21868938075105693,0.10759928784219697,0.055734023884574053,0.041705991488566185
7/30/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,12.9938,17.6224,0.12113132986479602,0.10270149009050988,0.5695637689799067,1.4371287950008296,0.03399487530437839,0.016713353468646774,-0.19669871101356984,0.10759928784219697,0.0498802390742303,0.041953262165875325
7/31/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,12.5895,17.6224,0.09927003475193397,0.12591900529137479,0.5518418837886172,1.39241276336891,-0.03111483938493753,-0.02366863905325456,-0.16960186797530474,0.10759928784219697,0.05036412863951063,0.041407796372469476
8/1/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,12.5818,17.6224,0.12176246645447164,0.18774796943679162,0.5515043658168811,1.3915611347674612,-0.0006116207951070152,-0.05555513853129057,-0.1836626115166261,0.10759928784219697,0.0497917499832592,0.041339222787326574
8/2/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,12.475,17.6224,0.10547910002038141,0.18052761703899955,0.5468229477153977,1.3797489354642483,-0.008488451572906897,-0.06357201300114845,-0.20861483807530057,0.10759928784219697,0.04981312184039863,0.041220115935652606
8/5/2002,1873.539,31.0666,127942.3177,10.2249,27.3315,11.6586,17.6224,0.08754582513222808,0.2740179662503148,0.5110372760108005,1.2894541834872533,-0.06544288577154311,-0.14636539362699164,-0.31233115879625817,0.10759928784219697,0.05125039436022085,0.040720231418416075
