,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.2114,2.8898,0.04604038009995648,0.0475345762886521,0.9441096946062832,1.1282470625595429,0.003169449052341733,-0.0014263931926614681,0.09928139914448586,0.01708158547467975,0.009683891418028476,0.010460988025298901
6/28/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.3012,2.8898,0.05756986400644837,0.07040753695637703,0.9500754017551668,1.1353763099396634,0.00631887076572335,-0.011993257247077671,0.1176916524036169,0.011178073614480866,0.008993575860825168,0.010367082553245234
6/29/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.1441,2.8898,0.052505860029021134,0.07711426126427812,0.9396387359078437,1.122904096538584,-0.010985092160098464,-0.02284660237101721,0.09221692831604877,0.011178073614480866,0.00927589713971106,0.0104060775863845
6/30/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.7849,2.8898,0.03062361218066134,0.06568076977712645,0.9157759073123095,1.0943871070181013,-0.025395748050423772,-0.03289649076035861,0.06447926238812651,0.011178073614480866,0.010262430746497199,0.010941435692902696
7/1/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.9869,2.8898,0.04737835287774628,0.06736457444099986,0.9291954267340743,1.1104239441092412,0.014653715297173076,-0.018724831273064013,0.06913051786738023,0.014653715297173076,0.010853616581430687,0.01101511154452144
7/2/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.9869,2.8898,0.05069072497953009,0.0757205850316629,0.9291954267340743,1.1104239441092412,0.0,-0.023267993938589804,0.08936485065617839,0.014653715297173076,0.01078311084285993,0.010724172498415325
7/5/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.9869,2.8898,0.05570273758576172,0.08085199525998377,0.9291954267340743,1.1104239441092412,0.0,-0.023267993938589804,0.09501925907368558,0.014653715297173076,0.01078311084285993,0.010692759380990527
7/6/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.0094,2.8898,0.05740099178044966,0.08620338292235563,0.9306901751845184,1.1122102254684028,0.0016086480921433388,-0.026516572858036214,0.07630491234000703,0.014653715297173076,0.010714323228068486,0.010454823767380161
7/7/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.0094,2.8898,0.064164014371767,0.08462783048607259,0.9306901751845184,1.1122102254684028,0.0,-0.018867131691738814,0.09111725534483428,0.014653715297173076,0.010609755749026867,0.010283422049730933
7/8/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.942,2.8898,0.06074439270823828,0.08465717155117325,0.9262125731596326,1.1068593204191808,-0.0048110554342084555,-0.022046393524266406,0.07477644156645069,0.014653715297173076,0.010644214448642242,0.01024925426573232
7/9/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.0094,2.8898,0.0523809166097009,0.04731785368198871,0.9306901751845184,1.1122102254684028,0.004834313584851424,0.004834313584851424,0.08924239596939731,0.014653715297173076,0.009547321278889928,0.010183078204429456
7/12/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.9196,2.8898,0.06074299866641275,0.06758620689655159,0.9247244680356349,1.1050809780882822,-0.006409981869316184,-0.006409981869316184,0.0841232135207759,0.014653715297173076,0.009593930975176879,0.010223391537543432
7/13/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.0318,2.8898,0.07100713658741364,0.079578674197611,0.9321782803085161,1.1139885677993016,0.008060576453346346,-0.007939706308637495,0.0947462043784233,0.014653715297173076,0.009519625796624945,0.010250482433198345
7/14/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.9869,2.8898,0.06587159458944569,0.088115831586969,0.9291954267340743,1.1104239441092412,-0.003199874570618211,-0.020442894360870656,0.08376853817663377,0.014653715297173076,0.009262147000914893,0.01024350371681123
7/15/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.0318,2.8898,0.08144060546739529,0.11085849049332963,0.9321782803085161,1.1139885677993016,0.0032101466372105314,-0.026482117459326382,0.061800516076306655,0.014653715297173076,0.009009691759517125,0.00982910370547109
7/16/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.9645,2.8898,0.08152169703916545,0.10412100465462104,0.9277073216100765,1.1086456017783424,-0.004796248521216184,-0.0204681439083072,0.0225084388340131,0.014653715297173076,0.008777527598035866,0.008932980088145446
7/19/1999,141.0,80.3496,18287.3944,21.9409,22.7197,13.9196,2.8898,0.07279327326957019,0.09874297693274037,0.9247244680356349,1.1050809780882822,-0.003215295928962636,-0.02361762869748807,0.01104041372497755,0.014653715297173076,0.008788211802490698,0.008889292140098955
7/20/1999,141.0,80.3496,18287.3944,21.9409,22.7197,14.0767,2.8898,0.10462670872765512,0.10286893607671432,0.935161133882958,1.117553191489362,0.011286243857582035,0.0015938182620265362,0.03407062418735185,0.014653715297173076,0.008649967254537339,0.008874273862023186
