,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-671.0,45811.6516,1.6471,26.8109,893.5787,0.3348,0.21853391166891312,0.12258898809637442,0.9073631799572749,1.8141427737596751,0.007837090123604007,0.08546754385613275,0.009394049787492476,0.032840664290285204,0.016420561126018075,0.019451575536228508
6/28/1999,-671.0,45811.6516,1.6471,26.8109,896.8213,0.3348,0.23856779222938695,0.1695310168375206,0.9106558007945099,1.8207258977287146,0.0036287794236813387,0.05902945231717416,0.0036086753239661373,0.032840664290285204,0.015420221099852319,0.0194216462221003
6/29/1999,-671.0,45811.6516,1.6471,26.8109,901.9169,0.3348,0.22784070852119642,0.15285152799251467,0.9158300062895496,1.831070980839995,0.00568184542450112,0.06504669396523433,0.007223530194809591,0.032840664290285204,0.015417614734496352,0.0194324547958957
6/30/1999,-671.0,45811.6516,1.6471,26.8109,867.6375,0.3348,0.17870171536072954,0.1315687263031895,0.8810218070889336,1.7614769699276742,-0.038007270958111516,0.04165278516623783,-0.031058287432690124,0.032840664290285204,0.017381106029057947,0.020022890228525356
7/1/1999,-671.0,45811.6516,1.6471,26.8109,885.7037,0.3348,0.18587133329700456,0.15113871691051894,0.8993666990181438,1.798154954954955,0.020822290415063893,0.030172398752865037,-0.055798181942037006,0.032840664290285204,0.016553317676813565,0.01926045687487681
7/2/1999,-671.0,45811.6516,1.6471,26.8109,903.7698,0.3348,0.22778811836881574,0.17807244952729673,0.9177114894047389,1.8348327369623145,0.020397453459887416,0.04220085858171774,-0.036538869301458776,0.032840664290285204,0.016998444223751276,0.01944348020873185
7/5/1999,-671.0,45811.6516,1.6471,26.8109,903.7698,0.3348,0.24129744227595484,0.1986695780491503,0.9177114894047389,1.8348327369623145,0.0,0.03556264796190267,-0.030798329073943864,0.032840664290285204,0.016974862220187167,0.019430685354515365
7/6/1999,-671.0,45811.6516,1.6471,26.8109,896.3581,0.3348,0.19865315047624765,0.1949364031556915,0.9101854554013664,1.8197855094531152,-0.008200871505111174,0.0031104143373157367,-0.039223672731681036,0.032840664290285204,0.016319187606140685,0.01945573506704114
7/7/1999,-671.0,45811.6516,1.6471,26.8109,902.3801,0.3348,0.2027414419407214,0.17248764243883596,0.9163003516826931,1.8320113691155944,0.006718297073457613,0.02580308602567105,-0.03228864172002477,0.032840664290285204,0.015958894807800907,0.019476675152133943
7/8/1999,-671.0,45811.6516,1.6471,26.8109,887.0934,0.3348,0.21172658458572857,0.1737611912408632,0.9007778367401895,1.8009763228016749,-0.01694042233422477,0.03234507464395686,-0.06447542845572451,0.032840664290285204,0.015532814971986391,0.019460595332285918
