,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
1/15/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,5.5,18.5463,-0.6823104693140793,-0.7660649819494585,0.3044982698961938,2.5229357798165135,-0.0036231884057970065,0.3580246913580247,0.39949109414758266,0.16883116883116878,0.07840251030874908,0.08950559898100269
1/16/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,5.88,18.5463,-0.6744636678200693,-0.7757785467128028,0.34844444444444445,2.697247706422018,0.06909090909090909,0.45185185185185195,0.2923076923076924,0.16883116883116878,0.07907311699161464,0.08781315110700771
1/17/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,5.7,18.5463,-0.6622222222222223,-0.7718518518518518,0.4017621145374449,2.614678899082569,-0.030612244897959107,0.48051948051948057,0.019677996422182487,0.16883116883116878,0.07834156553621664,0.08325649470090021
1/18/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,5.3,18.5463,-0.6074074074074074,-0.6666666666666667,0.373568281938326,2.4311926605504586,-0.07017543859649134,0.1777777777777778,0.09278350515463929,0.1408761904761906,0.07309886867047125,0.0819757946920073
1/21/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,5.3,18.5463,-0.6264317180616741,-0.6475770925110131,0.3752212389380531,2.4311926605504586,0.0,0.06000000000000005,0.13978494623655902,0.1408761904761906,0.06937235900261032,0.08176764507435337
1/22/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.89,18.5463,-0.6538053097345133,-0.663716814159292,0.3461946902654867,2.2431192660550456,-0.07735849056603772,0.02947368421052632,0.20443349753694595,0.1408761904761906,0.07070350892668414,0.08070727765938164
1/23/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.42,18.5463,-0.6870796460176991,-0.663716814159292,0.3157142857142857,2.027522935779816,-0.09611451942740279,-0.06947368421052635,0.040000000000000036,0.1408761904761906,0.07399763044390717,0.08154944072677253
1/24/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.3,18.5463,-0.6928571428571428,-0.6571428571428571,0.32918660287081336,1.9724770642201832,-0.02714932126696834,-0.10416666666666663,0.0213776722090262,0.1408761904761906,0.07416703357428923,0.08162654241674393
1/25/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.45,18.5463,-0.6593301435406698,-0.6386602870813397,0.3406698564593302,2.041284403669725,0.03488372093023262,-0.05720338983050843,0.06459330143540676,0.1408761904761906,0.07452854413287416,0.08170933274642739
1/28/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.3,18.5463,-0.6708133971291866,-0.6478468899521531,0.32918660287081336,1.9724770642201832,-0.03370786516853941,-0.06521739130434778,-0.013761467889908396,0.1408761904761906,0.07469107842858567,0.0816933764751315
1/29/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.15,18.5463,-0.6541666666666666,-0.625,0.31770334928229665,1.9036697247706422,-0.0348837209302324,-0.07777777777777772,-0.09568324943888773,0.1408761904761906,0.07493277583267959,0.08158092783400789
1/30/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.55,18.5463,-0.5887005649717514,-0.5932203389830508,0.34832535885167465,2.087155963302752,0.09638554216867457,0.011111111111111072,-0.08817635270541091,0.1408761904761906,0.07789755917565788,0.08174168988388339
1/31/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.88,18.5463,-0.5733333333333334,-0.6240437158469945,0.37358851674641147,2.238532110091743,0.07252747252747249,0.1348837209302325,-0.08442776735459667,0.1408761904761906,0.07847942637062527,0.08180104369865113
2/1/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.95,18.5463,-0.5741935483870968,-0.6146236559139784,0.37894736842105264,2.270642201834862,0.014344262295082011,0.10491071428571419,-0.09999999999999998,0.1408761904761906,0.07813313309882616,0.0817268901498268
2/4/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,5.08,18.5463,-0.6035121951219512,-0.6487804878048781,0.38889952153110047,2.330275229357798,0.02626262626262621,0.12888888888888883,0.03462321792260692,0.1408761904761906,0.0782322096718721,0.08058233737681189
2/5/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.9,18.5463,-0.6248803827751196,-0.6157014354066985,0.3751196172248804,2.2477064220183487,-0.03543307086614167,-0.023884937946970997,-0.02970297029702962,0.1408761904761906,0.07479219115675997,0.08066719876855702
2/6/2002,207.97299999999998,72.0442,21857.9858,15.9973,56.3191,4.87,18.5463,-0.6271770334928229,-0.5980861244019139,0.3819607843137255,2.2339449541284404,-0.00612244897959191,-0.07238095238095232,-0.016161616161616155,0.1408761904761906,0.07411145335968701,0.0806241439736272
