,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
11/5/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.8944,16.3775,0.0986758312213698,-0.03511184412197721,0.9221052402719875,1.3092312243559237,-0.0013166802390039978,0.13865614841297713,0.04982580050289909,0.04672877825334498,0.016817452698054545,0.013906030768117337
11/6/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.2493,16.3775,0.17155717505703572,0.03602501794507207,0.9285353219660939,1.3183608370740993,0.006973262284259096,0.13081938637040613,0.06239505466485884,0.04672877825334498,0.016728147779820672,0.013906791332775382
11/7/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.808,16.3775,0.19138399200866663,0.05056019059142436,0.9205398442213514,1.3070086305580924,-0.008610849318917535,0.13404639037194443,0.04084467224701016,0.04672877825334498,0.016591903728262636,0.01388870391715265
11/10/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.5394,16.3775,0.2083596335188691,0.060870583959755864,0.9156733467768966,1.3000990391912228,-0.00528656904424496,0.13902642960331923,0.009973960987444075,0.04672877825334498,0.01641133656145908,0.013551773521441811
11/11/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.3859,16.3775,0.1992131531471495,0.034813094121735055,0.912892232265639,1.2961503337749367,-0.0030372343161968463,0.15886932621870598,0.011166076320251905,0.04672877825334498,0.015428931628454535,0.013546342155337508
11/12/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.3667,16.3775,0.1936000644591005,0.024449431598704274,0.9125443664766087,1.2956564240420854,-0.0003810589867403458,0.16511369682389132,0.0061387072158276546,0.04672877825334498,0.01524826658355749,0.013535098989222073
11/13/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.0022,16.3775,0.21184257403426465,0.0630348534825611,0.9059403518879873,1.286279856457484,-0.007236924396476274,0.13998385853878736,-0.008353264555741924,0.04672877825334498,0.01547524360218004,0.01353604258300637
11/14/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.1461,16.3775,0.21420598312328232,0.07622126175861688,0.9085475335047296,1.2899816070073442,0.0028778733735714823,0.1282122238871113,-0.004933058436700777,0.04672877825334498,0.015407879237448704,0.013540848737834508
11/17/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.6929,16.3775,0.22744585285536134,0.08597924914345212,0.9184544612881543,1.304047744607509,0.010904138108447148,0.1302663967322477,0.007640855918979783,0.04672877825334498,0.015432121248958345,0.01360807752116538
11/18/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.681000000000004,16.3775,0.2513710819743582,0.08946355282751606,0.9363568668163215,1.3294660887236809,0.019491881506088715,0.14861215753995505,0.03476859313838365,0.04672877825334498,0.015693824057938937,0.013787604976709849
11/19/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.8058,16.3775,0.25730026211047496,0.1229540821279489,0.9386179944450181,1.3326765019872149,0.002414813954838113,0.11963639664406012,0.040661609912096,0.04672877825334498,0.01490813796622872,0.013780270033525855
11/20/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.8921,16.3775,0.2664424632761191,0.10278049625744679,0.9401815786946699,1.334896523338521,0.0016658366437733996,0.14840847074653474,0.03246081423620106,0.04672877825334498,0.013403037755388644,0.013733806024260966
11/21/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.9976,16.3775,0.3014789989162183,0.16340823023224949,0.9420930287333518,1.3376104544226786,0.0020330647632298415,0.1186778338815826,0.03633725565228474,0.04672877825334498,0.012446229106538939,0.013731735247251246
11/24/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.7578,16.3775,0.32008936997230153,0.2019062533475482,0.9377483299724426,1.3314417276550865,-0.004611751311598855,0.09832972937414208,0.038896025692493064,0.04672877825334498,0.012474285987839862,0.013712958356450934
11/25/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.3932,16.3775,0.3220625876239598,0.21298056516650155,0.9311425035828365,1.3066543950330394,-0.007044348871088069,0.08992891196281039,0.040784296253693286,0.04672877825334498,0.012704815022371752,0.013694601777179252
11/26/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.903999999999996,16.3775,0.294216653657718,0.22445648443121247,0.9222791731665027,1.2551997928713212,-0.009518769020026019,0.0569723547659684,0.033281639480030156,0.04672877825334498,0.012400492696876805,0.013750328430683594
11/27/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,50.903999999999996,16.3775,0.2522509225092251,0.18687576875768763,0.9222791731665027,1.2551997928713212,0.0,0.055081715772128614,0.033281639480030156,0.04672877825334498,0.012413311618869202,0.013750328430683594
11/28/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.6619,16.3775,0.27388822448803474,0.24526254792932978,0.9360108128282757,1.2587691513001442,0.01488881030960254,0.022987663610621434,0.0318140965467657,0.019491881506088715,0.007870848294954614,0.013724891124022419
12/1/2014,152.2,44.835,11152.7741,18.4819,24.811999999999998,51.518,16.3775,0.2552629527113952,0.24100181279482258,0.9334036312115332,1.2471374276791984,-0.0027854182676209094,0.011491635039964532,0.030516638529056284,0.019491881506088715,0.007722640835795098,0.013728929267159292
