,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/23/1999,729.0,43.7666,53485.3425,19.5525,19.4841,13.2962,15.3413,1.2839425587467366,0.8209770509825476,0.9884254268913686,3.1005759858218878,0.010011850141290246,0.25424016602207367,0.1999963899568602,0.065888143608551,0.02834925307175808,0.037862033486198376
6/24/1999,729.0,43.7666,53485.3425,19.5525,19.4841,12.6134,15.3413,1.0976185724738907,0.7370617973790992,0.9376667979987957,2.941352050929273,-0.05135301815556326,0.20756703972121437,0.07229448269999161,0.065888143608551,0.03102727195555207,0.0377448528972935
6/25/1999,729.0,43.7666,53485.3425,19.5525,19.4841,12.4218,15.3413,1.16042576134407,0.841678696279806,0.9234234569094328,2.8966723410209174,-0.01519019455499715,0.17307419894041987,0.03699931544587831,0.065888143608551,0.03146731460168609,0.03774445591100375
6/28/1999,729.0,43.7666,53485.3425,19.5525,19.4841,12.7212,15.3413,1.2887677443730774,0.8965293895395909,0.9456805358350865,2.9664902175687335,0.02410278703569535,0.20681902268264207,0.0759887674662516,0.065888143608551,0.03151311397740496,0.03780748678103739
6/29/1999,729.0,43.7666,53485.3425,19.5525,19.4841,13.2483,15.3413,1.3432144183660837,0.864394488759971,0.9848645916190278,3.089406058344799,0.04143477030468823,0.2568232916868258,0.07378889438235037,0.065888143608551,0.03218129511009989,0.037770465032452065
6/30/1999,729.0,43.7666,53485.3425,19.5525,19.4841,14.1587,15.3413,1.5864418545175552,0.8927879872858135,1.0,3.3017046382016186,0.0687182506434787,0.36647203590213784,0.14757778876470073,0.0687182506434787,0.033788756012752344,0.03869761606320448
7/1/1999,729.0,43.7666,53485.3425,19.5525,19.4841,13.8712,15.3413,1.5394895829519242,1.02193255464831,0.9796944634747541,3.2346617540750415,-0.020305536525245915,0.2559714601329204,0.10075784628814022,0.0687182506434787,0.032577350801959844,0.038733394383574433
7/2/1999,729.0,43.7666,53485.3425,19.5525,19.4841,13.8233,15.3413,1.3551069085952805,0.869392622880995,0.9763113845197653,3.223491826597953,-0.0034531979929638412,0.2598246509423645,0.0616403111967867,0.0687182506434787,0.03250025265738725,0.038535064879013446
7/5/1999,729.0,43.7666,53485.3425,19.5525,19.4841,13.8233,15.3413,1.3126327940709017,0.9498937647432788,0.9763113845197653,3.223491826597953,0.0,0.18603014989146383,0.11390191622749746,0.0687182506434787,0.030420230354334027,0.03803084455615506
7/6/1999,729.0,43.7666,53485.3425,19.5525,19.4841,14.2785,15.3413,1.4178717783723371,1.0060961154197852,1.0,3.3296411165263624,0.03292990819847641,0.2052621805044399,0.1439547497536393,0.0687182506434787,0.030842688070606274,0.038222835698922035
