,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
12/22/2015,82.0,43.1427,43598.5177,8.884,168.9707,2.77,5.3573,0.029739776951672958,-0.17472118959107796,0.8368580060422961,1.7098765432098764,0.0948616600790515,0.24774774774774766,0.6104651162790697,0.0948616600790515,0.03581158509659823,0.02992556546960661
12/23/2015,82.0,43.1427,43598.5177,8.884,168.9707,2.83,5.3573,0.06390977443609014,-0.12030075187969935,0.8549848942598187,1.7469135802469136,0.02166064981949467,0.20940170940170955,0.6549707602339183,0.0948616600790515,0.03454840933047508,0.02992080659953087
12/24/2015,82.0,43.1427,43598.5177,8.884,168.9707,2.92,5.3573,0.11026615969581743,-0.09505703422053235,0.8821752265861027,1.802469135802469,0.03180212014134276,0.2268907563025211,0.7590361445783134,0.0948616600790515,0.03485460782662682,0.02966748294359131
12/25/2015,82.0,43.1427,43598.5177,8.884,168.9707,2.92,5.3573,0.13178294573643412,-0.07751937984496127,0.8821752265861027,1.802469135802469,0.0,0.2268907563025211,0.7485029940119761,0.0948616600790515,0.03485460782662682,0.029688343669625986
12/28/2015,82.0,43.1427,43598.5177,8.884,168.9707,3.0,5.3573,0.149425287356322,-0.10727969348658994,0.9063444108761329,1.8518518518518516,0.027397260273972712,0.28755364806866957,0.7441860465116279,0.0948616600790515,0.03427286552662297,0.02966159607035149
12/29/2015,82.0,43.1427,43598.5177,8.884,168.9707,3.0,5.3573,0.14068441064638781,-0.1026615969581749,0.9063444108761329,1.8518518518518516,0.0,0.27118644067796627,0.7241379310344829,0.0948616600790515,0.03438370641483975,0.02968301939377026
12/30/2015,82.0,43.1427,43598.5177,8.884,168.9707,2.98,5.3573,0.13307984790874539,-0.11026615969581754,0.9003021148036253,1.8395061728395061,-0.00666666666666671,0.27350427350427364,0.6284153005464481,0.0948616600790515,0.034331993403379425,0.029239282876631797
12/31/2015,82.0,43.1427,43598.5177,8.884,168.9707,2.87,5.3573,0.07894736842105265,-0.14661654135338353,0.8670694864048338,1.7716049382716048,-0.03691275167785235,0.26431718061674014,0.5944444444444446,0.0948616600790515,0.03479137827280017,0.029629161050673283
1/1/2016,82.0,43.1427,43598.5177,8.884,168.9707,2.87,5.3573,0.09125475285171114,-0.15209125475285168,0.8670694864048338,1.7716049382716048,0.0,0.2869955156950674,0.5683060109289617,0.0948616600790515,0.034254814217843904,0.029623653044609278
1/4/2016,82.0,43.1427,43598.5177,8.884,168.9707,2.77,5.3573,0.0992063492063493,-0.09523809523809534,0.8368580060422961,1.7098765432098764,-0.03484320557491294,0.2149122807017545,0.489247311827957,0.0948616600790515,0.03568608215933837,0.030078013968283808
