,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,322.243,22632.9803,17.2915,27.0949,2.9085,9.698,-0.23526937133541925,-0.2288538900428575,0.738535371489513,1.3886369061828598,0.005566311713456118,-0.00831941082205323,0.21389816360601,0.07624788494077839,0.027937191116177602,0.025583759427114362
6/28/1999,322.243,22632.9803,17.2915,27.0949,2.9487,9.698,-0.2181625348004772,-0.22020416279994692,0.7487430805951958,1.4078300310336596,0.013821557503868043,0.002618157089425255,0.26018205906235314,0.07624788494077839,0.02809630881927525,0.025383635684995007
6/29/1999,322.243,22632.9803,17.2915,27.0949,2.9647,9.698,-0.2089281425941244,-0.21525202123969356,0.7528058503885023,1.4154690857006447,0.005426119985078248,0.008058483509010506,0.2801502655555075,0.07624788494077839,0.02811648747991527,0.025318471610031167
6/30/1999,322.243,22632.9803,17.2915,27.0949,2.9567,9.698,-0.19746484989957114,-0.23000922859779593,0.7507744654918491,1.411649558367152,-0.0026984180524167733,0.04226593344613638,0.27669588496912656,0.07624788494077839,0.026890975725493215,0.0253280407976479
7/1/1999,322.243,22632.9803,17.2915,27.0949,2.9647,9.698,-0.2021582927420006,-0.1783686320945127,0.7528058503885023,1.4154690857006447,0.0027057192139885444,-0.028954177721004837,0.27574336245105213,0.05650094930033056,0.020902583906405488,0.02532857051045292
7/2/1999,322.243,22632.9803,17.2915,27.0949,2.8764,9.698,-0.23573174620044635,-0.18662982251036242,0.7303844395916915,1.3733110527572212,-0.029783789253550186,-0.060368482947863567,0.233500578927055,0.05650094930033056,0.02178416128416937,0.025687664775308885
7/5/1999,322.243,22632.9803,17.2915,27.0949,2.8764,9.698,-0.24053440354860856,-0.210804245656651,0.7303844395916915,1.3733110527572212,0.0,-0.03767146202743399,0.2550285789083293,0.05650094930033056,0.02125711023989578,0.02555408008688396
7/6/1999,322.243,22632.9803,17.2915,27.0949,2.9085,9.698,-0.261464628510487,-0.2552689045756945,0.7727973217132533,1.3886369061828598,0.011159783062161033,-0.00831941082205323,0.2916333599786838,0.05650094930033056,0.021051680769926372,0.025421232687521614
7/7/1999,322.243,22632.9803,17.2915,27.0949,2.8442,9.698,-0.2394577105115384,-0.22857448458432494,0.7557126155808268,1.357937455239914,-0.02210761560942076,-0.014107941349786879,0.228118657973142,0.05650094930033056,0.021308023328245124,0.02544702805314466
7/8/1999,322.243,22632.9803,17.2915,27.0949,2.8201,9.698,-0.25069082793070463,-0.22922202146880644,0.7857839449413468,1.346431129147768,-0.008473384431474495,-0.027853424799200277,0.1730865224625624,0.05650094930033056,0.021330005896211333,0.025103570954300408
