,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
10/16/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,31.851,5.8494,1.0417307692307691,0.9181410256410258,0.9852449888641425,1.7970548408937035,0.026524429547505335,0.0644320422417537,0.1703902403174835,0.04267759930102821,0.02336118825930076,0.03140276913059538
10/17/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,30.291,5.8494,0.7090385917400135,0.6929022793951702,0.9369896065330363,1.6690175767259903,-0.04897805406423661,0.00953174470921514,0.1928408285421752,0.04267759930102821,0.025994121226511697,0.030836345450078097
10/18/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,30.573,5.8494,0.6845556228993332,0.5685161716899001,0.9457126948775055,1.6797428712708093,0.009309695949291763,0.07398039835599124,0.22164948453608257,0.04267759930102821,0.023134892462448597,0.030760927858536343
10/21/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,31.275,5.8494,0.7114479588486373,0.5487577979643208,0.9674276169265033,1.7183121806494148,0.022961436561671933,0.10504557981768059,0.14539461637062812,0.04267759930102821,0.02339679056175993,0.028771688092185208
10/22/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,30.885,5.8494,0.6612877198644509,0.5116454198267981,0.9553637713437267,1.6968847865501895,-0.012470023980815204,0.09899299007223417,0.10256318720548352,0.04267759930102821,0.02356645876909872,0.028675864540528468
10/23/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,31.261999999999997,5.8494,0.6820187237705799,0.47847842462068235,0.9670254887404106,1.7175979341794405,0.012206572769952961,0.1376687652389097,0.12720848056537082,0.04267759930102821,0.02278029043706796,0.02866350048674937
10/24/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,30.009,5.8494,0.572057205720572,0.4960448425794961,0.9282665181885671,1.6487555628811603,-0.0400806090461262,0.05080888017368146,0.009452368137782496,0.04267759930102821,0.02362281356790067,0.027735637910891738
10/25/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,29.94,5.8494,0.5974815921459822,0.49461103404119067,0.9261321455085374,1.644964562386682,-0.0022993102069378546,0.06882764529487373,0.048245921153980964,0.04267759930102821,0.023128474252743985,0.027268205393886986
10/28/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,29.215999999999998,5.8494,0.5789018590575008,0.5047016861219196,0.9037366988369214,1.6051865282127353,-0.02418169672678705,0.04931221491936899,-0.0067990209409846125,0.04267759930102821,0.023828304121436245,0.027198706386664263
10/29/2002,2451.0,19.4439,73193.6968,4.5028,16.9116,28.419,5.8494,0.5613977253997033,0.5476072743255866,0.879083147735709,1.534006261470366,-0.027279572836801602,0.008910820789548302,-0.048035373329313624,0.04267759930102821,0.02458806629477061,0.027351631702559238
