,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,470.0,47672.7176,11.4325,28.0786,28.201,6.5601,-0.1731124468552997,-0.13174021404486147,0.8282961788116429,1.2182383688280272,-0.019913811079446786,-0.0476496015129001,-0.05552764660571352,0.026779683911927643,0.015045478063253416,0.014578500559229202
6/28/1999,470.0,47672.7176,11.4325,28.0786,28.73,6.5601,-0.15185688138395237,-0.10500678986833578,0.8438335242458954,1.2410903278759342,0.018758200063827557,-0.05234686809380862,-0.029260710906879317,0.026779683911927643,0.01464377254426104,0.014747025997825352
6/29/1999,470.0,47672.7176,11.4325,28.0786,29.171,6.5601,-0.14321379269832868,-0.10955443945134669,0.8589558611348311,1.2601408268175731,0.01534980856247814,-0.03780057393541569,-0.03250306789161228,0.026779683911927643,0.01514689099093905,0.014681970083435003
6/30/1999,470.0,47672.7176,11.4325,28.0786,29.083000000000002,6.5601,-0.14070025114492535,-0.11856995124833802,0.8563646535732164,1.256339366711305,-0.003016694662507202,-0.02510726736390434,-0.03542171072269573,0.026779683911927643,0.014796078066777905,0.014685504201147831
7/1/1999,470.0,47672.7176,11.4325,28.0786,28.686,6.5601,-0.15532522599452314,-0.1228762403933924,0.8563240693752052,1.2391895978228,-0.013650586253137642,-0.036994762991808816,-0.0711394618398472,0.026779683911927643,0.015047676681334337,0.014429993691030528
7/2/1999,470.0,47672.7176,11.4325,28.0786,29.127,6.5601,-0.13051135854801643,-0.11603331442729647,0.8709706357275282,1.258240096764439,0.015373352855051259,-0.016378495204646737,-0.04601729333158644,0.026779683911927643,0.015460053262779218,0.01451520473532465
7/5/1999,470.0,47672.7176,11.4325,28.0786,29.127,6.5601,-0.1290293642724718,-0.09610669218348178,0.8785630259705004,1.258240096764439,0.0,-0.036423183803096504,-0.04234752589182966,0.026779683911927643,0.014661085275217176,0.01450965504716639
7/6/1999,470.0,47672.7176,11.4325,28.0786,29.391,6.5601,-0.10882352941176465,-0.07540933899332913,0.8865261062347298,1.2696444770832431,0.009063755278607477,-0.036139441839110775,-0.040105816649792625,0.026779683911927643,0.014671790393412019,0.01453177155113685
7/7/1999,470.0,47672.7176,11.4325,28.0786,29.435,6.5601,-0.10357534413448655,-0.07403459617492991,0.8878532862787681,1.2715452071363773,0.0014970569221870456,-0.031902647590856814,-0.03498131270080651,0.026779683911927643,0.014684480583662198,0.014527880340118683
7/8/1999,470.0,47672.7176,11.4325,28.0786,29.171,6.5601,-0.12010979398546129,-0.09088166983380086,0.8829529632544342,1.2601408268175731,-0.008968914557499597,-0.03214996682149973,-0.06250803445172903,0.026779683911927643,0.01469085682282018,0.014323821788000204
