,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,83.1,39.0277,7894.6193,11.9885,20.083,2.8042,13.2937,-0.2870255015128017,-0.2686430550964888,0.6889757008427311,1.5462917011304107,-0.010200840069182204,-0.025134712324004993,0.21863456607709342,0.0245792962774094,0.01964601019222316,0.020460809091604228
6/28/1999,83.1,39.0277,7894.6193,11.9885,20.083,2.8693,13.2937,-0.26783025849090303,-0.28074204496159627,0.704970393847817,1.5821891370278467,0.023215177234148898,0.017951537943023288,0.312580054894785,0.0245792962774094,0.019816802222566928,0.019434455017433825
6/29/1999,83.1,39.0277,7894.6193,11.9885,20.083,2.9271,13.2937,-0.28082848087270584,-0.30746173312695013,0.7293317386754372,1.6140612076095946,0.02014428606280272,0.03845744492141745,0.3005287243968542,0.0245792962774094,0.020247048781662353,0.01927347418482579
6/30/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.2378,13.2937,-0.19325260377734588,-0.28148203518213977,0.8271932962035665,1.7853873724841467,0.10614601482696195,0.12279363317959557,0.4385746656595726,0.10614601482696195,0.03022734652753747,0.023138137737638495
7/1/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.2739999999999996,13.2937,-0.1635583260947321,-0.24850544172500133,0.8571578175725206,1.8053487730907085,0.011180431156958326,0.11303756586775449,0.4408308762047264,0.10614601482696195,0.030082267985870707,0.023142916235646377
7/2/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.3679,13.2937,-0.11825845638286725,-0.21096449890040847,0.8916629159937519,1.8571271022883928,0.028680513133781504,0.11749286614904775,0.47282109590239196,0.10614601482696195,0.030225099514741335,0.02331759463171825
7/5/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.3679,13.2937,-0.10833708400624809,-0.2173890021445023,0.8995459401709403,1.8571271022883928,0.0,0.13934370771312565,0.4868659220343474,0.10614601482696195,0.029720556699330745,0.02324414207527216
7/6/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.2957,13.2937,-0.11973824786324783,-0.19310897435897423,0.8892396524742324,1.8173145850565207,-0.02143769114284866,0.09093015557762318,0.4642999955569378,0.10614601482696195,0.03010730252573031,0.023456163347344586
7/7/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.2089,13.2937,-0.13418056230100917,-0.21607036857158268,0.8669422380720808,1.7694513371932727,-0.026337348666444216,0.10446065946169192,0.43030978381992413,0.10614601482696195,0.029362057138209142,0.023786702835692626
7/8/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.2234,13.2937,-0.12914032528232566,-0.20919111687469616,0.8787176621323228,1.7774469258340226,0.004518682414534458,0.10122646988486905,0.42760972585145485,0.10614601482696195,0.029357403969772426,0.023787328667662935
7/9/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.2378,13.2937,-0.11735681378295115,-0.20404547065398138,0.8965001661313545,1.7853873724841467,0.004467332630142096,0.10891156928556756,0.43398733336285944,0.10614601482696195,0.029307846271520676,0.023775993766925293
7/12/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.4113,13.2937,-0.05546018385203233,-0.17753904086831318,1.0,1.8810587262200167,0.05358576811415161,0.1484311877188258,0.4824649080874366,0.10614601482696195,0.031065338925556366,0.024468826381737214
7/13/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.4547,13.2937,0.017824524188321256,-0.14188910494372764,1.0,1.9049903501516405,0.012722422536862732,0.18612236489734268,0.45583649388959113,0.10614601482696195,0.030480251768950035,0.024277921258405184
7/14/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.4258,13.2937,0.020707326520275293,-0.1429550397759437,0.9916345847685762,1.8890543148607666,-0.008365415231423756,0.19096123761515726,0.3650781000956329,0.10614601482696195,0.030353994857182362,0.023437312219702015
7/15/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.5269,13.2937,0.13730611718422492,-0.10038373480377938,1.0,1.9448028673835127,0.029511355011967888,0.26421248835041933,0.3816351314294668,0.10614601482696195,0.029302610852792496,0.02358987955478227
7/16/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.5703,13.2937,0.151449672654562,-0.083981036540136,1.0,1.9687344913151366,0.01230542402676571,0.25701510403830574,0.4603051249539858,0.10614601482696195,0.029265782426896408,0.022800832478845613
7/19/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.6715,13.2937,0.16978907793283637,-0.07892053781941,1.0,2.0245381858285083,0.02834495700641404,0.27001971704313554,0.47568327974276525,0.10614601482696195,0.029471677110866755,0.022926504327477237
7/20/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.6932,13.2937,0.1784677239222694,-0.10290692108873933,1.0,2.0365039977943207,0.0059103908484270384,0.3136515614996087,0.4801218339211286,0.10614601482696195,0.028111903966784056,0.022922111139429963
7/21/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.657,13.2937,0.18483719423294986,-0.08209946541389923,0.9901982021011588,2.0165425971877586,-0.00980179789884117,0.29081218453284396,0.40486343206177255,0.10614601482696195,0.0285467093821755,0.02252126385671395
7/22/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.6281,13.2937,0.23028145133943712,-0.031943031536113886,0.9823730098559514,2.0006065618968845,-0.007902652447361214,0.270877119237775,0.3347926860674735,0.10614601482696195,0.02888146527053863,0.02203497384782835
7/23/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.5486,13.2937,0.19372960608201284,-0.04696067548020322,0.9608469619841872,1.9567686793493246,-0.02191229569195996,0.2525502100172956,0.29866422689844474,0.10614601482696195,0.029525320938656608,0.022290791498159282
7/26/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.5269,13.2937,0.19791454384892337,-0.04755111745126017,0.9549712986028376,1.9448028673835127,-0.006115087640196193,0.25772056201412163,0.27081756927179046,0.10614601482696195,0.029390541335140997,0.022282099579730187
7/27/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.498,13.2937,0.19194466214604566,-0.022285071727944916,0.9471461063576303,1.9288668320926388,-0.008194164847316276,0.2191126755654691,0.21606118546845132,0.10614601482696195,0.029556571961290874,0.021942022011583708
7/28/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.3814,13.2937,0.15968173400096042,0.003875437272789606,0.9155745694790426,1.8645712710228841,-0.033333333333333326,0.1552048102217214,0.1580930200698678,0.10614601482696195,0.03090107187101545,0.02236814789714597
7/29/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.3668,13.2937,0.1679733573856934,0.12322209116769578,0.9116213581717751,1.8565205403915082,-0.004317738214940636,0.03984186793501765,0.16462001452834762,0.05358576811415161,0.021080783285074286,0.022328982835312025
7/30/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.3814,13.2937,0.1356888560489018,0.09961711560421826,0.9155745694790426,1.8645712710228841,0.004336461922300083,0.032803909590714886,0.1667241736250087,0.05358576811415161,0.020985615085517856,0.02232997059202922
8/2/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.3668,13.2937,0.11306532663316582,0.11342898704046545,0.9116213581717751,1.8565205403915082,-0.004317738214940636,-0.0003266130229520048,0.16752782883101558,0.05358576811415161,0.020084035205923386,0.0223263287154439
8/3/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.3378,13.2937,0.08645270490202472,0.09625024412473149,0.903769089136792,1.8405293631100084,-0.00861352025662343,-0.008937319991686232,0.16328024256787366,0.05358576811415161,0.02017552694754357,0.02235109565605503
8/4/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.2362,13.2937,0.0023229163440394718,0.02075138600675208,0.876259070724575,1.784505100634133,-0.030439211456648074,-0.01805382771490116,0.13074772886093644,0.05358576811415161,0.020736333045344238,0.022728638224125877
8/5/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1274,13.2937,-0.03772307692307686,-0.012646153846153863,0.8467995234485,1.7245106148331957,-0.03361967739941907,-0.025398111502383913,0.10951857239152796,0.05358576811415161,0.021241866940455566,0.023072813182237556
8/6/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.0258,13.2937,-0.050282485875706384,0.011738857501569111,0.8192895050362828,1.6684863523573201,-0.03248704994564189,-0.06130173109139414,0.051903354771423604,0.05358576811415161,0.022270267142838397,0.02334816631332413
8/9/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.0621,13.2937,-0.019186418962203633,0.03709160794362587,0.8291183797248998,1.688502894954508,0.011996827285346123,-0.05426524183087278,0.07261454392601929,0.05358576811415161,0.02245253161285552,0.023361731143270958
8/10/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1129,13.2937,0.013247835427380839,0.11037692858537862,0.8428733889310083,1.7165150261924456,0.016589921948989117,-0.08747398352534241,0.07679269431664881,0.029511355011967888,0.019029293404256794,0.02339767865210287
8/11/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1346,13.2937,0.04201848281364273,0.14842763114154645,0.8487490523123578,1.7284808381582575,0.006970991679784211,-0.09265638116189545,0.07088927607529638,0.029511355011967888,0.01881409107072977,0.023365698705211182
8/12/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1419,13.2937,0.06458170975502342,0.1607766069189851,0.8507256579659915,1.7325062034739456,0.002328845785746214,-0.08287115418296453,0.08953774664493541,0.029511355011967888,0.0188475198460608,0.023273904346756618
8/13/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1346,13.2937,0.07242806801464297,0.20664408635259512,0.8487490523123578,1.7284808381582575,-0.002323434864254237,-0.11123082593779243,0.09801036850217182,0.02834495700641404,0.017233517671165332,0.023231949272277848
8/16/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1999,13.2937,0.13624742560897674,0.26777217527164265,0.866430196035958,1.7644885580369452,0.020832004083455757,-0.10374478335153914,0.1013629792799613,0.02834495700641404,0.01776517111596877,0.02326969076289791
8/17/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.2217,13.2937,0.29432324936724097,0.47503113575187816,0.8723329362070832,1.776509511993383,0.006812712897277917,-0.12251123518997686,0.09525752167261592,0.020832004083455757,0.016302474415210922,0.02323905980043903
8/18/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1637,13.2937,0.47306420822274986,0.7196070214648229,0.8566283981371169,1.7445271574303833,-0.01800291771425022,-0.1433716018628831,0.07817878199229811,0.020832004083455757,0.016258463010068672,0.02336618639671458
8/19/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1927,13.2937,0.42068259689405063,0.6272860766252837,0.8644806671721,1.7605183347118831,0.009166482283402333,-0.12696199070276182,0.08007442489851124,0.020832004083455757,0.016630208695200814,0.023374508549093693
8/20/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1782,13.2937,0.39658127169662083,0.5942786834820055,0.8605545326546085,1.7525227460711332,-0.004541610549064989,-0.12400429977123006,0.08578456492774422,0.020832004083455757,0.016630304594395323,0.02334310484042425
8/23/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1927,13.2937,0.32427724086440746,0.4718984611555852,0.8644806671721,1.7605183347118831,0.004562330879113841,-0.1002930733246915,0.1127104171749207,0.020832004083455757,0.016377351379641338,0.02318544392425454
8/24/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1346,13.2937,0.28504079039068597,0.4458656171852582,0.8487490523123578,1.7284808381582575,-0.018197763648322707,-0.11123082593779243,0.08972709890491903,0.020832004083455757,0.016632761026480678,0.02332383214855519
8/25/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1782,13.2937,0.30291477063091876,0.4340179559709756,0.8605545326546085,1.7525227460711332,0.0139092707203472,-0.09142367066895374,0.1275410650299782,0.020832004083455757,0.01714304511836161,0.02320621793335719
8/26/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.1129,13.2937,0.20917495338719694,0.3134711000621506,0.8428733889310083,1.7165150261924456,-0.020546221131458098,-0.07940498018572195,0.10437435697307262,0.020832004083455757,0.01626930746217915,0.023380877520792553
8/27/1999,83.1,39.0277,7894.6193,11.9885,20.083,3.0839,13.2937,0.20122307482569224,0.3114166634207145,0.8350211198960251,1.7005238489109458,-0.009316071830126171,-0.08402637519306166,0.06942469743732005,0.020832004083455757,0.016313688306751686,0.023262465054324572
