,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,12.9028,0.513,0.19834311613047007,0.13221636079946486,0.9552747114437805,2.067425092132671,0.01013833543406939,0.05840469862519271,0.40706652126499443,0.07407286310988326,0.02689955990623635,0.03257001068438564
6/28/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,12.6676,0.513,0.20771482233599348,0.18488116008351696,0.9378613893639547,2.029738823906425,-0.018228601543850864,0.019270845905649203,0.40791784293240263,0.07407286310988326,0.027006676950168538,0.03256281341491851
6/29/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,13.5323,0.513,0.30884699828805195,0.20204853420510482,1.0,2.1682903380868446,0.06826075973349321,0.08884704822136924,0.5004213327419891,0.07407286310988326,0.030703273564787265,0.03349070836083756
6/30/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,13.489,0.513,0.3436061916050761,0.19924497479929082,0.9968002482948206,2.1613523473802276,-0.003199751705179388,0.12037675357359401,0.4956203570240605,0.07407286310988326,0.02966248244090896,0.03350392541146502
7/1/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,13.5539,0.513,0.33022219605072056,0.20067326188513346,1.0,2.171751321903541,0.004811327748535765,0.10789690940746621,0.46088015606980015,0.07407286310988326,0.029568828720980565,0.033388754701091684
7/2/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,13.7268,0.513,0.3415559030492572,0.28421618451915553,1.0,2.199455215510335,0.012756475995838956,0.04464958409753361,0.4899057873485868,0.06826075973349321,0.025132841713328007,0.03335214296268259
7/5/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,13.7268,0.513,0.3415559030492572,0.26945856137607493,1.0,2.199455215510335,0.0,0.05679377324064028,0.5747341371359083,0.06826075973349321,0.02494007094881433,0.03244767053088836
7/6/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,13.8998,0.513,0.37864751740691527,0.3396778480887108,1.0,2.227175132190354,0.012603083020077621,0.029088836076375912,0.5265614532195535,0.06826075973349321,0.023594549689452547,0.03211091503474026
7/7/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,13.7484,0.513,0.45639830508474577,0.43081567796610165,0.9891077569461431,2.202916199327031,-0.010892243053856943,0.017879750349821144,0.4957569955176466,0.06826075973349321,0.02375136115259079,0.03219042603075874
7/8/1999,381.0,18.1135,8378.0885,-7.3821,77.4566,13.9646,0.513,0.4759549326738117,0.38197306952459487,1.0,2.237558083640442,0.015725466236071073,0.06800556770729771,0.4642857142857144,0.06826075973349321,0.022688237049504314,0.03197199028966962
