,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,628.747,18714.2957,-1.7909,117.014,14.7659,1.0094,0.052654466647180875,0.0252864057944151,0.9615344542411732,1.2796959769816094,-0.03101355120254623,0.026693088582951052,0.23761828529281126,0.03901404533444586,0.01651724343535703,0.019760213510635102
6/28/1999,628.747,18714.2957,-1.7909,117.014,15.2385,1.0094,0.10642793352066038,0.08497970623044138,0.9923094955914721,1.3206541521501742,0.03200617639290537,0.019768321164952418,0.21986071085494707,0.03407209359137919,0.015772994968812314,0.01931301029950295
6/29/1999,628.747,18714.2957,-1.7909,117.014,15.1794,1.0094,0.1135695054763668,0.09623440170783426,0.9884609874581612,1.3155322136134364,-0.003878334481740353,0.015813318521591846,0.18981329069275255,0.03407209359137919,0.01580857440816417,0.01919589074979357
6/30/1999,628.747,18714.2957,-1.7909,117.014,14.9659,1.0094,0.0956323757650297,0.1155890362821752,0.97455817042835,1.2970291023174387,-0.014065114563157954,-0.017888899826098426,0.17307843045039117,0.03407209359137919,0.015506989650299665,0.019312099880741163
7/1/1999,628.747,18714.2957,-1.7909,117.014,14.6366,1.0094,0.05837605663337975,0.09762605482562381,0.9531146217261633,1.2684901114519957,-0.02200335429209066,-0.03575898915635667,0.1744513540621866,0.03407209359137919,0.01617989117922017,0.019287924710608004
7/2/1999,628.747,18714.2957,-1.7909,117.014,14.9359,1.0094,0.08223317150931098,0.10629664517063997,0.9726046130002735,1.2944291335170643,0.020448738094912766,-0.021751375425726915,0.23959664702464933,0.03407209359137919,0.016817695747537376,0.018855798533913955
7/5/1999,628.747,18714.2957,-1.7909,117.014,14.9359,1.0094,0.04167131618590636,0.07101210734810026,0.9726046130002735,1.2944291335170643,0.0,-0.027395386999726545,0.26438270350805904,0.03407209359137919,0.01674936913842939,0.01862727806665938
7/6/1999,628.747,18714.2957,-1.7909,117.014,14.8461,1.0094,0.058371889101965335,0.08423574030640246,0.966756964432231,1.286646560241277,-0.006012359482856722,-0.02385445364227523,0.19693793637228496,0.03407209359137919,0.01667696717271691,0.017705463908922626
7/7/1999,628.747,18714.2957,-1.7909,117.014,14.8461,1.0094,0.058371889101965335,0.08423574030640246,0.966756964432231,1.286646560241277,0.0,-0.02385445364227523,0.23214374636899304,0.03407209359137919,0.01667696717271691,0.017243316386390563
7/8/1999,628.747,18714.2957,-1.7909,117.014,14.6666,1.0094,0.06708865364327554,0.11084433773509383,0.9550681791542399,1.2710900802523704,-0.012090717427472475,-0.03938957296305989,0.17966041711909542,0.03407209359137919,0.016806024947485575,0.016962689291358822
