,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-769.0,98290.6907,8.8276,13.2551,27.1593,3.9752,0.07711740723701954,0.02818186144645196,0.8808459712258215,1.7745377327670697,0.02031286393724696,0.04759425119766725,0.00771762401071574,0.041471984733402634,0.02190286700561822,0.02537221148535831
6/28/1999,-769.0,98290.6907,8.8276,13.2551,27.7832,3.9752,0.10366854033010897,0.06786898921484874,0.901080653321744,1.8153021888271808,0.022971873354615147,0.033524291347370117,0.06595662232726252,0.041471984733402634,0.020999732874575835,0.025163350033396335
6/29/1999,-769.0,98290.6907,8.8276,13.2551,28.2684,3.9752,0.09891152231379263,0.045016327165293024,0.9168169375867571,1.8470042469781118,0.01746379106798357,0.051573543635146324,0.05049108685715553,0.041471984733402634,0.02126974498051792,0.024934297307938304
6/30/1999,-769.0,98290.6907,8.8276,13.2551,28.9156,3.9752,0.1264794109626397,0.021333125560013988,0.9378072986261562,1.8892910813459656,0.02289482248730046,0.10295003928808466,0.07454189381524134,0.041471984733402634,0.020739423081593624,0.02508459191545877
7/1/1999,-769.0,98290.6907,8.8276,13.2551,29.5267,3.9752,0.13747977502118802,0.012096463517990541,0.957626843791757,1.9292192094086902,0.021133920790161742,0.1238847442143729,0.06116486012478095,0.041471984733402634,0.021025856619657005,0.024866610553160293
7/2/1999,-769.0,98290.6907,8.8276,13.2551,30.61,3.9752,0.21330553419531806,0.06828361462784294,0.9927610497775124,2.0,0.03668882740028501,0.1357522642692559,0.11962545035571237,0.041471984733402634,0.021665971827610254,0.025144126747867274
7/5/1999,-769.0,98290.6907,8.8276,13.2551,30.61,3.9752,0.20541709164084,0.09245994085147102,0.9927610497775124,2.0,0.0,0.10339706433659202,0.09139788780101687,0.041471984733402634,0.021044150933905367,0.024960427756785808
7/6/1999,-769.0,98290.6907,8.8276,13.2551,30.7211,3.9752,0.20521692735611063,0.11389127543634592,0.9963643086024155,2.0072590656648153,0.0036295328324076337,0.08198794077455163,0.0841070376212607,0.041471984733402634,0.02060909575349253,0.024937024454544463
7/7/1999,-769.0,98290.6907,8.8276,13.2551,30.1656,3.9752,0.1956906051069025,0.13422861355762894,0.9783480144779004,1.9709637373407385,-0.01808203482297177,0.05418836274681116,0.059319295978424114,0.041471984733402634,0.021135073245316452,0.02505561288648789
7/8/1999,-769.0,98290.6907,8.8276,13.2551,29.7211,3.9752,0.20033844091015562,0.12095021930001693,0.9639317359210201,1.941920940868997,-0.014735327657994568,0.07082225440815115,-0.01071464234597086,0.041471984733402634,0.02019144932035848,0.024165600362092088
7/9/1999,-769.0,98290.6907,8.8276,13.2551,29.6656,3.9752,0.20681645288975137,0.11106229430836767,0.9621317281372027,1.9382946749428294,-0.0018673602255636634,0.08618252916321878,-0.03439521129602929,0.041471984733402634,0.019741925447075294,0.023994255657930764
7/12/1999,-769.0,98290.6907,8.8276,13.2551,30.0544,3.9752,0.2542368637401251,0.11721746243056819,0.9747415123957293,1.9636981378634435,0.013106089207701732,0.12264344759834311,-0.007407847760967257,0.041471984733402634,0.019041344711768292,0.023982919365278386
7/13/1999,-769.0,98290.6907,8.8276,13.2551,29.5822,3.9752,0.25471117916265507,0.11254660281886086,0.9594268515755744,1.9328454753348578,-0.015711509795570677,0.12778303037696714,0.0017676938706399081,0.041471984733402634,0.018759435060483158,0.02385857653822927
7/14/1999,-769.0,98290.6907,8.8276,13.2551,29.2211,3.9752,0.17622125974109615,0.06309171121272628,0.9477154495803225,1.909251878471088,-0.012206664818708579,0.1064156058552248,0.013811886340769464,0.041471984733402634,0.01916801893635843,0.023711559541907613
7/15/1999,-769.0,98290.6907,8.8276,13.2551,29.8322,3.9752,0.20683838134575017,0.11272972940172243,0.9675349947459232,1.9491800065338125,0.020912970422058086,0.08457458218055036,0.06630017907374919,0.03668882740028501,0.017679337832339964,0.02353635105760145
7/16/1999,-769.0,98290.6907,8.8276,13.2551,30.2211,3.9752,0.21714983044294267,0.12343028828727243,0.9801480222617178,1.9745900032669064,0.013036249421765733,0.0834226592720324,0.06855170901942209,0.03668882740028501,0.017650135393813174,0.023551940098540593
7/19/1999,-769.0,98290.6907,8.8276,13.2551,30.9294,3.9752,0.2333673615874181,0.10016668527586803,1.0,2.0208689970597846,0.023437267339706302,0.12107317745051493,0.03379882479560936,0.03668882740028501,0.01779198629518844,0.022599973326189227
7/20/1999,-769.0,98290.6907,8.8276,13.2551,29.735,3.9752,0.22334035480367298,0.1527375506039561,0.9613830206858199,1.9428291408036589,-0.03861697931418007,0.061247943352522816,-0.024653454304514155,0.03668882740028501,0.02005938651122456,0.02301277963559868
7/21/1999,-769.0,98290.6907,8.8276,13.2551,29.7767,3.9752,0.23203055178577348,0.14495961735791596,0.9627312524652919,1.9455537406076446,0.0014023877585338518,0.07604716629987385,-0.008405180308434068,0.03668882740028501,0.019753641392136912,0.022934478129148343
7/22/1999,-769.0,98290.6907,8.8276,13.2551,30.4433,3.9752,0.2988143843886124,0.16048260826901828,0.9842835619184336,1.9891081345965371,0.022386631157918835,0.11920193817116354,0.02181355602247481,0.03668882740028501,0.01955858591284607,0.023080812030406555
7/23/1999,-769.0,98290.6907,8.8276,13.2551,30.1239,3.9752,0.2614856970564956,0.11469574575895014,0.97395681778502,1.9682391375367527,-0.010491635269501032,0.13168611422088317,-0.023004423802913787,0.03668882740028501,0.018941379999081236,0.022698278587329465
7/26/1999,-769.0,98290.6907,8.8276,13.2551,30.3322,3.9752,0.36290192131418597,0.22033555599489563,0.9806915103429099,1.9818490689317216,0.006914775311297694,0.11682554410459756,0.027645835168483623,0.03668882740028501,0.018661556332252947,0.022047918688091903
7/27/1999,-769.0,98290.6907,8.8276,13.2551,31.6377,3.9752,0.42243693209662836,0.24913788839982187,1.0,2.0671479908526624,0.043040069628975,0.13873491894382206,0.0564952130341716,0.043040069628975,0.020065195996831105,0.022621787477025337
7/28/1999,-769.0,98290.6907,8.8276,13.2551,31.3877,3.9752,0.41382214895092906,0.2733169373800708,0.9920980349393287,2.0508134596537078,-0.007901965060671312,0.11034582785017899,0.08273397425946816,0.043040069628975,0.020129066518932755,0.022254747710133957
7/29/1999,-769.0,98290.6907,8.8276,13.2551,30.7905,3.9752,0.41948615343478735,0.333050577881455,0.9732218208023973,2.011793531525645,-0.01902656136002312,0.06484043215426971,0.04072941136705488,0.043040069628975,0.02036271355933106,0.022266849398251024
7/30/1999,-769.0,98290.6907,8.8276,13.2551,29.2767,3.9752,0.34798263263793294,0.3594933445063977,0.9253738419670204,1.9128846782097355,-0.04916451502898622,-0.008466912997388776,0.03821398555273037,0.043040069628975,0.022887637232285766,0.02234825324830636
8/2/1999,-769.0,98290.6907,8.8276,13.2551,28.86,3.9752,0.37588436087644683,0.45931463223936375,0.9122028466038935,1.885658281607318,-0.014233161524352167,-0.05717085919634102,0.0056379842638214495,0.043040069628975,0.021440793713480514,0.022321837536808865
8/3/1999,-769.0,98290.6907,8.8276,13.2551,28.1517,3.9752,0.3645008845697115,0.48365363642973125,0.8898149991939996,1.83937928781444,-0.024542619542619493,-0.08031035609278003,-0.031209349383659157,0.043040069628975,0.02195585274554696,0.022482954342147136
8/4/1999,-769.0,98290.6907,8.8276,13.2551,27.4018,3.9752,0.29447333985251545,0.45127856275657474,0.8661122647980101,1.7903822280300556,-0.02663782293786876,-0.10804626136433915,-0.08283405742286598,0.043040069628975,0.022435532801371477,0.022426056232995838
8/5/1999,-769.0,98290.6907,8.8276,13.2551,28.249000000000002,3.9752,0.279584358169473,0.36639986954572024,0.8928904439956129,1.845736687357073,0.03091767694093095,-0.0635359482324237,-0.027860943059885734,0.043040069628975,0.02354809097605616,0.022527754107139687
8/6/1999,-769.0,98290.6907,8.8276,13.2551,27.3462,3.9752,0.22949028635143565,0.3362662362478026,0.8643548677685167,1.786749428291408,-0.03195865340366044,-0.07990619458902937,-0.035461843423298944,0.043040069628975,0.02427134326365036,0.022679541217047215
8/9/1999,-769.0,98290.6907,8.8276,13.2551,27.7768,3.9752,0.2986791967646165,0.38698833485284156,0.877965212389017,1.8148840248284877,0.015746246279190634,-0.0636697049781565,-0.006179001413263219,0.043040069628975,0.024638543899564404,0.022697935337570384
8/10/1999,-769.0,98290.6907,8.8276,13.2551,27.6656,3.9752,0.3215440688248472,0.4356534491241646,0.8744504183300303,1.8076184253511924,-0.004003340917600351,-0.07948253833049401,-0.0002421193756932949,0.043040069628975,0.024366341053405367,0.022667813112183858
8/11/1999,-769.0,98290.6907,8.8276,13.2551,28.2212,3.9752,0.3169138302737309,0.38042352238471655,0.8920117454808663,1.8439202874877492,0.020082701983690887,-0.046007396339690754,0.05361956318835159,0.043040069628975,0.024729836527785234,0.022419578284465846
8/12/1999,-769.0,98290.6907,8.8276,13.2551,28.8323,3.9752,0.34629087462236363,0.3644454405797508,0.9113273088751711,1.8838484155504738,0.02165393392201609,-0.013305453935683498,0.07034060324825986,0.043040069628975,0.025128178222972256,0.022562314481542067
8/13/1999,-769.0,98290.6907,8.8276,13.2551,29.9295,3.9752,0.3984244683982563,0.39387822804091144,0.9460074531334453,1.9555374060764457,0.038054542995182405,0.0032615764174281914,0.08483060339046955,0.043040069628975,0.026112079607202455,0.022854623608824634
8/16/1999,-769.0,98290.6907,8.8276,13.2551,30.2211,3.9752,0.5248164686293801,0.5248164686293801,0.9552243051802123,1.9745900032669064,0.009742895805141982,0.0,0.09101444043321294,0.043040069628975,0.02604269970564393,0.02287596392414781
8/17/1999,-769.0,98290.6907,8.8276,13.2551,31.1655,3.9752,0.6093476475964741,0.5971557373239764,0.9850747683934041,2.0362953283240772,0.031249689786275292,0.007633513744204512,0.13878606950630856,0.043040069628975,0.026442120304317626,0.023107681721647292
8/18/1999,-769.0,98290.6907,8.8276,13.2551,30.4017,3.9752,0.769917738357911,0.7311039826744057,0.9609326847400412,1.986390068605031,-0.024507869278529104,0.022421388935597752,0.13797130526244872,0.043040069628975,0.025557740623545,0.02312058739368604
8/19/1999,-769.0,98290.6907,8.8276,13.2551,30.7489,3.9752,0.7041066282420749,0.650227222345378,0.9719069338163014,2.009075465534139,0.01142041399000715,0.032649689186511566,0.18478717378656118,0.043040069628975,0.025651741903795194,0.02280631314372324
