,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.95,9.3136,0.1326141147508766,0.18000806793615998,0.8026270459659745,1.1605231362740318,-0.002050580997949525,-0.04016409249487218,-0.07564514903639175,0.03275791063216427,0.013729460564009855,0.021309477371386356
6/28/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.8936,9.3136,0.11024368369021298,0.18214616944730389,0.7984929669346976,1.1545456472433602,-0.005150684931506833,-0.060823684596218786,-0.08127482647820339,0.03275791063216427,0.01306184276896591,0.021314202823965067
6/29/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.0063,9.3136,0.13713193511726418,0.19837793160450445,0.8067537950698909,1.1664900269198974,0.01034552397738131,-0.05110741350622039,-0.07614890670248053,0.03275791063216427,0.013368300512783086,0.02135075890126649
6/30/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.9387,9.3136,0.14720349026229407,0.2317752304642846,0.8017987641742471,1.1593255187909364,-0.006141936890689759,-0.0686584192556896,-0.0818231418139086,0.03275791063216427,0.012935479694674764,0.0213599643773055
7/1/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.6004,9.3136,0.08896285338593035,0.22039365548980916,0.7770016199139467,1.1234711829917121,-0.030926892592355593,-0.10769541574773978,-0.12016732789960316,0.03275791063216427,0.013794760516730438,0.02162428897389108
7/2/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.6455,9.3136,0.08618684189045789,0.18920904415966033,0.780307417153496,1.1282510545392883,0.004254556431832812,-0.08663086004530174,-0.10559303663997721,0.03275791063216427,0.013578465090280562,0.021596786637924692
7/5/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.6455,9.3136,0.0680746463328985,0.20768536169358875,0.780307417153496,1.1282510545392883,0.0,-0.11560189415967437,-0.1038990555396555,0.01034552397738131,0.010693393458386886,0.02159761349423812
7/6/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.5891,9.3136,0.05538501405306273,0.20080929694819294,0.7761733381222192,1.1222735655086165,-0.005298013245033095,-0.12110522733686357,-0.09495645336364655,0.01034552397738131,0.010583843661805413,0.02153311408468664
7/7/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.6116,9.3136,0.07302768620947675,0.23078245394058272,0.7778225717783136,1.1246582020900016,0.0021248264725046706,-0.12817437169828372,-0.10927938892852662,0.01034552397738131,0.010094393374409519,0.021391794232647213
7/8/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.7244,9.3136,0.0979565092755641,0.23765305704574313,0.7860907298408673,1.1366131801513448,0.010629876738663446,-0.11287213890428416,-0.09038167938931296,0.010629876738663446,0.01075978251945519,0.021416804373204396
7/9/1999,1181.0,41.7958,41850.2646,15.1056,28.638,10.9838,9.3136,0.1144051459994726,0.20822426492968904,0.8051045614137965,1.1641053903385126,0.02418783335198249,-0.07765041776882053,-0.09004448789216868,0.02418783335198249,0.012339900537154308,0.021424027905605908
7/12/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.5815,9.3136,0.15684276767252991,0.1793673149341244,0.848915537247026,1.2274519363249041,0.05441650430634204,-0.019098839671381374,-0.02878059825404411,0.05441650430634204,0.01763484026395505,0.022494350515271423
7/13/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.5025,9.3136,0.10495778057426097,0.12012603387160281,0.8431248946322942,1.2190792123280412,-0.0068212235030005175,-0.013541559466227593,0.0013667862241877327,0.05441650430634204,0.017491797498791456,0.022022260802363816
7/14/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.7732,9.3136,0.13458035791725687,0.09763219520656863,0.8629670079969507,1.2477690399983041,0.023534014344707588,0.033661697308117855,0.06555403705346219,0.05441650430634204,0.01743237710529238,0.02165628024875578
7/15/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.1566,9.3136,0.18801489342988642,0.10866144810265133,0.8910699494968004,1.2884032473451046,0.0325654877178676,0.07157590395430424,0.10926992180014783,0.05441650430634204,0.018618870285182252,0.02197707953311695
7/16/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.337,9.3136,0.16406559604461135,0.07255949123436056,0.9042931384549979,1.3075227335354092,0.014839675567181576,0.08531564501372357,0.12689307440764352,0.05441650430634204,0.01877860999727584,0.02203407581113268
7/19/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.9874,9.3136,0.12989546906958993,0.07143732385737045,0.87866771240297,1.2704707802530895,-0.028337521277458144,0.05456048983038908,0.08825985910378376,0.05441650430634204,0.020060259613665376,0.02235860113695846
7/20/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.7844,9.3136,0.11309045914367477,0.05131716900756578,0.8637879598613177,1.2489560590965938,-0.01693444783689535,0.05875799611873789,-0.03538598803277482,0.05441650430634204,0.019848354751381605,0.017748340008972796
7/21/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.931,9.3136,0.1304825704242032,0.043936364756156365,0.8745336333716932,1.2644932912224176,0.012440175146804178,0.0829037176880627,-0.016146056667876163,0.05441650430634204,0.019717538650248324,0.01779866139376013
7/22/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.134,9.3136,0.17942088432266412,0.07748758274122536,0.8894133859133456,1.2860080123789135,0.017014500041907743,0.09460276221662922,-0.00033777938886636605,0.05441650430634204,0.01991876493917792,0.017928601846873785
7/23/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.4272,9.3136,0.1963264598856349,0.05628718304164493,0.9109047329340966,1.3170824766305615,0.024163507499587844,0.13257689678742302,0.03435016022306381,0.05441650430634204,0.0200626760285288,0.01813033011545798
7/26/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.3934,9.3136,0.2217348015102374,0.07944519474374268,0.9084272174862748,1.313500222566081,-0.002719840350199565,0.13181735159817354,0.05318886764393449,0.05441650430634204,0.020076857083697944,0.017931211986333944
7/27/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.3596,9.3136,0.2052384713649087,0.06228242108650495,0.9059497020384528,1.3099179685016005,-0.0027272580567075932,0.13457442902254546,0.07703300916727662,0.05441650430634204,0.020015802361151896,0.017632373436864312
7/28/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.4047,9.3136,0.21884764281643632,0.0814451628117201,0.9092554992780022,1.3146978400491767,0.003648985404058447,0.1270545051470522,0.09597646310432562,0.05441650430634204,0.020000118558026133,0.01752902583636483
7/29/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.3934,9.3136,0.20853445669874904,0.06668031867692537,0.9084272174862748,1.313500222566081,-0.0009109450450233147,0.13298655233254397,0.0842205639199698,0.05441650430634204,0.019874815949404424,0.017499247592894222
7/30/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.3934,9.3136,0.1956278459519949,0.022651848421702647,0.9084272174862748,1.313500222566081,0.0,0.1691445605826194,0.062306604380062636,0.05441650430634204,0.018052374713732288,0.017326446723863097
8/2/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.3821,9.3136,0.2035361242600675,0.03473916466597338,0.9075989356945473,1.3123026050829854,-0.0009117756225087703,0.16312996101639188,0.05829010008461455,0.05441650430634204,0.01813557771962943,0.017326774584462558
8/3/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.2017,9.3136,0.20811303194122655,0.05403077288659186,0.8943757467363499,1.2931831188926808,-0.014569418757722774,0.14618383354469033,0.022268953325681462,0.05441650430634204,0.0187017154521178,0.017261333625980074
8/4/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.8296,9.3136,0.17383926888079615,0.050745705865425705,0.8671010870282275,1.253746529028976,-0.03049575059213072,0.11714876618409487,0.0033587786259541286,0.05441650430634204,0.020252832060067772,0.017628110391295724
8/5/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.9987,9.3136,0.18410950252143943,0.04722148207360033,0.8794959941946975,1.2716683977361851,0.014294650706701884,0.13071544347694974,0.03345305461529846,0.05441650430634204,0.020325926919462264,0.01760340104523916
8/6/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.9536,9.3136,0.15073451548932404,0.03240339629180378,0.8761901969551482,1.266888526188609,-0.0037587405302240695,0.11461713475812174,0.011953540347431568,0.05441650430634204,0.020406611380413445,0.017480456072811526
8/9/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.807,9.3136,0.0934938643204446,0.017253993980087978,0.8654445234447727,1.251351294062785,-0.012264087806183821,0.07494673974398669,-0.01358441384841591,0.05441650430634204,0.020276449068888695,0.01747133804854207
8/10/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.6266,9.3136,0.11214631439995415,0.10783225880507352,0.8522213344865752,1.2322318078724803,-0.015279071737105188,0.0038941415188014084,-0.0569637193910244,0.0325654877178676,0.01698710276995713,0.01714223024177308
8/11/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.8747,9.3136,0.13587840293853204,0.10027548736393022,0.870406884267777,1.2585264005765522,0.021338998503431794,0.032358183003694974,0.009109836413851768,0.0325654877178676,0.017498765770419943,0.01638013471569112
8/12/1999,1181.0,41.7958,41850.2646,15.1056,28.638,11.931,9.3136,0.11874800742643887,0.10395139058192515,0.8745336333716932,1.2644932912224176,0.0047411724085659745,0.013403322800937811,0.031611530945751865,0.0325654877178676,0.016790573022553303,0.016235653085430242
8/13/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.1791,9.3136,0.12795554526510777,0.1258717295670293,0.892719183152895,1.2907878839264897,0.020794568770430066,0.0018508464537783098,0.06442985867731754,0.024163507499587844,0.015845920274159646,0.016365986842955888
8/16/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.134,9.3136,0.16935056424489492,0.18891362379176435,0.8894133859133456,1.2860080123789135,-0.003703065086911206,-0.01645456756099528,0.05222994007821913,0.024163507499587844,0.015502741974752753,0.01635412377573985
8/17/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.2694,9.3136,0.2296452194828622,0.20138304269392648,0.8993381075593541,1.300358225406448,0.011158727542442737,0.02352470093598269,0.0618995689879005,0.024163507499587844,0.0143304571816891,0.016404377982317093
8/18/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.2694,9.3136,0.3003582254064481,0.2489560590965938,0.8993381075593541,1.2392707439018231,0.0,0.04115610468076425,0.0754895601409511,0.024163507499587844,0.013722191737886857,0.01631088482046135
8/19/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.1791,9.3136,0.23014999242462508,0.20509065198727328,0.892719183152895,1.2165353150939437,-0.007359773094038791,0.020794568770430066,0.09340407767513259,0.024163507499587844,0.013649893820184864,0.016036683030062702
8/20/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.2694,9.3136,0.22555512271133615,0.2120304056416249,0.8993381075593541,1.224210011673967,0.007414340961154675,0.011158727542442737,0.10151094831533292,0.024163507499587844,0.013243892038551773,0.01605236627987839
8/23/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.4836,9.3136,0.245582351356475,0.23995490057172497,0.9150388119653734,1.2360244757321925,0.01745806640911529,0.004538431826960121,0.09534087917873113,0.021338998503431794,0.012718079536128095,0.015944271565185568
8/24/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.4498,9.3136,0.23267787480940205,0.22709360581397653,0.9125612965175515,1.232677874809402,-0.0027075523086288467,0.004550809301725023,0.0913027471467891,0.021338998503431794,0.012717934277035653,0.015953243227535142
8/25/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.7655,9.3136,0.26393591952315876,0.22374700489118604,0.935701877194397,1.2574741176354698,0.025357837073687994,0.032840868636525355,0.10055952617013375,0.025357837073687994,0.013813863109384327,0.016122070648398795
8/26/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.6302,9.3136,0.2019718497511398,0.1805118054035535,0.925784485475749,1.2441463006196007,-0.010598879793192517,0.018178593597588,0.08889482804700366,0.025357837073687994,0.014057528282098861,0.01619469454358066
8/27/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.337,9.3136,0.1740690337745887,0.17943642402382975,0.9042931384549979,1.215264438468434,-0.023214200883596492,-0.004550809301725134,0.05039548407420957,0.025357837073687994,0.015015233677493694,0.016425187597633447
8/30/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.2919,9.3136,0.17726101655955784,0.18698221451762742,0.9009873412154485,1.2108218327964775,-0.0036556699359650002,-0.008189842980941497,0.03468913618074376,0.025357837073687994,0.01503507607371098,0.016378876926304207
8/31/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.1002,9.3136,0.14186224273136472,0.16846436221913952,0.8869358704655237,1.1919382960489375,-0.015595636150635861,-0.022766735852561393,0.038180383005010476,0.025357837073687994,0.0154026962786894,0.016320257596407674
9/1/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.2355,9.3136,0.11255080607763435,0.10947743619120365,0.8968532621841718,1.2052661130648068,0.011181633361432075,0.0027701058049287575,0.016490819971753723,0.025357837073687994,0.015291619904306926,0.015857022889493148
9/2/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.134,9.3136,0.12033386577044891,0.09222857248377281,0.8894133859133456,1.19526778766118,-0.008295533488619111,0.025732061946304174,0.007121395727162527,0.025357837073687994,0.013749963388878116,0.01589444051637046
9/3/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.3145,9.3136,0.13467368168876526,0.1055754683080099,0.9026439047989036,1.2130480609159058,0.014875556288115988,0.02631951794777776,0.011732132734129319,0.025357837073687994,0.013777968184110917,0.015952017646655256
9/6/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.3145,9.3136,0.19213343917597636,0.15719568626691705,0.9026439047989036,1.2130480609159058,0.0,0.030191741400080296,0.018661747553540886,0.025357837073687994,0.013732923550958648,0.015926100633962253
9/7/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.3032,9.3136,0.19749661770860705,0.14920041658150107,0.9018156230071761,1.2119349468561915,-0.0009176174428519035,0.04202591682899981,0.03314439266070446,0.025357837073687994,0.013382766230754125,0.01580580943696865
9/8/1999,1181.0,41.7958,41850.2646,15.1056,28.638,12.2468,9.3136,0.18686643536913916,0.12676138235807177,0.8976815439758993,1.206379227124521,-0.004584173223226462,0.05334319577520508,0.0372490895231643,0.025357837073687994,0.012884670347693304,0.015776740617215224
