,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
9/19/2000,876.0,76878.0089,22.989,19.2526,26.554000000000002,2.3829,1.7167996726007781,1.468999386126458,0.9205435762324067,2.9950372208436726,0.009888187419183181,0.10036466103099628,0.24293203519940088,0.07963986085533059,0.03537488113953808,0.033212577888471526
9/20/2000,876.0,76878.0089,22.989,19.2526,26.467,2.3829,1.719864351043058,1.5154660363785841,0.9175275601469874,2.9852244529663885,-0.0032763425472622787,0.08125663861426569,0.2670911528150133,0.07963986085533059,0.0353552523547538,0.03305591503831696
9/21/2000,876.0,76878.0089,22.989,19.2526,25.256,2.3829,1.5726800448202098,1.4493226036467353,0.8755460029120156,2.84863523573201,-0.045755091245702095,0.05036390101892274,0.1773810078784206,0.07963986085533059,0.03673257982582496,0.03351853479442865
9/22/2000,876.0,76878.0089,22.989,19.2526,23.959,2.3829,1.3276984358301758,1.3528611677839315,0.8305830964431811,2.7023460410557187,-0.05135413367120689,-0.010694524733669386,0.06950272297116333,0.07963986085533059,0.038573065188025564,0.03378929930584859
9/25/2000,876.0,76878.0089,22.989,19.2526,24.651,2.3829,1.5220994475138125,1.5,0.8545725577203078,2.7803970223325063,0.028882674569055578,0.008839779005525017,0.017879263357832853,0.07963986085533059,0.03904147452690108,0.03242276376510344
9/26/2000,876.0,76878.0089,22.989,19.2526,24.435,2.3829,1.5110471688418454,1.5110471688418454,0.8470845177840948,2.7560342882923528,-0.008762322015334112,0.0,0.0823920265780731,0.07963986085533059,0.0391011274097325,0.031237943661841284
9/27/2000,876.0,76878.0089,22.989,19.2526,24.045,2.3829,1.4709690679272431,1.711026615969582,0.8335644456770437,2.712046018497632,-0.015960712093308627,-0.0885485766271179,0.1982359097024966,0.07895337339316955,0.034781157078632795,0.027806071173105077
9/28/2000,876.0,76878.0089,22.989,19.2526,23.224,2.3829,1.3760998567628406,1.6901984857785965,0.8051029605491229,2.6194450710579744,-0.03414431274693286,-0.11675667452650795,0.14743083003952573,0.07895337339316955,0.035403682752631005,0.028192260032169545
9/29/2000,876.0,76878.0089,22.989,19.2526,22.143,2.3829,1.2755112526975645,1.9154249306340563,0.7676280940165014,2.4975186104218365,-0.04654667585256633,-0.21949242157208315,0.09402173913043499,0.04394187954066098,0.030759766174278395,0.028862791208617997
10/2/2000,876.0,76878.0089,22.989,19.2526,22.835,2.3829,1.4220407297411968,2.0596096733135343,0.7916175552936282,2.575569591698624,0.031251411281217445,-0.2083824447063718,0.12343796123191964,0.04394187954066098,0.03157101402681763,0.029098722331625224
10/3/2000,876.0,76878.0089,22.989,19.2526,24.218000000000004,2.3829,1.6792786812700524,2.1912822214846774,0.8395618109963254,2.731558763816829,0.060564922268447674,-0.16043818900367457,0.21211211211211234,0.060564922268447674,0.035149220373061375,0.02990008039260212
10/4/2000,876.0,76878.0089,22.989,19.2526,24.305,2.3829,1.7413715316941123,2.2388901421159484,0.8425778270817444,2.676172649196212,0.0035923693120818445,-0.15360774481125494,0.1806567570193336,0.060564922268447674,0.03523028260012918,0.029702158940173955
10/5/2000,876.0,76878.0089,22.989,19.2526,25.473000000000003,2.3829,1.7784685863874352,2.0520287958115184,0.8830687096997851,2.8047786831094474,0.04805595556469866,-0.08963225045566614,0.15038612654111927,0.060564922268447674,0.036943168636228346,0.028805183686990123
10/6/2000,876.0,76878.0089,22.989,19.2526,25.601999999999997,2.3829,1.818982602950891,1.7904646553622552,0.8875407335505788,2.7534953753495373,0.0050641856082909165,0.010219784555892897,0.10859963626916058,0.060564922268447674,0.030592907541036485,0.028341729774662667
10/9/2000,876.0,76878.0089,22.989,19.2526,25.862,2.3829,1.7814583781458375,1.7534953753495373,0.8965541149552797,2.768654319665988,0.010155456604952873,0.010155456604952873,0.09126967382589979,0.060564922268447674,0.030591933987678562,0.028192800299380635
10/10/2000,876.0,76878.0089,22.989,19.2526,26.121,2.3829,1.796381543731934,1.8612568247510968,0.905532829508424,2.708523434259643,0.010014693372515593,-0.022673700752048442,0.12059202059202057,0.060564922268447674,0.029064386438176073,0.02811424880805695
10/11/2000,876.0,76878.0089,22.989,19.2526,24.954,2.3829,1.5875155537121528,1.789299046038988,0.86507661374194,2.576029730566739,-0.044676696910531666,-0.07234200743494412,0.06459044368600675,0.060564922268447674,0.03053995507835306,0.028723154279871228
10/12/2000,876.0,76878.0089,22.989,19.2526,24.824,2.3829,1.5626096830804168,1.7813564571074636,0.8605699230395896,2.551022505395129,-0.005209585637573122,-0.07864751512452217,0.08505988285689314,0.060564922268447674,0.030523436443881925,0.028552541267917658
10/13/2000,876.0,76878.0089,22.989,19.2526,26.726999999999997,2.3829,1.7465830849861264,1.7465830849861264,0.9265409415516882,2.734499693063229,0.07665968417660318,0.0,0.19535757413122212,0.07665968417660318,0.03513455757910651,0.029895880950331924
10/16/2000,876.0,76878.0089,22.989,19.2526,27.592,2.3829,1.8229997953754862,1.6901984857785965,0.9565277681480967,2.7035077405447776,0.03236427582594392,0.04936487411576773,0.24126141526834322,0.07665968417660318,0.0355702000727558,0.030094950867581672
10/17/2000,876.0,76878.0089,22.989,19.2526,26.813000000000002,2.3829,1.5410348749052316,1.4918498862774832,0.9295222907855509,2.6271800901430535,-0.028232821107567307,0.019738343348292497,0.18999644949405314,0.07665968417660318,0.03621285746651116,0.030337405322912812
