,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3531,4.1127,0.06925069296133057,0.1391829872313355,0.7848113931227696,1.5911150179187232,0.009610846526794337,-0.06138811328280802,-0.009221052631578908,0.07572841018461807,0.027174648817870985,0.025749706491050694
6/28/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3435,4.1127,0.07574018820289186,0.14638512738122555,0.7816095787612981,1.584623706809115,-0.0040797246185881875,-0.06162408905261463,-0.02378572023660741,0.07572841018461807,0.027175240008497265,0.02571904587936781
6/29/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3595,4.1127,0.07838208409506398,0.14140767824497247,0.7869459360304173,1.5954425586584624,0.006827394922125141,-0.055217426123167934,-0.017120719820044816,0.07572841018461807,0.027249612723482145,0.025733685625631653
6/30/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.1672,4.1127,-0.010952902519167584,0.12217050018254838,0.7228095921021912,1.465413482994117,-0.0815003178639544,-0.11863028183334012,-0.09722569357660593,0.07572841018461807,0.03219984786844609,0.02770886785744663
7/1/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3916,4.1127,0.027716900863735905,0.055261913970177545,0.7976520028015875,1.6171478801812156,0.1035437430786268,-0.026102536954839883,0.012446024892049712,0.1035437430786268,0.04005365617875774,0.030622292794854025
7/2/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3691,4.1127,0.03206273143106064,0.054410803746460346,0.7901477503918888,1.6019338697680707,-0.009407927747114853,-0.021194843827466503,0.011096410737911233,0.1035437430786268,0.039982272349291005,0.030628830130482166
7/5/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3691,4.1127,0.023590408295528276,0.09146683949017076,0.7901477503918888,1.6019338697680707,0.0,-0.06218826696223567,0.02085577627439994,0.1035437430786268,0.03869516757752805,0.030601197821322514
7/6/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3627,4.1127,0.03355205599300071,0.12331583552055991,0.788013207484241,1.5976063290283316,-0.0027014478071842873,-0.0799096538027182,0.042536292635573236,0.1035437430786268,0.0384533638998464,0.030447574569427573
7/7/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3723,4.1127,0.07334177902452277,0.1560492263143607,0.7912150218457126,1.6040976401379403,0.00406314809328312,-0.07154318813353677,0.04235686980974562,0.1035437430786268,0.03848382415678384,0.03044729629222908
7/8/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4301,4.1127,0.1042395601399555,0.11587222247466733,0.8104926124804055,1.643180742443708,0.024364540741052876,-0.01042472614733081,0.013639776424459793,0.1035437430786268,0.037992429255036556,0.029857444275493427
7/9/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4172,4.1127,0.07824069943795164,0.10826121866357408,0.8061901744321782,1.6344580431401714,-0.005308423521665828,-0.027087945260615975,0.0042376402160364535,0.1035437430786268,0.03791526707535222,0.02986361238983472
7/12/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3884,4.1127,0.077554703361155,0.1064741709903001,0.7965847313477636,1.614984109811346,-0.011914611947708043,-0.026136595310907396,-0.08096044328151464,0.1035437430786268,0.037900261505957406,0.028125477412243933
7/13/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3819999999999997,4.1127,0.07466726821565528,0.11369275885404928,0.794450188440116,1.610656569071607,-0.002679618154413088,-0.0350415231922222,-0.09673504986538262,0.1035437430786268,0.03786710769490769,0.028054262332559633
7/14/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3563,4.1127,0.0646094067681744,0.10662811186915477,0.7858786645765934,1.5932787882885928,-0.010789252728799159,-0.03797003225411344,-0.1418530118726783,0.1035437430786268,0.03789964035625716,0.027545577139383704
7/15/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.2922,4.1127,0.03860444041685551,0.0545990031717265,0.7644998832671847,1.5499357630671442,-0.02720366676569208,-0.015166487647690796,-0.18141561317048782,0.1035437430786268,0.03675820022835666,0.027580433866924985
7/16/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3018,4.1127,0.045939928204662195,0.028445494615349842,0.7677016976286563,1.556427074176753,0.004188116220225302,0.0170105598020589,-0.1355391144327187,0.1035437430786268,0.036220237999185494,0.026947415697127407
7/19/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.2954,4.1127,0.037093932137532315,0.03275651741743113,0.7655671547210086,1.5520995334370138,-0.0027804327048397415,0.004199842505905993,-0.14206690338254535,0.1035437430786268,0.036176879406609054,0.026933653143620232
7/20/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.2794,4.1127,0.04025191675794093,0.12217050018254838,0.7602307974518894,1.5412806815876663,-0.0069704626644593315,-0.07300012200577499,-0.14497918151468558,0.1035437430786268,0.03185705040347877,0.02694008520417376
7/21/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3211,4.1127,0.07324178110694968,0.10288065843621408,0.7741386785845312,1.5694773142200282,0.018294287970518575,-0.0268740566828779,-0.15761776874500977,0.1035437430786268,0.031563245547081516,0.026681038477243294
7/22/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3114,4.1127,0.11264080100125162,0.13271396938480806,0.7709035119901277,1.5629183852863613,-0.004179053035198832,-0.017721303811992772,-0.152277561798577,0.1035437430786268,0.0314423374118246,0.0266620984211291
7/23/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3595,4.1127,0.14101262150007265,0.1270854490062383,0.7869459360304173,1.5954425586584624,0.02080989876265482,0.012356802677307321,-0.16309012875536477,0.1035437430786268,0.031697445581003826,0.026423421541454235
7/26/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.3595,4.1127,0.11713460536906406,0.1141044458122249,0.7869459360304173,1.5954425586584624,0.0,0.002719816412392273,-0.19415983606557374,0.1035437430786268,0.03163708462580797,0.0258988927482818
7/27/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4589,4.1127,0.15381727746234342,0.09966683872178694,0.8200980555648201,1.6626546757725333,0.042127569400296494,0.04924258587582653,-0.1347080972657212,0.1035437430786268,0.0328779366395746,0.02629069432830809
7/28/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4268,4.1127,0.14726043587198046,0.11544461778471149,0.8093919887936498,1.6409493542497802,-0.013054617918581424,0.02852299215935572,-0.13630863406648164,0.1035437430786268,0.03304199489703074,0.026302100361621963
7/29/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4172,4.1127,0.16356984692403964,0.04322711081159136,0.8061901744321782,1.6344580431401714,-0.003955826602934032,0.11535622000738277,-0.15979005179185934,0.1035437430786268,0.027051044487251756,0.026093526044566762
7/30/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4845,4.1127,0.11138447774547089,0.06982777902035342,0.8286362271954107,1.6799648387314896,0.027842131391693004,0.038844288342532174,-0.15331924754634674,0.042127569400296494,0.01621064993306841,0.02622082454971068
8/2/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4557,4.1127,0.12884986669118348,0.08904109589041109,0.8190307841109963,1.6604909054026642,-0.011591869591467074,0.036553965640960806,-0.1721615426105717,0.042127569400296494,0.016293884184890875,0.02619120318864681
8/3/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4589,4.1127,0.12058515244041357,0.07966093970742372,0.8200980555648201,1.6626546757725333,0.0013030907684161708,0.03790468954455273,-0.17905315170940173,0.042127569400296494,0.016289022264026336,0.026148547112347955
8/4/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4717,4.1127,0.12314263643386192,0.07361294133684737,0.8243671413801154,1.6713097572520115,0.005205579730773957,0.04613366064248536,-0.17563285861988465,0.042127569400296494,0.01626875648858734,0.026163673857302176
8/5/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4365,4.1127,0.09304203490197849,0.06424117356780767,0.8126271553880533,1.647508283183447,-0.01424121050289262,0.027062344560131457,-0.1723845108695652,0.042127569400296494,0.016653939402458094,0.026131507162791914
8/6/1999,-14.0,19.9797,21610.2674,6.8668,33.5497,2.4429,4.1127,0.11972315167071534,0.113856167209057,0.8147616982957009,1.6518358239231858,0.0026267186538064813,0.00526727295173024,-0.17111156351791534,0.042127569400296494,0.01580956052491761,0.026135794598494362
