,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,2397.0,70.5677,133296.4989,33.148,12.8619,30.5004,15.912,0.13418960426598447,0.10473081013543162,0.9625008283709966,1.4705933404692335,-0.019106272813520064,0.02666603833285075,0.04053957239501771,0.04571465117374984,0.019326533226545532,0.026557030918336357
6/28/1999,2397.0,70.5677,133296.4989,33.148,12.8619,30.9531,15.912,0.17300798096089864,0.17729784218464584,0.9767866779009552,1.492420516677756,0.014842428296022447,-0.003643819830491557,0.06316892216802916,0.028195307647080448,0.016798405300757983,0.026594973057366487
6/29/1999,2397.0,70.5677,133296.4989,33.148,12.8619,31.2926,15.912,0.1666853082194335,0.15824814143718902,0.9875002761236655,1.5087896934455791,0.010968206738581898,0.007284420738871367,0.09613599503995007,0.028195307647080448,0.016969328506337228,0.02648789443514484
6/30/1999,2397.0,70.5677,133296.4989,33.148,12.8619,31.9862,15.912,0.19880217976298464,0.14205563342802963,1.0,1.5422319939055553,0.02216498469286665,0.04968807532135955,0.12043183259131074,0.028195307647080448,0.01697576155064375,0.026610494242124284
7/1/1999,2397.0,70.5677,133296.4989,33.148,12.8619,31.5321,15.912,0.14688455900806363,0.08054572502064117,0.9858032526527065,1.5203373159371654,-0.014196747347293481,0.06139382392740056,0.07160189225561764,0.028195307647080448,0.01624460452748395,0.026433852794711277
7/2/1999,2397.0,70.5677,133296.4989,33.148,12.8619,32.5255,15.912,0.19703148116797564,0.10792439220073735,1.0,1.5682346361172987,0.03150440344918359,0.08042704862760486,0.12153802653719903,0.03150440344918359,0.01727562891003005,0.02662193495818257
7/5/1999,2397.0,70.5677,133296.4989,33.148,12.8619,32.5255,15.912,0.18968020863433033,0.13216677578759084,1.0,1.5682346361172987,0.0,0.05079943527465747,0.12483097534574394,0.03150440344918359,0.01635882694022839,0.026615448515628227
7/6/1999,2397.0,70.5677,133296.4989,33.148,12.8619,32.8093,15.912,0.18729305160003906,0.11295266287178318,1.0,1.5819182071532578,0.008725461560929126,0.06679564298488061,0.13242902752610242,0.03150440344918359,0.016280644093264875,0.02662804339326824
7/7/1999,2397.0,70.5677,133296.4989,33.148,12.8619,33.0364,15.912,0.17234746998726025,0.0773322640056493,1.0,1.592867956914591,0.006921817899193217,0.08819489507195599,0.12597349038694228,0.03150440344918359,0.015870464459271316,0.026601697706276715
7/8/1999,2397.0,70.5677,133296.4989,33.148,12.8619,32.8945,15.912,0.22321674265017588,0.13313723886091666,0.9957047378043613,1.5860261713966113,-0.004295262195638694,0.07949566980943223,0.10725321628371964,0.03150440344918359,0.015977418718659223,0.02658103547108772
