,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,20.5,6.6068,0.07014402572521816,-0.011421829894081914,0.9331415461927824,1.9379661754001192,0.028213166144200663,0.08250825082508251,0.042922625316056395,0.09185139174657397,0.031056484170963607,0.037196633793078894
6/28/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,20.2188,6.6068,0.08284641627258083,0.015900899212185182,0.9203415753250064,1.911382951569753,-0.013717073170731675,0.06589768461895318,-0.0030816565013090935,0.09185139174657397,0.031300456485173,0.03703667367001768
6/29/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,21.375,6.6068,0.14957674063397475,0.0201680129935784,0.9729707585302793,2.0206842438623194,0.057184402635171105,0.1268504069841001,0.07547169811320753,0.09185139174657397,0.03339791142494505,0.03761631647719528
6/30/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,21.9688,6.6068,0.18750270270270275,-0.032091891891891766,1.0,2.0768190884941533,0.02778011695906435,0.2268754572413061,0.10534842767295616,0.09185139174657397,0.03046754209627369,0.037757242719521696
7/1/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,21.875,6.6068,0.18243243243243246,-0.02533513513513508,0.9957303084374203,2.0679517115550055,-0.004269691562579725,0.2131682130517487,0.09204095590401007,0.09185139174657397,0.030625727003698852,0.03775912797480859
7/2/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,22.2188,6.6068,0.20101621621621635,0.06418918918918926,1.0,2.1004528223404964,0.015716571428571413,0.12857396825396838,0.08384390243902451,0.057184402635171105,0.02425552595601007,0.037701484203108634
7/5/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,22.2188,6.6068,0.1820459756662003,0.1022455830482687,1.0,2.1004528223404964,0.0,0.07239801532907308,0.11094000000000004,0.057184402635171105,0.02182426698239564,0.03755164722075063
7/6/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,22.0625,6.6068,0.17666666666666675,0.08166933333333337,0.9929654166741677,2.0856770119397625,-0.007034583325832289,0.0878247449621079,0.10658307210031337,0.057184402635171105,0.02123668102838173,0.03756403558635788
7/7/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,22.6875,6.6068,0.19113871548650962,0.05332101286823576,1.0,2.1447613465556197,0.028328611898017053,0.13084112149532712,0.13793103448275867,0.057184402635171105,0.021566646932628386,0.037705737515136645
7/8/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,22.5625,6.6068,0.20233299228375334,0.08410069488851946,0.9944903581267218,2.132944479632448,-0.0055096418732781816,0.10906025422978982,0.11076923076923073,0.057184402635171105,0.021628596870105172,0.037662801880171716
7/9/1999,1786.0,69.8559,60282.8704,14.4089,39.2783,22.9375,6.6068,0.18770226537216828,0.05177993527508096,1.0,2.1683950804019627,0.016620498614958512,0.12923076923076926,0.10708631774040955,0.057184402635171105,0.021710208053047582,0.03763961169214043
