,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,282.0,8683.033000000001,7.9505,10.1655,5.6497,8.6252,0.16433443933804592,0.12888733178080503,0.927823030940025,1.6790097774079469,0.007957039125082499,0.03140004016284226,0.1670281547582162,0.033410843226043374,0.013477825570927745,0.018660561164909193
6/28/1999,282.0,8683.033000000001,7.9505,10.1655,5.7579,8.6252,0.19751674223202031,0.17501351857243863,0.9455921960191815,1.7111652649410087,0.019151459369524115,0.019151459369524115,0.18470433315501422,0.033410843226043374,0.012338747993213479,0.018775920161726523
6/29/1999,282.0,8683.033000000001,7.9505,10.1655,5.7134,8.6252,0.1698916804881545,0.15684829125458166,0.9382841752611181,1.6979405034324944,-0.007728512131158993,0.011274934952298254,0.18954819904226516,0.033410843226043374,0.012483707078799158,0.01873197608722343
6/30/1999,282.0,8683.033000000001,7.9505,10.1655,5.6051,8.6252,0.14329131481254853,0.15887488271529393,0.9204985876634041,1.6657552973342447,-0.018955438092904342,-0.013447153040570203,0.1669997917967938,0.033410843226043374,0.013125504786229553,0.01893095965554168
7/1/1999,282.0,8683.033000000001,7.9505,10.1655,5.6815,8.6252,0.12284827763394524,0.1303978339492875,0.9330453918412928,1.6884602811376266,0.013630443703056105,-0.006678671958319504,0.1674714887496147,0.033410843226043374,0.013400872009567875,0.018934725677441647
7/2/1999,282.0,8683.033000000001,7.9505,10.1655,5.8153,8.6252,0.14076936657708372,0.15950330541224478,0.9550187216711554,1.7282237213587328,0.023550118806653142,-0.016156865398930798,0.19964930376482704,0.024090311661655317,0.012289713860709818,0.019097041688230714
7/5/1999,282.0,8683.033000000001,7.9505,10.1655,5.8153,8.6252,0.12962315462315455,0.14075369075369082,0.9550187216711554,1.7282237213587328,0.0,-0.00975717740012949,0.2107641057672287,0.024090311661655317,0.012219006244195654,0.019036989180705538
7/6/1999,282.0,8683.033000000001,7.9505,10.1655,5.8535,8.6252,0.13288432135322936,0.12918771410323404,0.9612921237600999,1.739576213260424,0.0065688786477053895,0.0032736870972165377,0.21712099473935909,0.024090311661655317,0.012225254042581736,0.019040028536511808
7/7/1999,282.0,8683.033000000001,7.9505,10.1655,5.8025,8.6252,0.1175632210473605,0.12124188671250558,0.9529166392958024,1.7244197450147107,-0.008712735969932495,-0.0032808849800741724,0.20491309674605995,0.024090311661655317,0.012371671090681104,0.01909873537513852
7/8/1999,282.0,8683.033000000001,7.9505,10.1655,5.8153,8.6252,0.15502105346786377,0.14868515134662763,0.9550187216711554,1.7282237213587328,0.002205945713054547,0.005515786561538061,0.1795501105454249,0.024090311661655317,0.012289802970974227,0.018915656967222354
7/9/1999,282.0,8683.033000000001,7.9505,10.1655,5.8025,8.6252,0.18813604439257126,0.16467022953907895,0.9529166392958024,1.7244197450147107,-0.002201090227503255,0.020148033544893584,0.14307946889405465,0.024090311661655317,0.01169114175739017,0.01860994051034268
7/12/1999,282.0,8683.033000000001,7.9505,10.1655,5.7197,8.6252,0.18957198119878527,0.1670687575392038,0.9393187939302371,1.6998127730393175,-0.01426971133132282,0.019281831952240758,0.10600406071739332,0.024090311661655317,0.011744208397970267,0.018603594350713324
7/13/1999,282.0,8683.033000000001,7.9505,10.1655,5.6815,8.6252,0.1909902733523392,0.18164095254066726,0.9330453918412928,1.6884602811376266,-0.006678671958319504,0.007912150295375175,0.055825017189793824,0.024090311661655317,0.011829033757961838,0.01795663635553343
7/14/1999,282.0,8683.033000000001,7.9505,10.1655,5.6306,8.6252,0.15591960748085643,0.14805690706411267,0.9246863298955529,1.6733335314571014,-0.008958901698495003,0.006848702680471552,0.018689052521122518,0.024090311661655317,0.011868135885645288,0.017682839194448952
7/15/1999,282.0,8683.033000000001,7.9505,10.1655,5.6369,8.6252,0.18474537085689047,0.16734273524033716,0.9257209485646719,1.6752058010639246,0.0011188860867401562,0.014907905871338167,-0.0428736373824159,0.024090311661655317,0.011752459447614546,0.01559953719440854
