,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-2083.0,164001.5288,22.1488,9.61,211.8548,0.9184,-0.04028840073133033,-0.07360234547566369,0.8611794700441535,2.0911642047389436,0.0,0.035960739517889584,0.029755542496564757,0.049928535959534504,0.027163815221514457,0.024662651598942646
6/28/1999,-2083.0,164001.5288,22.1488,9.61,222.1302,0.9184,0.020056235526102473,-0.019265925707203313,0.9029484718628128,2.192590033511171,0.04850208727864547,0.04009462122712604,0.0818141617055761,0.049928535959534504,0.0275014195652008,0.02538173637174631
6/29/1999,-2083.0,164001.5288,22.1488,9.61,222.7346,0.9184,0.013567037931643267,-0.02814930567563978,0.905405328500919,2.1985559103539156,0.0027209267357612976,0.04292464248974448,0.07113243959525484,0.049928535959534504,0.02749678812710512,0.02534208492521442
6/30/1999,-2083.0,164001.5288,22.1488,9.61,229.6856,0.9184,0.02934742810585944,-0.07087839718271871,0.9336608058197096,2.2671674423425245,0.03120754476403742,0.10787159074191544,0.10455985315213634,0.049928535959534504,0.027185078921838367,0.025617663865861135
7/1/1999,-2083.0,164001.5288,22.1488,9.61,234.5211,0.9184,0.03622804509859634,-0.11199534821862134,0.953316878409986,2.3148974183072664,0.021052691156955294,0.16691736132223478,0.09707465283868832,0.049928535959534504,0.026094157556889742,0.025517948664806795
7/2/1999,-2083.0,164001.5288,22.1488,9.61,236.6366,0.9184,0.05672805250491986,-0.09037691133922476,0.9619162831385001,2.3357789743311335,0.00902051030802764,0.16172078927847489,0.09666389530750497,0.049928535959534504,0.026062273516488096,0.025516175742960855
7/5/1999,-2083.0,164001.5288,22.1488,9.61,236.6366,0.9184,0.047417757668736016,-0.0649488898469307,0.9619162831385001,2.3357789743311335,0.0,0.12017166366154264,0.02686757062745082,0.049928535959534504,0.025198039594644266,0.024068458667762412
7/6/1999,-2083.0,164001.5288,22.1488,9.61,235.4278,0.9184,0.0329663386632606,-0.05985495425254139,0.9570025698622875,2.323847220645645,-0.005108254597978479,0.09873082173400682,0.002395416604929146,0.049928535959534504,0.025223371250980575,0.02396204903738139
7/7/1999,-2083.0,164001.5288,22.1488,9.61,235.73,0.9184,0.01916054686115154,-0.09974137282521012,0.9582309981813406,2.3268301590670175,0.001283620710893052,0.13207529047458522,-0.004830832217762815,0.049928535959534504,0.024089492379254247,0.02393925087664161
7/8/1999,-2083.0,164001.5288,22.1488,9.61,233.01,0.9184,0.061287400235295,-0.04608021439818244,0.9471743303195783,2.2999817391261432,-0.011538624697747468,0.11255413322383334,-0.020467565836047696,0.049928535959534504,0.024398993534647487,0.023978859463747844
7/9/1999,-2083.0,164001.5288,22.1488,9.61,236.3344,0.9184,0.07253949733674059,-0.07421455745692207,0.960687854819447,2.3327960359097615,0.014267198832668138,0.15851842991885667,-0.02461629004506427,0.049928535959534504,0.023372604703329816,0.023930919933444678
7/12/1999,-2083.0,164001.5288,22.1488,9.61,236.0322,0.9184,0.1061408215724271,-0.021327328495408415,0.9594594265003938,2.3298130974883895,-0.001278696626475062,0.13024594819008128,0.0015419945279135927,0.049928535959534504,0.02312988563651099,0.02367615590256434
7/13/1999,-2083.0,164001.5288,22.1488,9.61,230.8945,0.9184,0.09225234515807057,-0.034986494349387165,0.9385749255910643,2.2791001831022757,-0.02176694535745549,0.13185187436488066,0.02154362502217677,0.049928535959534504,0.02304393424106632,0.023257579613386828
7/14/1999,-2083.0,164001.5288,22.1488,9.61,229.9879,0.9184,0.06983108339120814,-0.01451837159421121,0.9348896406339048,2.2701513678381593,-0.003926468581971432,0.08559211308877579,-0.001113165934255922,0.049928535959534504,0.021897276972479257,0.023148505379959005
7/15/1999,-2083.0,164001.5288,22.1488,9.61,232.7078,0.9184,0.10813396400090092,0.059203417909644784,0.9459459020005251,2.296998800704771,0.011826274338780474,0.04619560819377022,0.023199512820343715,0.04850208727864547,0.019343634055025722,0.023137928179519842
7/16/1999,-2083.0,164001.5288,22.1488,9.61,236.9389,0.9184,0.1229603179982075,0.07426056269606507,0.9631451179526953,2.338762899826768,0.018182029136969202,0.04533328039141726,0.010558582089392976,0.04850208727864547,0.019308231012107546,0.022923643978628054
7/19/1999,-2083.0,164001.5288,22.1488,9.61,237.2411,0.9184,0.0883872409162707,0.028768449945383745,0.9643735462717484,2.3417458382481406,0.0012754342997287615,0.05795161289603312,-0.00014750748179026552,0.04850208727864547,0.019082068003799454,0.022876099099902375
7/20/1999,-2083.0,164001.5288,22.1488,9.61,235.1256,0.9184,0.09981294457237544,0.0630581200251279,0.9557741415432344,2.320864282224273,-0.008917088986689081,0.03457461436480913,-0.024753062506066126,0.04850208727864547,0.019084748010655492,0.022813795378355733
7/21/1999,-2083.0,164001.5288,22.1488,9.61,229.6856,0.9184,0.10107199458489813,0.07209669331712387,0.9336608058197096,2.2671674423425245,-0.023136570411728896,0.02702676115726388,-0.04572656461629743,0.04850208727864547,0.019478832765032712,0.022996562870401208
7/22/1999,-2083.0,164001.5288,22.1488,9.61,232.1034,0.9184,0.17678964724206336,0.12009517609504239,0.9434890453624188,2.291032923862027,0.01052656326735324,0.05061576226466169,-0.020971404853818543,0.04850208727864547,0.019314558487909056,0.022961247175906436
7/23/1999,-2083.0,164001.5288,22.1488,9.61,228.77900000000002,0.9184,0.14260499895617862,0.05807942832542068,0.9299755208625502,2.2582186270784086,-0.014322926764536725,0.07988584634381657,-0.057361598050603035,0.04850208727864547,0.017048043790816116,0.022824998331217143
7/26/1999,-2083.0,164001.5288,22.1488,9.61,228.1745,0.9184,0.13506381094747621,0.053880765184169954,0.9275182577293019,2.2522517631614014,-0.002642287972235313,0.0770324769606352,-0.04962495142424328,0.04850208727864547,0.017087223290039803,0.022790060485330294
7/27/1999,-2083.0,164001.5288,22.1488,9.61,228.4768,0.9184,0.17143139867730173,0.13889152366659885,0.928747092543497,2.255235688657036,0.0013248632077642597,0.0285715314711823,-0.07125290745650303,0.03120754476403742,0.013656075276265821,0.022562483192879304
7/28/1999,-2083.0,164001.5288,22.1488,9.61,229.9879,0.9184,0.17318139664901366,0.1361818996132378,0.9348896406339048,2.2701513678381593,0.006613800613453957,0.032564765420370234,-0.05191023343610346,0.03120754476403742,0.013700810480647203,0.022519942891110884
7/29/1999,-2083.0,164001.5288,22.1488,9.61,221.8766,0.9184,0.1835792137516643,0.22523556723908356,0.9019176001827601,2.1900868131813898,-0.03526837716245068,-0.03399864858746038,-0.08229903579535314,0.021052691156955294,0.014192697513090317,0.02293808955962704
7/30/1999,-2083.0,164001.5288,22.1488,9.61,216.1175,0.9184,0.14554566705007432,0.2430952141164746,0.8785071384611882,2.1332402193279014,-0.025956319864284927,-0.07847310966902332,-0.07129241048215829,0.018182029136969202,0.014156772597479023,0.02268739078317696
8/2/1999,-2083.0,164001.5288,22.1488,9.61,213.6927,0.9184,0.1840085238228215,0.31113393882173535,0.8686504442585407,2.1093056426100216,-0.011219822550233127,-0.09695837414837771,-0.08881247785380497,0.018182029136969202,0.01392831857010511,0.02269607304110842
8/3/1999,-2083.0,164001.5288,22.1488,9.61,213.9958,0.9184,0.19893595147239518,0.32578362367014924,0.8698825310338716,2.1122974646997568,0.001418391924478568,-0.09567750719880186,-0.04912562274607246,0.018182029136969202,0.013955924055216763,0.022137034352556848
8/4/1999,-2083.0,164001.5288,22.1488,9.61,212.4802,0.9184,0.14441245775378042,0.26800759422085174,0.8637216906620748,2.0973373671768196,-0.007082381990674569,-0.0974719213278975,-0.06257425655211357,0.018182029136969202,0.013965570074283205,0.022129645226526246
8/5/1999,-2083.0,164001.5288,22.1488,9.61,213.3895,0.9184,0.12513913341042016,0.24293392092318666,0.8674179509880677,2.106312833446024,0.0042794575682816305,-0.09477156068383319,-0.0717639223775497,0.018182029136969202,0.014045657611242981,0.022056228360259035
8/6/1999,-2083.0,164001.5288,22.1488,9.61,205.5087,0.9184,0.10805416133556123,0.2563346473059249,0.8353828818391791,2.028523484964391,-0.03693152662150667,-0.11802626496716873,-0.1206874863081221,0.018182029136969202,0.01566890660432946,0.022397303210457787
