,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.9777,8.2784,0.1139126726372075,0.05216022045074298,0.895042333118944,1.480092758070562,-0.006355969402386918,0.058691110903251964,0.2551064915095107,0.07061547852023375,0.025460484147102593,0.027429504680066233
6/28/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.575,8.2784,0.1946842498810415,0.08025966963496711,0.9265312147443671,1.5321645583966104,0.0351814438940492,0.10592321778035063,0.32754726672558476,0.07061547852023375,0.026230346163461624,0.027512901716423233
6/29/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.7017,8.2784,0.1918330247433091,0.06996801885204529,0.9332106744830931,1.5432100917991054,0.00720910384068274,0.11389593309715118,0.3086294716453881,0.07061547852023375,0.026207048597447533,0.02742969426954162
6/30/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.3759,8.2784,0.17831470731839638,0.15376634297184388,0.9160349208692261,1.5148072916212612,-0.018405011948004812,0.021276720798876214,0.2845441305842433,0.04458624876100448,0.022005738704642973,0.027577529099146115
7/1/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.7198,8.2784,0.11351439667198715,0.06233111717169182,0.9341648830171969,1.544788025142319,0.019791780569639483,0.04818015651896146,0.2532303579385118,0.04458624876100448,0.02229228187159015,0.027151199086437226
7/2/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.937,8.2784,0.2192916864931007,0.18976276255862978,0.9456153854264417,1.5637232252608821,0.012257474689330694,0.024819169723355294,0.2866180816572461,0.04458624876100448,0.021130327636296364,0.027072612432950966
7/5/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.937,8.2784,0.1851886113001593,0.20193203517836977,0.9456153854264417,1.5637232252608821,0.0,-0.013930424839475708,0.28330423833099627,0.04458624876100448,0.019261922454082408,0.02707730300364834
7/6/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.1768,8.2784,0.13495833966552806,0.2103037471174749,0.905538626994085,1.4974500248459117,-0.0423816691754475,-0.06225330428943443,0.22575857049068038,0.04458624876100448,0.02121746616476522,0.02770905466508396
7/7/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.9913,8.2784,0.1804540384489206,0.18401679679811034,0.9484780110287528,1.5684570252905226,0.04741861114992307,-0.0030090437558186744,0.2805924892520568,0.04741861114992307,0.023666136371176778,0.0282527783640701
7/8/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.7198,8.2784,0.17498292542222282,0.18098389353420563,0.9341648830171969,1.544788025142319,-0.015090627136449264,-0.00508132934313299,0.19102286628399345,0.04741861114992307,0.023727333646059657,0.027471824859901215
7/9/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.756,8.2784,0.20582402955477686,0.21688669763398805,0.9360733000854043,1.5479438918287463,0.0020429124482217453,-0.009090959824542777,0.12022409529097056,0.04741861114992307,0.02369191313403618,0.0262913046757782
7/12/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.6655,8.2784,0.23702785597243836,0.20534151226138975,0.9313022574148858,1.5400542251126783,-0.005096868664113519,0.026288270493231902,0.007988359818550173,0.04741861114992307,0.02197244877127481,0.02271579752401067
7/13/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.3397,8.2784,0.2420543676802407,0.24335088284803552,0.9141265038010187,1.5116514249348338,-0.018442727349919363,-0.0010427588749726269,-0.026608733727412015,0.04741861114992307,0.022326503234328145,0.02274305339588615
7/14/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.2854,8.2784,0.24291014726185,0.21688046479521406,0.9112638781987074,1.506917624905193,-0.0031315420682019868,0.021390500726804262,-0.04605433804822334,0.04741861114992307,0.021589338599695817,0.022636667402660227
7/15/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.3035,8.2784,0.24580615433352038,0.22886517776145854,0.9122180867328111,1.5084955582484068,0.001047126476679816,0.013785870800670175,-0.03449988282426997,0.04741861114992307,0.02152398729773606,0.02259787834459828
7/16/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.1801,8.2784,0.2306221123885248,0.22131012499552316,0.9057125987157725,1.4977377143504753,-0.007131505186811937,0.007624588712089597,-0.0156644799037442,0.04741861114992307,0.021591887128003927,0.02237336989392829
7/19/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.5441,8.2784,0.23158840583779683,0.2502755333412894,0.9249022068049303,1.5294707384902402,0.02118730391557677,-0.01494640741593356,-0.013140057487751489,0.04741861114992307,0.01973107627462063,0.022410750154414627
7/20/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.5259,8.2784,0.26994674106010663,0.2774392232165501,0.9239427264004725,1.527884087283252,-0.0010373857878147597,-0.005865235715541761,0.009684407010104978,0.04741861114992307,0.019608491705671353,0.022205956149974265
7/21/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.6533,8.2784,0.2581012992010947,0.242201586407919,0.9306590892316777,1.5389906457321698,0.007269241522546821,0.012799623641725377,0.0034217960450404483,0.04741861114992307,0.019496647382259827,0.02215993424361406
7/22/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.6169,8.2784,0.3034204159545424,0.27755458386049003,0.928740128422762,1.5358173433181932,-0.0020619374281296565,0.020246361619940645,-0.01883587392996977,0.04741861114992307,0.019371779479451092,0.02200877645084736
7/23/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.7625,8.2784,0.3246502401336395,0.27422217581958663,0.936415971658425,1.548510552974099,0.0082647911948186,0.03957556638944637,-0.03504530737304157,0.04741861114992307,0.019241283026373148,0.02179759142748777
7/26/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.4713,8.2784,0.30640216546030974,0.2694936292396961,0.9210642851870987,1.5231241336622872,-0.016394088669950735,0.0290734316191239,-0.06646967988757857,0.04741861114992307,0.019581588899991533,0.02177902371400532
7/27/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.5077,8.2784,0.29534104277184636,0.3003203634238192,0.9229832459960146,1.5262974360762638,0.002083416803557947,-0.003829302987197747,-0.07701675400398544,0.04741861114992307,0.018007843335309442,0.021704615869351313
7/28/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.7989,8.2784,0.3220997429916954,0.31487974091185933,0.9383349324673408,1.5516838553880756,0.016632681620087242,0.0054909980397364055,-0.04527192657794665,0.04741861114992307,0.01831206504613628,0.02171727245098674
7/29/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.1437,8.2784,0.26674154148532914,0.2838987121038594,0.9037936379068566,1.494564411936499,-0.0368112636174146,-0.01336333657537181,-0.09187365253918567,0.04741861114992307,0.019649797765431798,0.0221246164688381
7/30/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.0709,8.2784,0.23857444477497158,0.28565520543870204,0.8999557162890252,1.4882178071085461,-0.004246457882487342,-0.036620052145057924,-0.09918471808131712,0.04741861114992307,0.01910386218864807,0.0221178539600095
8/2/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.0527,8.2784,0.23090415626037641,0.29473501855086703,0.8989962358845672,1.486631155901558,-0.0010661417968590436,-0.04930032892902936,-0.09583194150614249,0.04741861114992307,0.018840016678438345,0.02211372026903867
8/3/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.8525,8.2784,0.2243096571715013,0.3030970076063031,0.8884419514355303,1.469177992624687,-0.011740076351545614,-0.06046161565479191,-0.1098592888381823,0.04741861114992307,0.01894426043929867,0.022141770555568464
8/4/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.6523,8.2784,0.18827021742698324,0.2256973433519578,0.8778876669864936,1.4517248293478164,-0.011879543094496348,-0.030535373294210744,-0.08998852396305801,0.04741861114992307,0.016805944301560478,0.021805493523069604
8/5/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.3429,8.2784,0.14156689624341645,0.2567091826043222,0.8615765001107093,1.4247517588290164,-0.018580015973769348,-0.09162206177430199,-0.08610556571434957,0.02118730391557677,0.0129632446882102,0.02174546756740616
8/6/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.8161,8.2784,0.18492499136819385,0.2486030567162496,0.8865229906266145,1.4660046902107104,0.028954469524992366,-0.05099944694635383,-0.08103721514836881,0.028954469524992366,0.014618898529069838,0.02185994872721275
8/9/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.8161,8.2784,0.2200875009976273,0.2882816864620139,0.8865229906266145,1.4660046902107104,0.0,-0.052934219418788064,-0.04416504197668414,0.028954469524992366,0.014594719467500752,0.02132727051061119
8/10/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.1255,8.2784,0.27039998813091604,0.31045814664253313,0.9028341575023987,1.4929777607295107,0.01839903425883538,-0.030568056381081954,-0.0245715359773081,0.028954469524992366,0.015269478194890745,0.02145841627536974
8/11/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.2529,8.2784,0.23898743267504474,0.24522082585278282,0.9095505203336041,1.5040843191784286,0.0074391988555080335,-0.005005853619151401,-0.027342582831113016,0.028954469524992366,0.01486128195686597,0.02143884668779885
8/12/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.8171,8.2784,0.3079074479174313,0.26887671956895143,0.9392944128717987,1.5532705065950638,0.0327017486915242,0.030760063406111593,0.009616147421149801,0.0327017486915242,0.016469930998808835,0.02182544030952486
8/13/1999,2284.0,31.4548,79986.2484,11.9023,12.875,18.1265,8.2784,0.36812033934124333,0.3060033813362315,0.9556055797475829,1.5802435771138639,0.01736534003850232,0.047562631837489544,0.06539358994704325,0.0327017486915242,0.01682500749259543,0.02142527299040015
8/16/1999,2284.0,31.4548,79986.2484,11.9023,12.875,18.1447,8.2784,0.42895281897006576,0.35298750187038785,0.9565650601520408,1.581830228320852,0.0010040548368410729,0.056146355376278434,0.0802538593890465,0.0327017486915242,0.016688887491204774,0.02135029662428662
8/17/1999,2284.0,31.4548,79986.2484,11.9023,12.875,18.0537,8.2784,0.4419888178913738,0.40128594249201277,0.9517676581297513,1.5738969722859109,-0.005015238609621608,0.029046802058811716,0.057738953140928695,0.0327017486915242,0.01621324648634751,0.02128148318551152
8/18/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.7625,8.2784,0.4796781153420022,0.4599685112834566,0.936415971658425,1.548510552974099,-0.01612965763250751,0.01350001997044381,0.028678484766002876,0.0327017486915242,0.016659222122797163,0.021347189824347933
8/19/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.5623,8.2784,0.3454092772053472,0.35238058758187485,0.9258616872093882,1.5310573896972286,-0.011270935960591033,-0.00515484357032403,0.024602405983454645,0.0327017486915242,0.016788394323921985,0.021376722137767295
8/20/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.5623,8.2784,0.3564973584206137,0.36071461673927163,0.9258616872093882,1.5310573896972286,0.0,-0.0030992966980569747,0.03664374465070974,0.0327017486915242,0.016782448034030756,0.02131960250960261
8/23/1999,2284.0,31.4548,79986.2484,11.9023,12.875,18.3449,8.2784,0.4307027600352511,0.3852818917042964,0.9671193446010776,1.5992833915977227,0.044561361552871714,0.03278817733990147,0.09335105431919222,0.044561361552871714,0.019350299804288196,0.02197554406831385
8/24/1999,2284.0,31.4548,79986.2484,11.9023,12.875,18.3995,8.2784,0.407625867358258,0.3366153328284103,0.9699977858144513,1.6040433452186875,0.002976304040905209,0.05312712849072487,0.14735135472204042,0.044561361552871714,0.018900370003043076,0.021176124588964305
8/25/1999,2284.0,31.4548,79986.2484,11.9023,12.875,18.3267,8.2784,0.4020564136696425,0.339400059672718,0.9661598641966197,1.5976967403907345,-0.00395662925622986,0.04677941705649502,0.15322463927710683,0.044561361552871714,0.01895509523560746,0.021141571906098992
8/26/1999,2284.0,31.4548,79986.2484,11.9023,12.875,18.3813,8.2784,0.3133158522731332,0.27170426047256013,0.9690383054099934,1.6024566940116993,0.0029792597685345257,0.0327211232154796,0.15666039504898777,0.044561361552871714,0.01867273604996484,0.021139260733210145
8/27/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.9445,8.2784,0.3121161158233403,0.25356098274349237,0.9460107757030041,1.5643770650439817,-0.023763281160744776,0.046711036707361986,0.05469645407578527,0.044561361552871714,0.01750799022262649,0.019518463733328308
8/30/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.3257,8.2784,0.3272838702263763,0.30776420117209957,0.9133884419514356,1.5104309240063816,-0.0344841037643846,0.014925985156025723,0.024867940823292134,0.044561361552871714,0.019233455410434787,0.020005661407466596
8/31/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.4885,8.2784,0.27531131564699507,0.31894964807796433,0.8692523433463724,1.4374449684849222,-0.048321279948285056,-0.033085669717992094,-0.05793996320546679,0.044561361552871714,0.022033187662579237,0.020433836351498296
9/1/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.8889,8.2784,0.30807122443131196,0.3052519885681533,0.8903609122444461,1.4723512950386637,0.024283591594141507,0.002159916926272043,-0.07154872899991205,0.044561361552871714,0.02258092740352573,0.020043165486385545
9/2/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.1255,8.2784,0.30837872733801386,0.2722265090800742,0.9028341575023987,1.4929777607295107,0.01400920130973593,0.028416495018706023,-0.06505396596622837,0.044561361552871714,0.022586804736699034,0.020107746452971913
9/3/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.2347,8.2784,0.3385447004823039,0.2692824467795927,0.9085910399291461,1.5024976679714401,0.006376456161863997,0.054568038720178125,-0.04493616172363346,0.044561361552871714,0.022124942826929433,0.020047756159493405
9/6/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.2347,8.2784,0.41682628675714994,0.3824141134302834,0.9085910399291461,1.5024976679714401,0.0,0.02489281105607133,-0.03231837756803657,0.044561361552871714,0.02129814297951288,0.019983755006140056
9/7/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.9981,8.2784,0.4818712022805931,0.46600469021071045,0.8961177946711936,1.439114422384964,-0.013728118273018897,0.010822961328726732,-0.05138708291245553,0.044561361552871714,0.021552056086160492,0.02003701658966216
9/8/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.0709,8.2784,0.40953678474114463,0.4140450829824127,0.8999557162890252,1.4452779071244126,0.004282831610591842,-0.0031882280809317765,-0.008255388369255767,0.044561361552871714,0.02119067109947356,0.01942060870473384
9/9/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.1073,8.2784,0.4314654126467461,0.4436485955032674,0.9018746770979408,1.4483596494941369,0.0021322835937178652,-0.008439160952651514,-0.014431552385671176,0.044561361552871714,0.021129856634742282,0.019393111212285926
9/10/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.5249,8.2784,0.28164579051460037,0.38186683212471406,0.8711713041552882,1.3990517715785462,-0.03404394615164286,-0.07252583192550988,-0.02354727773378884,0.044561361552871714,0.020954061411353267,0.01961249984024425
9/13/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.3621,8.2784,0.32285690339588724,0.3810982346263152,0.9153074027603515,1.4699318460822082,0.0506629389587836,-0.042170303147325616,0.017219156091444976,0.0506629389587836,0.023683511246552182,0.020607554961542124
9/14/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.0163,8.2784,0.274066143052883,0.35855314879566325,0.8970772750756515,1.440655293569826,-0.019916945530782604,-0.06218895875930708,-0.001982393065143251,0.0506629389587836,0.023998333595200295,0.02076660239305404
9/15/1999,2284.0,31.4548,79986.2484,11.9023,12.875,17.0891,8.2784,0.23989494075906737,0.3098812279161556,0.9009151966934829,1.4468187783092747,0.004278250853593235,-0.05342949090768101,-0.04049342234549691,0.0506629389587836,0.024040692211761173,0.019982529515555306
9/16/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.4703,8.2784,0.22828356650657766,0.3246502401336395,0.8682928629419147,1.3944291580239598,-0.03621021586859441,-0.07274876847290623,-0.06574282586376079,0.0506629389587836,0.024997062206502774,0.0204505158038418
9/17/1999,2284.0,31.4548,79986.2484,11.9023,12.875,16.9799,8.2784,0.33909827209564614,0.3850285092388863,0.8951583142667356,1.4375735512001016,0.030940541459475446,-0.033161943481206935,-0.02583447120514959,0.0506629389587836,0.026000482826145102,0.02079279191015506
