,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,2201.0,68651.0852,13.1739,15.856,17.873,2.5698,-0.3187604817807592,-0.2464552523250496,0.6630434782608696,1.0948909580985051,0.0044961501714158025,-0.09595346484572576,-0.11044196695202058,0.024674891630543483,0.01698806969983189,0.024187158121881748
6/28/1999,2201.0,68651.0852,13.1739,15.856,17.742,2.5698,-0.3237536209788078,-0.24954261320323223,0.6581837067814216,1.0868659642244547,-0.007329491411626532,-0.09888770379399658,-0.11876024437490673,0.024674891630543483,0.016997419851840334,0.024193404717703742
6/29/1999,2201.0,68651.0852,13.1739,15.856,18.471,2.5698,-0.29596737307516396,-0.24954261320323223,0.6852277786021665,1.1315241362411173,0.04108894149475817,-0.061861953374980905,-0.07325272189052212,0.04108894149475817,0.01972459817998762,0.024760724798797464
6/30/1999,2201.0,68651.0852,13.1739,15.856,18.309,2.5698,-0.3021420948315292,-0.2633785638054581,0.6792179848642232,1.1216000980151923,-0.00877050511612798,-0.052623408879230005,-0.08138076363453894,0.04108894149475817,0.01945361735567528,0.02478018813021957
7/1/1999,2201.0,68651.0852,13.1739,15.856,18.430999999999997,2.5698,-0.3142208662003275,-0.30343057002530127,0.6837438789137853,1.1290737564322468,0.0066633895898189355,-0.015490625500774624,-0.0657914744791932,0.04108894149475817,0.018365899903690495,0.024771194607253223
7/2/1999,2201.0,68651.0852,13.1739,15.856,18.188,2.5698,-0.32527081169312955,-0.2950363555423653,0.6828352605496321,1.1141876990933592,-0.013184309044544484,-0.042887965058148736,-0.05688358828104756,0.04108894149475817,0.018196369940158018,0.02466696408916546
7/5/1999,2201.0,68651.0852,13.1739,15.856,18.188,2.5698,-0.3088615291077672,-0.2748138014895881,0.6828352605496321,1.1141876990933592,0.0,-0.046950324879480254,-0.09295830839816477,0.04108894149475817,0.01814757943620069,0.024119084997111826
7/6/1999,2201.0,68651.0852,13.1739,15.856,17.985,2.5698,-0.3207055446442061,-0.2807448255023417,0.6752139960955098,1.101752021563342,-0.011161205190235335,-0.05555847292968541,-0.08277233782129745,0.04108894149475817,0.0182542880228186,0.024005172602027215
7/7/1999,2201.0,68651.0852,13.1739,15.856,17.499000000000002,2.5698,-0.3430319867848024,-0.277481603844421,0.6599411675969228,1.0719799068855673,-0.027022518765637882,-0.09072486360093523,-0.07520346686396773,0.04108894149475817,0.018737683728359013,0.023844235945506
7/8/1999,2201.0,68651.0852,13.1739,15.856,17.459,2.5698,-0.3415673555589078,-0.29397344999245734,0.6736764932860009,1.0695295270766967,-0.0022858449054232732,-0.06741092890337053,-0.06741092890337053,0.04108894149475817,0.017990731644181152,0.023812874496326086
