,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
4/12/2002,918.0,55571.6134,18.0978,65.0587,4.7852,2.4032,-0.723256472983211,-0.6283695080127927,0.24295535088699113,1.1333428070674056,0.13334280706740564,-0.25532610218023943,-0.33146122357740626,0.13334280706740564,0.042867703625335,0.06705970048390789
4/15/2002,918.0,55571.6134,18.0978,65.0587,4.8335,2.4032,-0.7335975219912256,-0.6631208800899491,0.24540765036200612,1.1447823409596893,0.010093622001170255,-0.20920454173619973,-0.2759018456375839,0.13334280706740564,0.04233741344778656,0.06659210145855561
4/16/2002,918.0,55571.6134,18.0978,65.0587,5.4286,2.4032,-0.7134970814553668,-0.6812400384213471,0.2756222138730085,1.2857278196201034,0.12311989241750299,-0.10119540382131853,-0.14557330605178254,0.13334280706740564,0.05136996689958189,0.06819720031522301
4/17/2002,918.0,55571.6134,18.0978,65.0587,5.6538,2.4032,-0.7129438763594269,-0.7121264432010885,0.2960011727380292,1.3390649424470655,0.04148399218951471,-0.002839556253196651,0.007161179991449496,0.13334280706740564,0.050516699569673994,0.06674693482508323
4/18/2002,918.0,55571.6134,18.0978,65.0587,5.5251,2.4032,-0.7107368354920788,-0.7052605677308567,0.28938436881304797,1.30858320306949,-0.022763451130213386,-0.01858003090750837,-0.015765284309533945,0.13334280706740564,0.05075785506120922,0.06682050026945036
4/19/2002,918.0,55571.6134,18.0978,65.0587,5.6297,2.4032,-0.7051370688120004,-0.7085101033908425,0.3067505053752309,1.3333570176685139,0.018931784040107758,0.011571703232530206,0.08866413985148514,0.13334280706740564,0.05083978196554096,0.06604850748090939
4/22/2002,918.0,55571.6134,18.0978,65.0587,5.2838,2.4032,-0.7120968576830657,-0.6954453568139838,0.2933016558515451,1.2514329022784332,-0.06144199513295545,-0.054674920385014536,-0.11575600368170025,0.13334280706740564,0.052664712713356585,0.0635975952513161
4/23/2002,918.0,55571.6134,18.0978,65.0587,5.4447,2.4032,-0.6977668485531421,-0.6982164763612343,0.3098403195884502,1.2895409975841978,0.0304515689465914,0.0014899017768457146,-0.1309337589784516,0.13334280706740564,0.052751570321527226,0.06341629827059699
4/24/2002,918.0,55571.6134,18.0978,65.0587,5.5089999999999995,2.4032,-0.6865005747584307,-0.7066341918668837,0.3391072044122716,1.304770025105395,0.011809649751133966,0.06862973308504028,-0.12067039106145261,0.13334280706740564,0.0513570891341527,0.06343482933234695
4/25/2002,918.0,55571.6134,18.0978,65.0587,5.4688,2.4032,-0.6633673117644162,-0.6841606342640469,0.3368006158583526,1.2952489223627492,-0.007297150117988704,0.0658351198596765,-0.1076154887978722,0.13334280706740564,0.051383207480586446,0.06338125901361051
