,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
7/31/2006,375.0,21.9653,10047.524,5.3545,26.129,2.595,3.0424,0.004373572783217927,-0.11642218523822412,0.8655193115869522,1.4399067806014871,0.02334568972316431,0.1367120767444916,-0.11466684862338361,0.06302757456387154,0.024836532685369547,0.025543641265215713
8/1/2006,375.0,21.9653,10047.524,5.3545,26.129,2.5262,3.0424,-0.11658973282976648,-0.21401594628619391,0.8425722099926621,1.4017312174009542,-0.026512524084778555,0.12395444029186686,-0.11742305139223708,0.06302757456387154,0.02543297514104147,0.025588433675478604
8/2/2006,375.0,21.9653,10047.524,5.3545,26.129,2.4525,3.0424,-0.1111554073644534,-0.1854160626268484,0.817990794476686,1.360836755077128,-0.029174253819966633,0.09116390816871345,-0.14555969759258602,0.06302757456387154,0.026543019456404544,0.02581461291983903
8/3/2006,375.0,21.9653,10047.524,5.3545,26.129,2.4365,3.0424,-0.10920590816028075,-0.17885346592570928,0.8126542592221999,1.3519587171235157,-0.006523955147808347,0.08481745325022261,-0.13522626441881092,0.06302757456387154,0.02663017910502625,0.025737474883192755
8/4/2006,375.0,21.9653,10047.524,5.3545,26.129,2.4654,3.0424,-0.08260772493860236,-0.16484334300811176,0.8222933760256153,1.3679946731772277,0.01186127642109569,0.0984672963821065,-0.11997144386935576,0.06302757456387154,0.026655129725168793,0.025791642642294547
8/7/2006,375.0,21.9653,10047.524,5.3545,26.129,2.4606,3.0424,-0.05637367694431672,-0.15585212455898145,0.8206924154492695,1.3653312617911442,-0.0019469457288877612,0.11784481192077045,-0.12118289938926396,0.06302757456387154,0.026136483675238992,0.025791251524275752
8/8/2006,375.0,21.9653,10047.524,5.3545,26.129,2.3885,3.0424,-0.09782813975448534,-0.17340887629839463,0.7966446534587419,1.3253246032626789,-0.029301796309843087,0.09143666605739353,-0.12493130610001824,0.06302757456387154,0.027134640037852934,0.025857384186241207
8/9/2006,375.0,21.9653,10047.524,5.3545,26.129,2.4061,3.0424,-0.11256592778371999,-0.1851879172352746,0.8025148422386764,1.3350904450116523,0.00736864140674065,0.08912728589534669,-0.1074965688638303,0.06302757456387154,0.027119027004546863,0.025847116710636543
8/10/2006,375.0,21.9653,10047.524,5.3545,26.129,2.3773,3.0424,-0.15114618296079418,-0.21459687209883593,0.7929090787806017,1.3191099766951504,-0.011969577324300706,0.08078741589379868,-0.11079109781185714,0.06302757456387154,0.02729272070707069,0.02586682743818393
8/11/2006,375.0,21.9653,10047.524,5.3545,26.129,2.3356,3.0424,-0.1631973057217585,-0.23485364193328795,0.7790007337735974,1.2959715902785485,-0.017540907752492396,0.09365049634763056,-0.15715780736891494,0.06302757456387154,0.02670096063122661,0.025478100186218513
