,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1702.0,200849.3987,12.2339,16.701,9.1689,5.3234,0.6268164156065366,0.692482390305353,0.8582701488345971,1.819334484195488,-0.010884808733737428,-0.03879861620714953,0.09658785117146862,0.0626223326969031,0.03366568697669766,0.03887998793833453
6/28/1999,1702.0,200849.3987,12.2339,16.701,9.6568,5.3234,0.6956926372719452,0.704542660977366,0.90394084058785,1.916145802329504,0.0532124900478792,-0.00519202241635075,0.1666747209201178,0.0626223326969031,0.03551308550554591,0.03937241337500372
6/29/1999,1702.0,200849.3987,12.2339,16.701,9.6904,5.3234,0.6135338095475964,0.6163311520721981,0.9070860245249462,1.9228128658451893,0.003479413470300674,-0.0017306741387835833,0.16598683656403046,0.0626223326969031,0.035519486190669615,0.039372272561160736
6/30/1999,1702.0,200849.3987,12.2339,16.701,9.6399,5.3234,0.5851709338463817,0.6100669264795358,0.9023588879528224,1.9127924281207216,-0.005211343185007822,-0.015462706688590733,0.15991047900949362,0.0626223326969031,0.035489381589197976,0.039384555439342585
7/1/1999,1702.0,200849.3987,12.2339,16.701,9.9596,5.3234,0.568416245413458,0.4836301790522983,0.9322849386876346,1.976228743774431,0.03316424444236965,0.05714770942130509,0.1665026938393066,0.0626223326969031,0.035101139624653936,0.039449279941262884
7/2/1999,1702.0,200849.3987,12.2339,16.701,9.8418,5.3234,0.5236635548743671,0.432508166519592,0.9212580735748385,1.9528543365676527,-0.011827784248363504,0.06363341618934393,0.151572591968548,0.0626223326969031,0.03494441883516707,0.03949388509300989
7/5/1999,1702.0,200849.3987,12.2339,16.701,9.8418,5.3234,0.5539765998768413,0.48756572403012655,0.9212580735748385,1.9528543365676527,0.0,0.04464399439561828,0.11640727800716899,0.0626223326969031,0.03478799757129202,0.039326265907377
7/6/1999,1702.0,200849.3987,12.2339,16.701,9.539,5.3234,0.5367390008538333,0.47711565414914703,0.8929139754750538,1.8927713951227256,-0.030766729663272985,0.04036471114310314,0.09459986689004651,0.0626223326969031,0.03496708088583962,0.03951158564679233
7/7/1999,1702.0,200849.3987,12.2339,16.701,9.9932,5.3234,0.5905394005952667,0.45397825844753226,0.9354301226247309,1.9828958072901166,0.04761505398888777,0.09392241001839041,0.14339981006647662,0.0626223326969031,0.036283193541380876,0.039924006540884426
7/8/1999,1702.0,200849.3987,12.2339,16.701,9.9428,5.3234,0.5996267516128513,0.4724005341313129,0.9307123467190864,1.9728952120165884,-0.005043429532081811,0.08640734265734262,0.07066095233993064,0.0626223326969031,0.03634333659232255,0.03919669301033934
