,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
7/1/2009,791.5,72651.0701,48.7537,31.5267,49.308,3.0526,0.06221456268849623,0.1515079707022835,0.7600696745949779,2.0003245436105477,-0.009123427514971305,-0.07754475894711244,0.215740421125302,0.043779329289229674,0.023507158180359183,0.03634853743887804
7/2/2009,791.5,72651.0701,48.7537,31.5267,48.217,3.0526,-0.004069070929896168,0.08001817656049925,0.7432522004531931,1.9560649087221096,-0.02212622698142297,-0.07785725214198291,0.23197404057437754,0.043779329289229674,0.023520111913674174,0.03616267928561836
7/3/2009,791.5,72651.0701,48.7537,31.5267,48.217,3.0526,-0.07167886022333458,0.033346168656141595,0.7432522004531931,1.9560649087221096,0.0,-0.10163586227455657,0.2585351847984967,0.043779329289229674,0.02251683587455277,0.03602426733608647
7/6/2009,791.5,72651.0701,48.7537,31.5267,47.483999999999995,3.0526,-0.09611101593284233,0.016256448327717887,0.7319532008693909,1.9263286004056794,-0.01520210714063508,-0.11056998894862058,0.22312091082375973,0.043779329289229674,0.02263022047942275,0.03608817212217468
7/7/2009,791.5,72651.0701,48.7537,31.5267,45.11600000000001,3.0526,-0.1356922546408933,0.01540259391942378,0.695451112173015,1.8302636916835704,-0.049869429702636414,-0.14880289794917256,0.09747257291590672,0.043779329289229674,0.02463455874511776,0.03601298487148335
7/8/2009,791.5,72651.0701,48.7537,31.5267,42.211000000000006,3.0526,-0.17361342234577792,0.042737720002349544,0.6506713116396652,1.7124137931034487,-0.06438957354375385,-0.20748375952836906,0.026806781969885174,0.043779329289229674,0.027397644472712784,0.03697474375974379
7/9/2009,791.5,72651.0701,48.7537,31.5267,42.763000000000005,3.0526,-0.2559203772337353,-0.08785300412381913,0.6591802444776718,1.7348073022312376,0.013077159981995212,-0.18425470222425688,0.009561357948911775,0.043779329289229674,0.027847456999339645,0.036817562756789095
7/10/2009,791.5,72651.0701,48.7537,31.5267,42.096000000000004,3.0526,-0.3131893232395745,-0.10727337988644525,0.6488986172984138,1.7077484787018258,-0.015597596052662421,-0.23065957563462902,0.06701814863631772,0.03423063456429065,0.025066958549696813,0.03579704308365969
7/13/2009,791.5,72651.0701,48.7537,31.5267,43.58,3.0526,-0.24470094802336262,-0.054888299623910286,0.6717740816672575,1.767951318458418,0.0352527556062332,-0.20083620626421184,0.0800227999306089,0.0352527556062332,0.027076151660707575,0.035949850029499415
7/14/2009,791.5,72651.0701,48.7537,31.5267,42.985,3.0526,-0.25725295042593277,-0.0835795621446962,0.662602315292957,1.7438133874239352,-0.013653051858650733,-0.18951278376951508,0.10237734978072988,0.0352527556062332,0.026804808385608676,0.035718775623213905
7/15/2009,791.5,72651.0701,48.7537,31.5267,44.45,3.0526,-0.19303596390901,-0.041519161991902975,0.6851848997271592,1.8032454361054768,0.03408165639176475,-0.1580801575876961,0.17458975239806573,0.0352527556062332,0.02844446499213343,0.035707808640461476
7/16/2009,791.5,72651.0701,48.7537,31.5267,43.583,3.0526,-0.25768156424581,-0.11050551846300583,0.6718203258674641,1.7680730223123733,-0.019505061867266638,-0.1654603247549019,0.22845143469192175,0.0352527556062332,0.02855393294100865,0.03483253019614569
7/17/2009,791.5,72651.0701,48.7537,31.5267,43.913999999999994,3.0526,-0.25026889522476237,-0.10141191333891042,0.6769226026235875,1.7815010141987828,0.00759470435720333,-0.1656565272737638,0.20318921584744332,0.0352527556062332,0.02854733559889971,0.03469042567071501
7/20/2009,791.5,72651.0701,48.7537,31.5267,44.663000000000004,3.0526,-0.20961633750973307,-0.0728215473915198,0.6884682379418248,1.8118864097363085,0.017056064125336112,-0.14753879335025666,0.2795221451899388,0.0352527556062332,0.029069748669934576,0.0341991736336582
7/21/2009,791.5,72651.0701,48.7537,31.5267,43.849,3.0526,-0.16064011025822644,-0.06845198215960657,0.6759206449524454,1.7788640973630832,-0.01822537671002855,-0.09896229322922023,0.14261517615176156,0.0352527556062332,0.025293245778837643,0.03207876434799565
