,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
1/15/2007,138.565,20.795,22623.0724,8.1379,70.5523,58.28,9.1057,0.32454545454545447,0.2068181818181818,0.8692020879940343,1.405692233478051,0.0,0.09755178907721285,0.0625341841385596,0.025974025974025983,0.011160461500789805,0.01627889114556351
1/16/2007,138.565,20.795,22623.0724,8.1379,70.5523,60.46,9.1057,0.4327014218009477,0.2777251184834122,0.9017151379567487,1.4582730342498793,0.03740562800274527,0.12129080118694358,0.11962962962962975,0.03740562800274527,0.01309795384894249,0.016766396688583908
1/17/2007,138.565,20.795,22623.0724,8.1379,70.5523,60.6,9.1057,0.3526785714285716,0.21897321428571437,0.9038031319910516,1.4616497829232995,0.002315580549123286,0.1096868705365317,0.10262008733624461,0.03740562800274527,0.01300727704613178,0.016643452282034538
1/18/2007,138.565,20.795,22623.0724,8.1379,70.5523,59.58,9.1057,0.2537878787878787,0.15488215488215484,0.8885906040268456,1.4370477568740954,-0.016831683168316847,0.08564139941690962,0.05638297872340425,0.03740562800274527,0.01385626293611449,0.01650368951435037
1/19/2007,138.565,20.795,22623.0724,8.1379,70.5523,58.97,9.1057,0.26653780068728516,0.169458762886598,0.8794929157345265,1.4223347805113362,-0.010238335011748867,0.08301193755739211,0.022010398613518056,0.03740562800274527,0.013968456706230434,0.016318381973862973
1/22/2007,138.565,20.795,22623.0724,8.1379,70.5523,58.42,9.1057,0.30547486033519555,0.2406703910614525,0.8712900820283371,1.4090689821514712,-0.009326776326945896,0.05223342939481257,0.025812115891132636,0.03740562800274527,0.013764144177566821,0.01627598141019562
1/23/2007,138.565,20.795,22623.0724,8.1379,70.5523,58.5,9.1057,0.2567132116004298,0.19269602577873268,0.8724832214765101,1.410998552821997,0.001369394043135852,0.053674351585014435,0.0,0.03740562800274527,0.013754864752385864,0.01591432256223357
1/24/2007,138.565,20.795,22623.0724,8.1379,70.5523,58.0,9.1057,0.21567805491511205,0.17899811360301832,0.8650260999254288,1.3989387361312107,-0.008547008547008517,0.03111111111111109,-0.007189318726463556,0.03740562800274527,0.013736304186328359,0.015950848805727398
1/25/2007,138.565,20.795,22623.0724,8.1379,70.5523,57.48,9.1057,0.24200518582541042,0.21110630942091602,0.8572706935123042,1.386396526772793,-0.008965517241379395,0.025512934879571736,-0.026587637595258284,0.03740562800274527,0.013886730129468767,0.015929774428448003
1/26/2007,138.565,20.795,22623.0724,8.1379,70.5523,57.34,9.1057,0.2536073458679493,0.23349365981635328,0.8551826994780016,1.383019778099373,-0.002435629784272697,0.016306274370790463,-0.042737896494156824,0.03740562800274527,0.013853937746155159,0.015820077725732105
