,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,5287.0,46576.7558,20.2097,9.1,40.742,1.3989,0.20052214551122804,0.1734513170030263,0.8560898324886321,2.4634938294746136,-0.0012281789856369851,0.023069409114764294,0.029610591782220252,0.0581677636047071,0.024597562772533475,0.028341031493597395
6/28/1999,5287.0,46576.7558,20.2097,9.1,40.9425,1.3989,0.19936549412950244,0.1797913102575519,0.8603028316397288,2.47561720370292,0.004921211526189406,0.01659122566996829,0.014978320851399385,0.0581677636047071,0.024507507193509116,0.028246736880739837
6/29/1999,5287.0,46576.7558,20.2097,9.1,41.3434,1.3989,0.22124087246260382,0.1896607746295813,0.8687267286954622,2.4998579055888457,0.009791781156500035,0.026545464477346847,0.004543643272978404,0.0581677636047071,0.02457927277963247,0.028159831435642733
6/30/1999,5287.0,46576.7558,20.2097,9.1,44.6508,1.3989,0.3333731496606156,0.2595477064302374,0.9382233540936482,2.6998421845050578,0.07999825848865827,0.05861266139701171,0.08490538531066849,0.07999825848865827,0.028368701817251114,0.029889088841981108
7/1/1999,5287.0,46576.7558,20.2097,9.1,44.701,1.3989,0.3043731999614825,0.22979506917108505,0.939278179816267,2.70287756299015,0.001124279968108155,0.0606427303702437,0.08392600370030001,0.07999825848865827,0.02835867423381335,0.02988916284545216
7/2/1999,5287.0,46576.7558,20.2097,9.1,45.4527,1.3989,0.3393297561061852,0.21381151489971106,0.9550732494515747,2.7483296348475963,0.01681617860897955,0.10340834607821714,0.10528657928653051,0.07999825848865827,0.02786752059302537,0.029943341396009137
7/5/1999,5287.0,46576.7558,20.2097,9.1,45.4527,1.3989,0.36752494193253327,0.2680129493459136,0.9550732494515747,2.7483296348475963,0.0,0.07847868796446567,0.08243393853950365,0.07999825848865827,0.02757353482927267,0.029844344715128344
7/6/1999,5287.0,46576.7558,20.2097,9.1,45.4025,1.3989,0.37220737928866754,0.27224727387025793,0.9540184237289561,2.7452942563625045,-0.0011044448404604612,0.07856971476490138,0.08598675838842706,0.07999825848865827,0.02757275442577727,0.029836463124763787
7/7/1999,5287.0,46576.7558,20.2097,9.1,46.053999999999995,1.3989,0.40820694716242634,0.3484466731898239,0.967708044411945,2.7846876643911402,0.014349430097461369,0.044317862293535404,0.0851043777390319,0.07999825848865827,0.02584022374340225,0.02983065756549722
7/8/1999,5287.0,46576.7558,20.2097,9.1,44.9014,1.3989,0.41848842498989103,0.3931586130206228,0.9434890777209041,2.714994890647769,-0.025027142050636053,0.018181570807898506,0.04438862140348432,0.07999825848865827,0.026523396752699942,0.02998352210709432
