,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/18/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.9063,21.858,1.1218833481745327,0.9131789848619769,0.9482192598487863,2.6425006930967565,0.07017346881491049,0.10908773562950902,0.21196515989573417,0.07017346881491049,0.03993847130484064,0.05159667345341444
6/21/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.8646,21.858,1.0456390565002742,0.7199122325836536,0.9274771189812971,2.5846964236207373,-0.021874836069873616,0.18938572430949785,0.07830210501966217,0.07017346881491049,0.03441736479431361,0.05023793687587613
6/22/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.7917,21.858,0.9656609983543611,0.7370268787712562,0.8912156784719458,2.4836429165511507,-0.03909685723479561,0.13162382365944558,0.04563758389261752,0.07017346881491049,0.035968030644916354,0.0504903564354604
6/23/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.8385,21.858,0.9289686286853427,0.5901794145420209,0.9144946279347392,2.5485167729415026,0.02612044427080429,0.21305093692267096,0.07295010213014308,0.07017346881491049,0.03435473919126663,0.050581402654118396
6/24/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.8438,21.858,0.9188261005307525,0.6477260901238422,0.9171309192200556,2.555863598558359,0.002882784878977418,0.16452977957430703,0.102817154136013,0.07017346881491049,0.03343138416729007,0.0504664360140808
6/25/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.8229,21.858,0.871560574948665,0.6042094455852154,0.9067349781138081,2.5268921541447185,-0.011335285822757446,0.16665599999999992,0.07362035455562754,0.07017346881491049,0.033377225249143654,0.05047035471846453
6/28/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.8542,21.858,0.8736863379143087,0.5367825383993532,0.9223040191006764,2.570280011089548,0.017170442701190503,0.21922672277748556,0.07228776312745788,0.07017346881491049,0.032465262230444256,0.05046410815317867
6/29/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.8333,21.858,0.8428829915560916,0.5287494973864093,0.9119080779944289,2.541308566675908,-0.0112717074749219,0.20548395581273016,0.0699153778815289,0.07017346881491049,0.03273054121392828,0.05047285833739579
6/30/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.7708,21.858,0.7662078595651307,0.6207859565130662,0.8808197373656983,2.4546714721375102,-0.034091528936889715,0.0897230769230768,0.03344032681645759,0.07017346881491049,0.031088001799875892,0.050680195932851925
7/1/1999,80.94800000000001,20688.4243,27.5226,37.1936,1.8542,21.858,0.8835839089800894,0.7195245835026411,0.9223040191006764,2.570280011089548,0.04709735712672236,0.09540970047852548,0.09540970047852548,0.07017346881491049,0.03143313831350953,0.05096696230344568
