,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/18/1999,-2801.0,64.359,192216.917,24.1716,16.1591,23.2721,12.3943,0.8935955540728566,0.8202345015012329,1.0,2.720801084948675,0.01703944550786196,0.04030307771395347,0.19002960743305075,0.05571112053929195,0.028559003286582157,0.028678291565249245
6/21/1999,-2801.0,64.359,192216.917,24.1716,16.1591,24.0032,12.3943,0.9939359201202846,0.8340103504705894,1.0,2.806275866906727,0.031415299865504176,0.08719992752966732,0.17893330582855693,0.05571112053929195,0.029010420103726127,0.028496566395406073
6/22/1999,-2801.0,64.359,192216.917,24.1716,16.1591,23.199,12.3943,0.9271313579385452,0.7712595841536456,0.9664961338488203,2.7122547758785984,-0.03350386615117973,0.08800052526427349,0.10762047085448012,0.05571112053929195,0.028963479451619655,0.028668980786750342
6/23/1999,-2801.0,64.359,192216.917,24.1716,16.1591,24.125,12.3943,0.995962571047994,0.6834672248467348,1.0,2.820515818271097,0.039915513599724006,0.18562603511910325,0.1764677196763922,0.05571112053929195,0.027545310848349866,0.028906925444235843
6/24/1999,-2801.0,64.359,192216.917,24.1716,16.1591,23.4914,12.3943,0.9487821874170428,0.7648244624369527,0.9737367875647668,2.7464400121589074,-0.02626321243523322,0.10423570666403426,0.09545104805427962,0.05571112053929195,0.027173863991371616,0.028611115833292892
6/25/1999,-2801.0,64.359,192216.917,24.1716,16.1591,23.9057,12.3943,0.9515972341276644,0.7188410766329505,0.9909098445595854,2.7948768910608646,0.017636241347897652,0.13541458873595302,0.11540525281934277,0.05571112053929195,0.02706653595795545,0.02867816194313503
6/28/1999,-2801.0,64.359,192216.917,24.1716,16.1591,24.1494,12.3943,0.9993211246150282,0.7592393284101071,1.0,2.823368485046882,0.010194221461827135,0.13646909339043267,0.13063223341698182,0.05571112053929195,0.02707223341014107,0.028686930639320984
6/29/1999,-2801.0,64.359,192216.917,24.1716,16.1591,24.3687,12.3943,1.0174769016789749,0.7592393284101071,1.0,2.849007412257114,0.009080970955800183,0.14678933621967571,0.13700816058005905,0.05571112053929195,0.027036437955855187,0.02869918702107519
6/30/1999,-2801.0,64.359,192216.917,24.1716,16.1591,25.1241,12.3943,1.0510641424407923,0.7039177748932592,1.0,2.937323169733673,0.030998781223454674,0.203734225126726,0.17225402779916288,0.05571112053929195,0.026906354806685736,0.028921494263144873
7/1/1999,-2801.0,64.359,192216.917,24.1716,16.1591,25.0998,12.3943,1.0355700452532721,0.7410993787812434,0.9990328011749674,2.9344821942151658,-0.0009671988250326002,0.16912915486659696,0.12507227862569748,0.05571112053929195,0.02661297042473092,0.02851257248318424
