,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.4453,3.1501,0.14449641333850316,0.10091120589375713,0.9549774533395345,1.2175073151239382,-0.0042170516483401865,0.03959012063044809,0.20526497122513288,0.026786113221035635,0.010224338738065103,0.011652767742120857
6/28/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.472000000000001,3.1501,0.15123302988684584,0.11884244685635115,0.9576769862293493,1.220948968148597,0.0028268027484570357,0.028950084188800185,0.220948968148597,0.026786113221035635,0.009896636686072597,0.011531772221349375
6/29/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.3521,3.1501,0.1401384926730549,0.12226611074537352,0.9455543647503691,1.2054937547532192,-0.01265836148648658,0.01592526207158751,0.20346158795521818,0.026786113221035635,0.010361170204472898,0.011703263042180738
6/30/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.2322,3.1501,0.13768499919900434,0.11634154456616819,0.9334317432713891,1.1900385413578418,-0.012820649907507309,0.019119108069323376,0.18803242825891142,0.026786113221035635,0.010131016568919772,0.01186678643468325
7/1/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.2855,3.1501,0.14780340675912873,0.12309327795495562,0.9388206984409441,1.1969089573209246,0.00577327180953624,0.0220018490798628,0.1868728829807631,0.026786113221035635,0.010177622606855114,0.011862157910508332
7/2/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.3787,3.1501,0.16475205225965905,0.12173221892425579,0.9482437870301095,1.2089225176916434,0.010037154703570028,0.03835125051205135,0.1987857097207133,0.026786113221035635,0.010226003111273764,0.011891424538271468
7/5/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.3787,3.1501,0.17204448887778057,0.13707823044238943,0.9482437870301095,1.2089225176916434,0.0,0.03075096989746018,0.20281379451861548,0.026786113221035635,0.010152951071535765,0.011870274302478574
7/6/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.392000000000001,3.1501,0.17370657335666095,0.14041489627593107,0.9495884981699798,1.2106368991608556,0.0014181069871090912,0.029192601034452537,0.18654774237562233,0.026786113221035635,0.010147571898117522,0.011769361840417276
7/7/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.4054,3.1501,0.18466363533308972,0.14438300605846854,0.9509433199199241,1.212364170716302,0.0014267461669503767,0.035198555956678756,0.19418486541391577,0.026786113221035635,0.010060265915064924,0.01172880790690366
7/8/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.3254,3.1501,0.16356603655873725,0.12367583754445066,0.9428548318605545,1.2020521017285606,-0.008505752014799972,0.03549973905415471,0.17037111409530747,0.026786113221035635,0.010045415521047478,0.011760575369117308
7/9/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.3654,3.1501,0.1558940054058724,0.09340557619441392,0.9468990758902393,1.2072081362224312,0.004289360241919837,0.0571502748586199,0.1753912574203993,0.026786113221035635,0.009168180376181367,0.011757885640845633
7/12/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.4054,3.1501,0.17354794435086407,0.10372449934493733,0.9509433199199241,1.212364170716302,0.0042710402118437685,0.06326166090121865,0.19418486541391577,0.026786113221035635,0.009122661110454167,0.011618462150182
7/13/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.4453,3.1501,0.17119049685667154,0.11007229035178012,0.9549774533395345,1.2175073151239382,0.004242243817381475,0.05505786157901782,0.18541899371227033,0.026786113221035635,0.008889960561638406,0.011565481707091419
7/14/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.4187,3.1501,0.16608478185509834,0.13804288614866533,0.9522880310597942,1.214078552185514,-0.0028162154722454202,0.024640456038815595,0.17819168897450632,0.014202394788190409,0.007010148034077167,0.011586602009269231
7/15/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.4187,3.1501,0.15531432076050278,0.14060717571297143,0.9522880310597942,1.214078552185514,0.0,0.01289413687787655,0.1317288282226281,0.014202394788190409,0.006593166641077778,0.010496229997996933
7/16/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.4986,3.1501,0.16511499540018404,0.14386997853419192,0.9603664085090895,1.224377731087021,0.008483123998004105,0.018572929847513242,0.10137634358730563,0.014202394788190409,0.0067991782495953525,0.009577077576842952
7/19/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.6052,3.1501,0.16563717340388107,0.1381503100615269,0.9711443188481994,1.2381185630131866,0.011222706504116386,0.024150468615053322,0.13270203658061996,0.014202394788190409,0.0070940638254392814,0.009359782854052817
7/20/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.6718,3.1501,0.18271864605752297,0.16316523185286647,0.9778779851576245,1.2467033604454814,0.006933744221879756,0.016810521557207192,0.14410428693101163,0.011222706504116386,0.006585002458099833,0.009356559006544673
7/21/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.5519,3.1501,0.1662739160694009,0.16302609247750333,0.9657553636786445,1.2312481470501038,-0.01239686511300886,0.0027925629638960725,0.12992098041071265,0.011222706504116386,0.00718458676787158,0.009531906974058991
7/22/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.5119,3.1501,0.18313100154236528,0.18313100154236528,0.9617111196489597,1.226092112556233,-0.004187648530658783,0.0,0.12868737688966947,0.011222706504116386,0.007240270963971408,0.009542251878944478
7/23/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.5519,3.1501,0.18626196892736058,0.1779908346890875,0.9657553636786445,1.2312481470501038,0.0042052586759742105,0.007021390994486065,0.1246791475332627,0.011222706504116386,0.007265017248208494,0.009517690632466689
7/26/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.5519,3.1501,0.19368907773056732,0.18036740814796293,0.9657553636786445,1.2312481470501038,0.0,0.01128603644140469,0.11776958633198742,0.011222706504116386,0.0071901186472767935,0.009504812604569125
7/27/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.5652,3.1501,0.17690774417402877,0.1654403622314642,0.9671000748185147,1.2329625285193158,0.0013923931364441255,0.009839527027027062,0.1040675931483448,0.011222706504116386,0.0071742959677957765,0.009379739436282456
7/28/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.4853,3.1501,0.16887453942747288,0.15246028909783238,0.9590216973692194,1.222663349617809,-0.008353197005812718,0.0142427903893243,0.09816611480306592,0.011222706504116386,0.006833163702374962,0.009446054172010433
7/29/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.3521,3.1501,0.15425249620478132,0.1394542290460734,0.9455543647503691,1.2054937547532192,-0.014042781988972464,0.012987153657849637,0.06974057467057104,0.011222706504116386,0.006958100072108347,0.009546911538823494
7/30/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.392000000000001,3.1501,0.11765615888996006,0.10498256637273462,0.9495884981699798,1.2106368991608556,0.004266421445450863,0.011469495449895062,0.07753378765976016,0.011222706504116386,0.0069100964978667636,0.00954030291424663
8/2/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.5253,3.1501,0.14375427768638716,0.12615122296802417,0.963065941398904,1.2278193841116796,0.014192930153321903,0.015631164233848915,0.09946211736460575,0.014192930153321903,0.007246229316683946,0.00963177909943139
8/3/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.6451,3.1501,0.15293400432719295,0.12108968765315509,0.9751784522678099,1.2432617074208225,0.01257703169453972,0.028404789576380374,0.11836322947949385,0.014192930153321903,0.007686322921667551,0.009698398324718036
8/4/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.7118,3.1501,0.1488495889276631,0.11101910451292385,0.9819222291873093,1.2518593949393522,0.006915428559579606,0.03405025553662688,0.1295417538962551,0.014192930153321903,0.007781326470052172,0.009698901635499494
8/5/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.7251,3.1501,0.1572953482560422,0.11925077053062494,0.9832669403271793,1.2535737764085642,0.001369468069770674,0.033991111489144465,0.13108862526168874,0.014192930153321903,0.007781409316961343,0.009695922798403974
8/6/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.7384,3.1501,0.1782127906695381,0.1282454569651803,0.9846116514670497,1.2552881578777761,0.0013675951918232787,0.044287644497823075,0.1309124269837767,0.014192930153321903,0.007429202666079936,0.00969606724194797
8/9/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.7517,3.1501,0.18162320666925158,0.13481485071733212,0.9859563626069198,1.2570025393469881,0.0013657274295570954,0.04124757084587949,0.10714123524069019,0.014192930153321903,0.007413343056516234,0.009320954908897743
8/10/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.7517,3.1501,0.1518662886841482,0.11096149303094727,0.9859563626069198,1.2570025393469881,0.0,0.036819274034065375,0.1087903216636914,0.014192930153321903,0.007405145098358712,0.009314737311391355
8/11/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.7384,3.1501,0.1418387327494226,0.1074724166637353,0.9846116514670497,1.2552881578777761,-0.0013638647620414224,0.031031306575757256,0.1206573148137493,0.014192930153321903,0.00741183180433726,0.009159288892517483
8/12/1999,-774.0,78.0276,68407.2909,25.2633,22.4447,9.6318,3.1501,0.1393860531140947,0.11417755959070197,0.9738337411279397,1.2415473259516105,-0.010946356691037606,0.02262520305350013,0.10008566044200795,0.014192930153321903,0.007847145958914614,0.009269460256429983
