,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
11/19/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,29.5075,3.5189,0.34545147802455856,0.2716528431967098,0.9120990875145281,1.4633680650264578,0.004592715660173052,0.05803363333213807,-0.013964725617702678,0.0385028493535875,0.02030723941880513,0.021909759619167374
11/22/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,29.2377,3.5189,0.37305519421054845,0.3118310877763115,0.9037593659586044,1.4499878496932668,-0.009143438108955348,0.04667072384907289,0.02594540726990724,0.0385028493535875,0.020475902100032823,0.0210785759560443
11/23/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,29.6723,3.5189,0.3906239748048028,0.30423575505919187,0.9171931798511338,1.4715410060453975,0.014864370316406639,0.06623665959969816,0.05719151604547679,0.0385028493535875,0.02059994278221594,0.021055657191436844
11/24/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,29.7622,3.5189,0.3543786519103702,0.2568578553615961,0.9199720566779594,1.4759994247201709,0.0030297617643391117,0.07759095122233806,0.04435001386047577,0.0385028493535875,0.02045148473206742,0.020978124500916358
11/25/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,29.7622,3.5189,0.36881755047601517,0.2764613898726027,0.9199720566779594,1.4759994247201709,0.0,0.07235327393069846,0.062082255330538016,0.0385028493535875,0.020465870301220507,0.020857273642008324
11/26/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,29.1928,3.5189,0.3690820666982444,0.310745724080683,0.902371473082915,1.447761120010315,-0.01913165021402996,0.04450622385854186,0.08015466301592888,0.0385028493535875,0.02103081413905568,0.02049058821018287
11/29/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,28.1138,3.5189,0.3060574104442597,0.3171975824247295,0.8690187690101141,1.394250177295292,-0.03696116850730302,-0.008457479826194825,0.03680893356985071,0.0385028493535875,0.022485007801185477,0.021051567168711174
11/30/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,28.0838,3.5189,0.29941793213218215,0.2966464007106966,0.8680914463760232,1.3927623846340773,-0.0010670916062575087,0.002137461238442828,0.024470141903476517,0.0385028493535875,0.022333367495243908,0.02101235032941866
12/1/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,28.5484,3.5189,0.3226833212099871,0.3483740044570671,0.8824525829026435,1.415803333647423,0.016543345273787757,-0.019053084056915304,0.040287434226828234,0.03433450275649741,0.02092692853904874,0.021108112923574604
12/2/1999,-1821.0,34.9244,48011.6833,10.6708,10.9286,28.6383,3.5189,0.3322184335270064,0.3670749463871199,0.8852314597294692,1.4202617523221963,0.0031490381247285537,-0.025497148457172325,0.04356333901788467,0.03433450275649741,0.020810423952785893,0.02110980106913487
