,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/23/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,13.0637,4.5363,-0.2130301204819277,-0.24596987951807237,0.7888564820685615,1.423417631868551,-0.015271778868260033,0.04368493796387285,0.07592778665436772,0.06807451626842509,0.022419308424615682,0.0251509847793737
6/24/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,13.0232,4.5363,-0.2135891258008612,-0.2319342040905057,0.8077204559832293,1.4190047615415626,-0.0031001936664192264,0.023884774439045797,0.012596025254252963,0.06807451626842509,0.022215262978254647,0.024043092789018276
6/25/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.922,4.5363,-0.19558762193489743,-0.21828447637248738,0.8014438641973778,1.4079780337121501,-0.007770747588918159,0.029034672782582538,0.017544412246440766,0.06807451626842509,0.022083802708809493,0.024008419745237083
6/28/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.9326,4.5363,-0.18280507532099888,-0.2205919522798504,0.8021012937717852,1.4091330071804484,0.0008203064541092431,0.04848150730465517,0.03321109859470006,0.06807451626842509,0.021638209312028495,0.023932380690626868
6/29/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.9122,4.5363,-0.1991639480506593,-0.23498765769006535,0.8210577185987804,1.40691022805278,-0.001577409028347021,0.04682762310897792,0.03492994774133562,0.06807451626842509,0.021649969516894966,0.023928782742315434
6/30/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.9122,4.5363,-0.1789422814012196,-0.20407851815112266,0.8304947387378117,1.40691022805278,0.0,0.031581302079588536,0.03492994774133562,0.06807451626842509,0.02146690375029744,0.023928782742315434
7/1/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.79,4.5363,-0.17736499524042293,-0.20014021456687847,0.8258006198347108,1.393595345239003,-0.00946391784513878,0.028474014747625676,0.01037231311272091,0.06807451626842509,0.02153367123301505,0.023897296277905
7/2/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.6882,4.5363,-0.18077221074380156,-0.19837293388429755,0.8192277892561984,1.3825032415528946,-0.007959343236903726,0.021956248590482952,0.007167861310218404,0.06807451626842509,0.021624562297667137,0.02391177772896126
7/5/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.6882,4.5363,-0.17442367378276913,-0.17107275081495754,0.8192277892561984,1.3825032415528946,0.0,-0.0040424813771123835,0.003940372199012554,0.06807451626842509,0.02086144038622138,0.023909090293658775
7/6/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.5456,4.5363,-0.18997933884297513,-0.2022920971074379,0.8237480219830727,1.3669655796114495,-0.011238788795889132,0.01543517147042861,-0.023004438906627178,0.06807451626842509,0.019875174469250557,0.023867301853702175
7/7/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.4641,4.5363,-0.1816032935212969,-0.17547718632427012,0.8425617348628752,1.3580853590768929,-0.006496301492156631,-0.007429881981938835,-0.06617068620619904,0.06807451626842509,0.019609800800250543,0.0233362597606748
7/8/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.5252,4.5363,-0.153307961144047,-0.1360701948881573,0.8565234933291391,1.3647428004837814,0.00490207877022808,-0.019952739393749752,-0.07837207419998082,0.06807451626842509,0.01921944362106926,0.023221233392186406
7/9/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.4438,4.5363,-0.1271735089675876,-0.10216105885571203,0.8509570343219383,1.3558734759253408,-0.0064988982211861,-0.027858504421736874,-0.060561678997433144,0.06807451626842509,0.019250506751042385,0.023023685618971123
7/12/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.179,4.5363,-0.08318277627220716,-0.0653718759409817,0.8328489465442137,1.3270209311701189,-0.021279673411658706,-0.019056670640162365,-0.1259948186900327,0.06807451626842509,0.01867844743236505,0.02215150695458327
7/13/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,11.8939,4.5363,-0.1191269700201445,-0.06248518781846191,0.8133526632155532,1.2959565032633449,-0.023409146892191424,-0.06041694644789741,-0.17173398328690803,0.06807451626842509,0.01869416286658347,0.02191946266103079
7/14/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,11.8735,4.5363,-0.12063781253703043,-0.08048939447801873,0.8119576292628886,1.2937337241356768,-0.0017151649164698357,-0.04366281130191052,-0.15528378935985543,0.06807451626842509,0.01831256159780112,0.021792646511339952
7/15/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,11.5477,4.5363,-0.13970796394248675,-0.08108470535647772,0.7896781164306279,1.2582346339496826,-0.027439255484903335,-0.06379615066560729,-0.19012953495059148,0.06807451626842509,0.019123506311176146,0.021908244780012322
7/16/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,11.6495,4.5363,-0.1397567585529571,-0.0772036833282872,0.7966396093904932,1.269326737635791,0.008815608302952027,-0.06778643791111194,-0.16399348389272816,0.06807451626842509,0.018964305386281202,0.0218128883654736
7/19/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,11.7106,4.5363,-0.1440308162355367,-0.02439862291774786,0.8008178728467582,1.2759841790426796,0.005244860294433273,-0.12262405130625675,-0.14595351483018404,0.008815608302952027,0.00999980962891306,0.021766757096294057
7/20/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,11.6699,4.5363,-0.08598259670888253,0.05332988713707265,0.7980346433431579,1.2715495167634594,-0.0034754837497651403,-0.132259119908392,-0.1413066672553217,0.008815608302952027,0.009518939664959517,0.021750982415480832
7/21/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,11.6699,4.5363,-0.10952820614560521,0.012285106025806236,0.7980346433431579,1.2715495167634594,0.0,-0.12033498413272725,-0.12700110715461255,0.008815608302952027,0.009489600352307477,0.021676238567104787
7/22/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.3216,4.5363,-0.031929604022627234,0.026374921433061083,0.8426005074094083,1.342558593111564,0.0558445230893152,-0.056806264687645935,-0.07121051084326446,0.0558445230893152,0.016286774058395747,0.02285032046568407
7/23/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.5456,4.5363,-0.0353990465938796,0.0013224665538982272,0.8579185272818037,1.3669655796114495,0.018179457213348904,-0.03667301431291836,-0.07549686442988623,0.0558445230893152,0.016907954608424734,0.022778589794654403
7/26/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.6678,4.5363,-0.026003383053974982,-0.006458557588804981,0.8662750541943337,1.3802804624252263,0.009740466777196755,-0.01967187741835641,-0.10006819925549149,0.0558445230893152,0.01702209508119861,0.022290499745122042
7/27/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.79,4.5363,-0.045743148972998915,-0.03510381926569217,0.8746315811068637,1.393595345239003,0.009646505312682407,-0.0110263984040333,-0.12536841889313632,0.0558445230893152,0.017172655765967805,0.0217360590102495
7/28/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.6474,4.5363,-0.060559917401412866,-0.04089075742607351,0.8648800202416691,1.3780576832975582,-0.011149335418295547,-0.020507736869007642,-0.09238089086955592,0.0558445230893152,0.01733205377386912,0.020989515195112038
7/29/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.5049,4.5363,-0.06005051188382282,-0.02943519896570912,0.8551352977782032,1.362530917332229,-0.011267137909768077,-0.03154381127925532,-0.09470719823935259,0.0558445230893152,0.017478352646978702,0.02100640607118117
7/30/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.4641,4.5363,-0.08095413655802985,-0.05692375755788248,0.8523452298728741,1.3580853590768929,-0.0032627210133626683,-0.025480844409695003,-0.10553510301621127,0.0558445230893152,0.01738712591955474,0.0209671992873809
8/2/1999,2149.0,31.9422,52914.3798,7.5362,16.6144,12.6474,4.5363,-0.06879795019805923,-0.06579393011235624,0.8648800202416691,1.3780576832975582,0.01470623631068424,-0.003215586135149273,-0.11047811959319742,0.0558445230893152,0.017640800632505074,0.020884084086434423
