,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,203.0,14351.9745,11.3497,18.7834,5.3444,6.7377,0.24705992159790946,0.16469105842822485,0.9702625177008823,1.811968130191558,0.03922064285297622,0.07072164122290348,0.1777772880534192,0.041568870870754226,0.018241106521193432,0.016778239122804073
6/28/1999,203.0,14351.9745,11.3497,18.7834,5.3318,6.7377,0.2477884390358065,0.20648256494266337,0.9679750190624886,1.807696219698254,-0.0023576079634757274,0.03423661086648688,0.18819780268758501,0.041568870870754226,0.01697580647714026,0.01669780680690449
6/29/1999,203.0,14351.9745,11.3497,18.7834,5.4326,6.7377,0.2751384846493288,0.21005069946483923,0.9862750081696379,1.8418715036446855,0.01890543531265232,0.053789304211200095,0.22792821301026178,0.041568870870754226,0.0173754921311895,0.016674955471071756
6/30/1999,203.0,14351.9745,11.3497,18.7834,5.5208,6.7377,0.2920196583196819,0.2566346828925814,1.0,1.8717748770978133,0.016235320104553974,0.02815852205005953,0.24786402061389645,0.03922064285297622,0.015292148151990988,0.01674685410606552
7/1/1999,203.0,14351.9745,11.3497,18.7834,5.483,6.7377,0.2794007840209072,0.26176031360836305,0.9931531662077958,1.8589591456179013,-0.006846833792204188,0.013980841069645145,0.22536092611630099,0.03922064285297622,0.015337808288993305,0.016768638046309826
7/2/1999,203.0,14351.9745,11.3497,18.7834,4.8402,6.7377,0.12941011760313614,0.2852809408250889,0.8767207651065063,1.6410239023563318,-0.11723509027904422,-0.12127373733706115,0.08170562731864317,0.03922064285297622,0.029523231494375444,0.022629333267469433
7/5/1999,203.0,14351.9745,11.3497,18.7834,4.8402,6.7377,0.1098321562872604,0.2601118958084929,0.8767207651065063,1.6410239023563318,0.0,-0.11925904359851502,0.1098321562872604,0.03922064285297622,0.029540656428190606,0.022368066840724322
7/6/1999,203.0,14351.9745,11.3497,18.7834,4.9788,6.7377,0.14824723247232452,0.25290590405904045,0.9018258223445876,1.6880149177826749,0.028635180364447566,-0.08353274675109523,0.12216011539848526,0.03922064285297622,0.03042464331179607,0.02253841551605128
7/7/1999,203.0,14351.9745,11.3497,18.7834,4.8654,6.7377,0.1386379592791951,0.22712380060847193,0.8812853209679756,1.6495677233429396,-0.022776572668112727,-0.07210832459235239,0.07221720254754604,0.03922064285297622,0.02991819137596023,0.022595208378843473
7/8/1999,203.0,14351.9745,11.3497,18.7834,4.9284,6.7377,0.1567927894094452,0.22188057459393495,0.8926967106216489,1.670927275809459,0.012948575656677619,-0.05326853257006747,0.0801025663503474,0.03922064285297622,0.030102767073964646,0.02263647929971626
7/9/1999,203.0,14351.9745,11.3497,18.7834,4.941,6.7377,0.13952952029520294,0.1918588560885608,0.8949789885523837,1.675199186302763,0.0025566106647187947,-0.04390564832910859,0.048132199147238985,0.03922064285297622,0.030095592149680668,0.02227173076685082
7/12/1999,203.0,14351.9745,11.3497,18.7834,4.8906,6.7377,0.1411704312114992,0.19411517640470421,0.8858498768294449,1.6581115443295473,-0.010200364298724951,-0.044338055691255485,0.043016485742924715,0.03922064285297622,0.030101757575131876,0.02230241412256342
7/13/1999,203.0,14351.9745,11.3497,18.7834,4.9284,6.7377,0.16714820252924745,0.21193103774925404,0.8926967106216489,1.670927275809459,0.007729112992270748,-0.036951636541279864,0.0861008881151244,0.03922064285297622,0.03017075497936598,0.02190871631840814
7/14/1999,203.0,14351.9745,11.3497,18.7834,4.9536,6.7377,0.1731160896130346,0.21193103774925404,0.8972612664831183,1.679471096796067,0.0051132213294375894,-0.032027357107962895,0.08263577751065454,0.03922064285297622,0.030202657079574476,0.021896419318516432
7/15/1999,203.0,14351.9745,11.3497,18.7834,5.2561,6.7377,0.2990534094560193,0.2679123106201031,0.9520540501376611,1.782030852686896,0.06106669896640837,0.024560924738309176,0.12398691273014983,0.06106669896640837,0.03311428372510682,0.023010581636554832
7/16/1999,203.0,14351.9745,11.3497,18.7834,5.2561,6.7377,0.26747691046323774,0.2614000819889557,0.9520540501376611,1.782030852686896,0.0,0.004817526620658041,0.1487487706261612,0.06106669896640837,0.032858448757346725,0.0228121927348556
7/19/1999,203.0,14351.9745,11.3497,18.7834,5.3444,6.7377,0.292697675543623,0.2530537213071138,0.9680481089697145,1.811968130191558,0.01679952816727237,0.03163787279220154,0.16483947603583182,0.06106669896640837,0.032946272393314685,0.02288356372646997
7/20/1999,203.0,14351.9745,11.3497,18.7834,5.3318,6.7377,0.28965000120939477,0.25000604697288553,0.9657658310389798,1.807696219698254,-0.0023576079634757274,0.03171500996536314,0.14946642233480678,0.06106669896640837,0.032945771814471066,0.022867293568284833
7/21/1999,203.0,14351.9745,11.3497,18.7834,5.3318,6.7377,0.28965000120939477,0.23781534963597228,0.9657658310389798,1.807696219698254,0.0,0.041875915974597167,0.15574534498081638,0.06106669896640837,0.03283996212726818,0.022847213873416195
7/22/1999,203.0,14351.9745,11.3497,18.7834,5.3444,6.7377,0.3811246640479635,0.32248811246640474,0.9680481089697145,1.811968130191558,0.0023631794140814844,0.044338055691255596,0.1337052671771919,0.06106669896640837,0.03283503953566026,0.022713428661923378
7/23/1999,203.0,14351.9745,11.3497,18.7834,5.3192,6.7377,0.37461236303493894,0.3290004134794293,0.9634835531082452,1.80342430920495,-0.004715215926951566,0.03432049312617891,0.1561718868867783,0.06106669896640837,0.03286837031983691,0.022481600451498357
7/26/1999,203.0,14351.9745,11.3497,18.7834,5.2435,6.7377,0.3376275510204081,0.3633673469387757,0.9497717722069264,1.7777589421935922,-0.01423146337795167,-0.018879574882119665,0.13043009593618637,0.06106669896640837,0.031909502136273436,0.02256826505308884
7/27/1999,203.0,14351.9745,11.3497,18.7834,5.2939,6.7377,0.3290904069694458,0.33860560869674394,0.9589008839298652,1.794846584166808,0.009611900448173838,-0.007108293634420004,0.1475299677020787,0.06106669896640837,0.03197958216863043,0.02256573014735303
7/28/1999,203.0,14351.9745,11.3497,18.7834,5.3192,6.7377,0.3657183937557771,0.39483413782479193,0.9634835531082452,1.80342430920495,0.00477908536239835,-0.020873982991569284,0.15301411137363718,0.06106669896640837,0.03171327846416134,0.022565412161606655
7/29/1999,203.0,14351.9745,11.3497,18.7834,5.2939,6.7377,0.3725434275343531,0.4313715322789735,0.9589008839298652,1.794846584166808,-0.004756354338998459,-0.041099116070134833,0.1382038657521878,0.06106669896640837,0.031489405702488774,0.022571882394636988
