,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/22/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5543,10.7914,-0.2099097496999066,-0.1720090694882852,0.6971402793033109,1.4639400304790147,0.0,-0.045774269759450203,0.04794056078072928,0.0766132751252806,0.031030898747942633,0.028881504974760053
6/23/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.4625,10.7914,-0.2391447657554715,-0.20167882570097562,0.679134630472305,1.4261295770007,-0.025827870466758607,-0.04693091109276082,0.00918099679393758,0.0766132751252806,0.03107550683118355,0.029047519457282907
6/24/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.3707,10.7914,-0.27386902197328733,-0.2230073244291253,0.6611289816412992,1.3883191235223855,-0.026512635379061456,-0.0654596872574027,0.0015450898826325776,0.0766132751252806,0.031524772167588505,0.02914335795760467
6/25/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.3707,10.7914,-0.2839267505098573,-0.2644247110808974,0.6611289816412992,1.3883191235223855,0.0,-0.026512635379061456,-0.032353447780903766,0.0766132751252806,0.030347531796872173,0.028804796980502957
6/28/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.4756,10.7914,-0.296707743985107,-0.2781116574596816,0.6817040640200848,1.4315251863750564,0.031121132109057426,-0.025760336370006964,-0.009659495654651629,0.0766132751252806,0.030388891218709083,0.029058269909627888
6/29/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.3838,10.7914,-0.31347765221449,-0.2762076731116476,0.6636984151890789,1.3937147328967419,-0.02641270571987575,-0.0514926419060967,-0.03940271390450245,0.0766132751252806,0.0308961642004008,0.029247612828823034
6/30/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.4888,10.7914,-0.2959031281533805,-0.28532795156407675,0.6842931115644124,1.4369619836072325,0.03103020273065793,-0.01479724387213377,-0.009595185374439374,0.0766132751252806,0.03169255718271655,0.029511578367842652
7/1/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5543,10.7914,-0.3028597206966891,-0.2899929389612428,0.6971402793033109,1.4639400304790147,0.018774363678055517,-0.018122047570374833,0.012765351189628182,0.0766132751252806,0.031579053241492065,0.029598525628453106
7/2/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.6199,10.7914,-0.27893311023465206,-0.2554081510696785,0.7100070610387572,1.4909592652086163,0.01845651745772714,-0.03159443552701979,0.03145747257444076,0.0766132751252806,0.030983913825062936,0.029683476445251714
7/5/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.6199,10.7914,-0.2807955177620599,-0.24952316617658743,0.7100070610387572,1.4909592652086163,0.0,-0.041669975908717904,0.05505683474205769,0.0766132751252806,0.030872031594588373,0.02953387899016969
7/6/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5675,10.7914,-0.2856570753489118,-0.2515167898119782,0.6997293268476384,1.4693768277111905,-0.014475537998287269,-0.04561262707330127,0.03582938939055191,0.0766132751252806,0.030942945496823332,0.02959829388511594
7/7/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5543,10.7914,-0.2974719822900401,-0.26377166801731466,0.6971402793033109,1.4639400304790147,-0.0037000700770847272,-0.045774269759450203,0.012765351189628182,0.0766132751252806,0.030943447777302825,0.02951355597170517
7/8/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.6068,10.7914,-0.2925623725090225,-0.28485407186568334,0.7475852920449363,1.48556365583426,0.014770840953211462,-0.010778640190889033,0.0634195241324409,0.0766132751252806,0.030812316800922387,0.029237491644043
7/9/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.6855,10.7914,-0.2361024748165651,-0.2660116900882975,0.765865924109555,1.5179784999382182,0.02181989575246779,0.040748898678414136,0.09508245431585216,0.0766132751252806,0.03043138953954391,0.029325781696905574
7/12/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5543,10.7914,-0.22781290056268877,-0.23919702796063347,0.7386018868708699,1.4639400304790147,-0.0355989689323023,0.014963305634084323,-0.06082705773550001,0.0766132751252806,0.03142580482419008,0.025168840810127144
7/13/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5281,10.7914,-0.22249157061947689,-0.2571787469422836,0.733157391629608,1.4531488117303017,-0.007371353009031356,0.04669653187765155,-0.10194471312935904,0.0766132751252806,0.030239479124424436,0.024686650553559487
7/14/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.6593,10.7914,-0.20725736568457553,-0.29534228769497406,0.7604214288682931,1.5071872811895053,0.037187154559111146,0.12500384296123213,-0.05595686497084773,0.0766132751252806,0.0298506765643043,0.02510983049348196
7/15/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5806,10.7914,-0.213193284697196,-0.23048694734991648,0.7440671626283197,1.474772437085547,-0.021506845571557354,0.02247351437790912,-0.07626025488880861,0.038297499415751446,0.02563395877525963,0.025247309606960887
7/16/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5806,10.7914,-0.19941866964784793,-0.19648965902738957,0.7440671626283197,1.474772437085547,0.0,-0.0036452681080780813,-0.06997402597402602,0.038297499415751446,0.024994037736077546,0.025236563853293738
7/19/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.5675,10.7914,-0.2429226263740928,-0.2735452654810917,0.7413449150076888,1.4693768277111905,-0.0036586047031224034,0.042153540546856716,-0.10386837478020605,0.038297499415751446,0.022532543456182823,0.02484037458076292
7/20/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.515,10.7914,-0.2217252679124967,-0.21302364715259936,0.7304351440089772,1.4477532023559454,-0.014716187806587233,-0.011057029513546923,-0.096238397655105,0.037187154559111146,0.021218602396417426,0.024745646760909488
7/21/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.4625,10.7914,-0.21751412429378525,-0.1967683615819209,0.7195253730102655,1.4261295770007,-0.014935988620199181,-0.025827870466758607,-0.11569403652151711,0.037187154559111146,0.021456496372302937,0.02478268154546032
7/22/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.3969,10.7914,-0.17905650345594282,-0.16320266808448947,0.7058933543909232,1.3991103422710984,-0.018945848375451213,-0.018945848375451213,-0.09618454661558107,0.037187154559111146,0.021108487110666742,0.024392967860835602
7/23/1999,440.1,22.9673,20396.0988,10.2522,12.9911,3.3707,10.7914,-0.1588600803533552,-0.1588600803533552,0.7004488591496613,1.3883191235223855,-0.007712914716359154,0.0,-0.12449350649350654,0.037187154559111146,0.020343768094806567,0.024182108596685275
