,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/11/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,8.2083,6.4367,-0.05891862144871718,-0.10986906973011412,0.7615932750654123,1.3493169825588083,0.029615413562128268,0.05723927407617313,-0.0016905451095815538,0.055137910953464875,0.027579237007154006,0.04610889425927828
6/14/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,8.1111,6.4367,-0.0931644380841643,-0.10869370779482135,0.7525747369593053,1.3333388128154127,-0.011841672453492103,0.017423045081658817,0.012128925991090611,0.055137910953464875,0.02719817090581671,0.04601590162741965
6/15/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,8.0278,6.4367,-0.09687362890796392,-0.0906298867126416,0.7448458869156971,1.319645587099107,-0.010269877082023537,-0.006866007694877108,0.05667877639130192,0.055137910953464875,0.02714320023569254,0.04553560425149237
6/16/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,8.4722,6.4367,-0.07388419453219774,-0.11183743072331953,0.7860787915901206,1.392698042181053,0.055357632228007825,0.04273230769230785,0.03390120082007231,0.055357632228007825,0.029707451413485464,0.04499460131331933
6/17/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,8.8611,6.4367,-0.018465185316466792,-0.09846252686147228,0.8221622223459334,1.4566271596008744,0.04590307122117032,0.08873434985071693,0.1372486107011308,0.055357632228007825,0.03118376567873323,0.04486253032544617
6/18/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,8.8611,6.4367,-0.002341841272700651,-0.07583962890822915,0.8221622223459334,1.4566271596008744,0.0,0.07952925697160196,0.1771168203193496,0.055357632228007825,0.031184462107435987,0.0446157792394994
6/21/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,9.25,6.4367,0.047173762919860085,-0.10376642930728042,0.8582456531017463,1.520556277020696,0.04388845628646543,0.16841613298470337,0.19354838709677424,0.055357632228007825,0.03095179642106529,0.044787136536398243
6/22/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,9.0972,6.4367,0.02987558443616778,-0.13836278627466514,0.844068362745644,1.4954383311689379,-0.01651891891891888,0.19525429964131336,0.1675500853472287,0.055357632228007825,0.029640525356651157,0.044859366480193036
6/23/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,9.0764,6.4367,0.008488888888888768,-0.15895555555555552,0.842138469817588,1.4920191343514209,-0.002286417798883278,0.19909107723201314,0.2034952331702402,0.055357632228007825,0.029570957002813085,0.04463546721576905
6/24/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,8.8472,6.4367,-0.00779436338555739,-0.12772662532102685,0.8208725342834347,1.454342215573784,-0.025252302675069283,0.1374938928745919,0.23688625433396715,0.055357632228007825,0.03016300664890688,0.04422936479809741
6/25/1999,-109.5,29.6631,21645.1345,4.4516,18.7327,9.0,6.4367,-0.012193917309655355,-0.17072581795831465,0.8350498246395369,1.479460161425542,0.01727100099466483,0.1911694637090371,0.2755825160156471,0.055357632228007825,0.029133040972495177,0.04419877070613806
