,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.9518,2.4315,-0.013964474875391542,0.06829793654592575,0.8066243317784058,1.0742432830744812,-0.014446478345883529,-0.07700324844517836,0.00665016519180317,0.0191901803757204,0.011592371299673393,0.014194471455363143
6/28/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.1014,2.4315,0.0002461158210582681,0.07968392444767969,0.8129915897715279,1.0827230472735518,0.00789370930465716,-0.07357505917044971,0.033167101178048775,0.0191901803757204,0.011747127531083573,0.014033362432657142
6/29/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.1869,2.4315,-0.0049269003573299,0.06931370871127851,0.816630630937383,1.0875694365718174,0.004476111698618945,-0.06942827765491011,0.017991489722938514,0.0191901803757204,0.011855191286134312,0.01383460087250849
6/30/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.5886,2.4315,-0.02870220870628437,0.0740102101066471,0.791165855153393,1.0536560480671127,-0.0311827340529216,-0.09563449010669312,-0.013752268169229254,0.0191901803757204,0.013318757454265534,0.014394786018435001
7/1/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.5673,2.4315,-0.030853307165525368,0.0717439869717722,0.7902592870033027,1.052448701961229,-0.0011458635938155215,-0.09572929298832611,-0.01928440134372833,0.0191901803757204,0.013317342378597769,0.014383203345549973
7/2/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.4604,2.4315,-0.031229828658392522,0.06519902390385979,0.7857094214988594,1.0463892982655028,-0.005757433767968445,-0.09052660620064135,-0.008310457639228441,0.0191901803757204,0.013230762303304635,0.014245116732094824
7/5/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.4604,2.4315,-0.02278875013895576,0.08013382104611222,0.7857094214988594,1.0463892982655028,0.0,-0.09528687018186976,0.0007860825440881847,0.0191901803757204,0.013087203751302848,0.014197860181801527
7/6/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.8023,2.4315,-0.0036035463135192236,0.08810670736554282,0.8002613299737819,1.0657691871669879,0.01852072544473571,-0.08428424625844388,0.006622552011392724,0.0191901803757204,0.013849792339624791,0.014300864271899204
7/7/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.9946,2.4315,0.010996380668511607,0.0803651266766019,0.8084459804555824,1.0766693118694024,0.010227472170957874,-0.06420861271363043,0.030931304173202,0.0191901803757204,0.014080060494883716,0.014244948342882657
7/8/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.7168,2.4315,-0.014583706262043417,0.06978593014562628,0.7966222888079266,1.0609227978687223,-0.014625209270002992,-0.07886590581368447,0.014686190427140922,0.0191901803757204,0.014265469795324904,0.014372903821354989
7/9/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.8023,2.4315,-0.015416276110532201,0.03828933794844147,0.8002613299737819,1.0657691871669879,0.004568088562147299,-0.051725094437635843,0.03837657532279626,0.0191901803757204,0.013575026928451254,0.01418113633240331
7/12/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.8236,2.4315,-0.015363048129181434,0.029345148111919572,0.801167898123872,1.0669765332728716,0.0011328401312604708,-0.043433629937545515,0.06697653327287156,0.0191901803757204,0.01354383227337383,0.013772539145750006
7/13/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.0373,2.4315,-0.004184691352858483,0.048343646853896693,0.8102633729442609,1.0790896723727468,0.01135276992711276,-0.05010602998777536,0.04524740298245211,0.0191901803757204,0.013087719704055315,0.013247720421322657
7/14/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.0587,2.4315,-0.010518500828085142,0.06047359212514225,0.8111741972828493,1.0803026867702077,0.0011241089860434261,-0.06694376312658801,0.050083472454090394,0.01852072544473571,0.012161109411394602,0.013236450275832774
7/15/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.2082,2.4315,0.0025993819943210816,0.0661694087188911,0.8175371990874732,1.088776782677701,0.00784418664441966,-0.059624695854813226,0.05585971855760774,0.01852072544473571,0.012383494560910204,0.01326451282225383
7/16/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.0373,2.4315,0.0012043503870751149,0.06301013968360825,0.8102633729442609,1.0790896723727468,-0.008897241802980127,-0.058142238713667305,0.026181030207637068,0.01852072544473571,0.012340180637068432,0.013099230863124795
7/19/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.08,2.4315,0.00020444430465338392,0.03941057134319914,0.8120807654329394,1.0815100328760912,0.0022429651263571326,-0.0377195769597386,0.0439521357794348,0.01852072544473571,0.011800626175210953,0.012953091641702117
7/20/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.2082,2.4315,0.021245600416830657,0.03146964686366882,0.8175371990874732,1.088776782677701,0.00671907756813428,-0.009912115667121912,0.04612418510671912,0.01852072544473571,0.011016346054775238,0.012965817302772164
7/21/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.1655,2.4315,0.0003705946216803202,0.01709954902288291,0.8157198065987947,1.0863564221743567,-0.0022230089232723182,-0.01644770604536583,0.06091303120381286,0.01852072544473571,0.010966099971646397,0.012790108828265303
7/22/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.1869,2.4315,0.007980036774362986,0.02032571578670872,0.816630630937383,1.0875694365718174,0.001116589705460358,-0.01209974307354067,0.06961122074678627,0.01852072544473571,0.010956862045436637,0.012748583399420579
7/23/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.2082,2.4315,0.010192275328172462,0.01131773813530823,0.8175371990874732,1.088776782677701,0.0011101324341087349,-0.0011128676623538558,0.04853976745455535,0.01852072544473571,0.010747036250255746,0.012486780466661887
7/26/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.3792,2.4315,0.020290831745095828,-0.002211247880887557,0.8248152814191835,1.0984695612742321,0.008902447912870537,0.02255194757226242,0.03633748134996817,0.01852072544473571,0.010378957161196446,0.012268410696296455
7/27/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.2937,2.4315,0.008140914102383379,-0.001907210299980533,0.8211762402533284,1.0936231719759666,-0.004411946829590452,0.010067324908121789,0.020220714599207934,0.01852072544473571,0.01032429773033839,0.012207557010418405
7/28/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.7168,2.4315,-0.023049941540003394,0.001487598129280121,0.7966222888079266,1.0609227978687223,-0.029900952124268687,-0.024501091890821503,-0.012493668748944864,0.01852072544473571,0.012218634448204422,0.012786922374901682
7/29/1999,521.0,70.8069,64278.828,19.0634,17.6301,17.9263,2.4315,-0.06831836514074252,-0.03389671947112394,0.7629771187306343,1.01611495295318,-0.042234783723713365,-0.035629364233992766,-0.06256928901625292,0.01852072544473571,0.013724049932580354,0.013788557406664539
7/30/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.0972,2.4315,-0.08395972848617372,-0.06016430534675721,0.7702509448738466,1.0258020632581342,0.009533478743522172,-0.025318705466061187,-0.030025619861288155,0.01852072544473571,0.013939253488164256,0.013518886627012481
8/2/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.1186,2.4315,-0.07803237313060696,-0.060639829840067994,0.7711617692124348,1.0270150776555946,0.001182503370687149,-0.018515308444020717,-0.022228218342732253,0.01852072544473571,0.01390619953223562,0.01349524636783576
8/3/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.0758,2.4315,-0.07825909589250646,-0.05864715331072634,0.7693401205352582,1.0245890488606735,-0.002362213416047587,-0.02083378475005948,-0.03987974461665933,0.01852072544473571,0.013908992514205649,0.013336025973344339
8/4/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.3322,2.4315,-0.08076558574730863,-0.057193286833910895,0.7802529878443256,1.039122548463893,0.014184711050133192,-0.025002260361764228,-0.01295442798070301,0.014184711050133192,0.013635645577032283,0.013359094796071449
8/5/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.5245,2.4315,-0.07015324689666258,-0.046556336932351616,0.7884376383261261,1.0500226731663076,0.010489739365706185,-0.02474913922904398,-0.0026005771881462136,0.014184711050133192,0.01364666920173164,0.01342580060891268
8/6/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.4604,2.4315,-0.0743372327996431,-0.06148052690431194,0.7857094214988594,1.0463892982655028,-0.0034602823288077955,-0.013698922892802168,-0.008310457639228441,0.014184711050133192,0.013306746904936466,0.013429892822777588
8/9/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.3322,2.4315,-0.08267907628412019,-0.05915584578047994,0.7802529878443256,1.039122548463893,-0.006944594916686531,-0.025002260361764228,-0.009241644688486317,0.014184711050133192,0.013321591202010243,0.01343709550701559
8/10/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.61,2.4315,-0.08866983012335528,-0.07820985568565231,0.7920766794919814,1.0548690624645731,0.015153664044686321,-0.011347457447034581,-0.022445409800759486,0.015153664044686321,0.013783439640998785,0.013067009953450183
8/11/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.6704,2.4315,-0.09582937837785477,-0.07806113554035998,0.7946474173448194,1.0582927105770321,0.0032455668995163833,-0.01927269098033846,-0.01595935319292463,0.015153664044686321,0.013547811701963557,0.013068335285260687
8/12/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.3467,2.4315,-0.1024778025096007,-0.06764669911699239,0.7808701351765466,1.0399444507425462,-0.017337603907790045,-0.03735826682827281,-0.044850636707239766,0.015153664044686321,0.014005431489260063,0.013144028254922455
8/13/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.4546,2.4315,-0.10266895522242914,-0.06602613037960514,0.7854625625659709,1.0460605373540415,0.005881166640322233,-0.03923324413531737,-0.03816666579801853,0.015153664044686321,0.013944849114715564,0.013169505464517537
8/16/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.3467,2.4315,-0.10971627110254922,-0.07620452549289847,0.7808701351765466,1.0399444507425462,-0.005846780748431368,-0.03627615260567407,-0.0584676177768656,0.015153664044686321,0.013883083229134287,0.013022387725836552
8/17/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.3251,2.4315,-0.125744246402809,-0.08972939964123505,0.7799507984609622,1.0387200997619317,-0.0011773234423628764,-0.039564989517819615,-0.0767839509904682,0.015153664044686321,0.013854981340319823,0.012780599006724474
8/18/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.1524,2.4315,-0.12443867781191664,-0.07351331014889795,0.7726003609247846,1.0289309602085932,-0.009424232337067684,-0.05496610822461245,-0.08646945738930878,0.015153664044686321,0.013804821990284823,0.012819022715780221
8/19/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.692,2.4315,-0.09296039829772373,-0.06998354983816724,0.7955667540604038,1.0595170615576466,0.029726096824662207,-0.02470585166053596,-0.07911655885584212,0.029726096824662207,0.015503963365145697,0.013094374583693875
8/20/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.1884,2.4315,-0.036828446800287074,-0.03690374006756314,0.8166944737648542,1.0876544609454712,0.02655681575005353,7.817834043022387e-05,-0.07127887672969979,0.029726096824662207,0.016636333066126704,0.013341520435337642
8/23/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.1453,2.4315,-0.04792854976105354,-0.04480061265795088,0.8148600565221832,1.085211427275819,-0.002246148714848739,-0.003274643121167098,-0.08472331779610376,0.029726096824662207,0.016642631878967588,0.013229727245097434
8/24/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.6849,2.4315,-0.018052756549673865,-0.03330207314883171,0.8378264496578024,1.1157975286248725,0.028184463027479234,0.01577464498018477,-0.0412995728805966,0.029726096824662207,0.017660479578962104,0.01355763738538427
8/25/1999,521.0,70.8069,64278.828,19.0634,17.6301,20.0518,2.4315,0.0002494163657043025,-0.037567093002374485,0.853442405257244,1.1365944904205874,0.018638651961655928,0.03929261883412716,-0.027480308850347357,0.029726096824662207,0.01802668975936039,0.013760432592265115
8/26/1999,521.0,70.8069,64278.828,19.0634,17.6301,20.0734,2.4315,-0.03275173347596261,-0.09812028082551527,0.8543617419728284,1.1378188414012016,0.0010772100260325601,0.07248033851940505,-0.026432700888526783,0.029726096824662207,0.01648814806661473,0.013761542009902289
8/27/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.9439,2.4315,-0.057854558166340775,-0.15316553763593244,0.8488499778678198,1.130478403809092,-0.006451323642232998,0.11254971745424314,-0.029696949056888466,0.029726096824662207,0.013011306405143478,0.013778854327712257
8/30/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.7281,2.4315,-0.0597428222823807,-0.13747283333968807,0.8396651230889715,1.1182462305861014,-0.010820351084792734,0.0901189134230711,-0.03919563237535861,0.029726096824662207,0.013421756198571926,0.013841312222968324
8/31/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.8576,2.4315,-0.0719490024349092,-0.15322169826752208,0.8451768871939801,1.1255866681782112,0.006564240854415759,0.09597871800249469,-0.02169189916198211,0.029726096824662207,0.013412588213369554,0.013798360533208117
9/1/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.9871,2.4315,-0.06133883117615002,-0.15109988165235844,0.8506886512989887,1.132927105770321,0.006521432600112842,0.10573805861981223,-0.02046587305865788,0.029726096824662207,0.013326521378575559,0.013807392678105608
9/2/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.9223,2.4315,-0.0857891500472654,-0.15875696362852076,0.8479306411522354,1.1292540528284776,-0.0032420911487910375,0.08673808926369997,-0.02973764056708994,0.029726096824662207,0.013260676549281203,0.013787016760557666
9/3/1999,521.0,70.8069,64278.828,19.0634,17.6301,20.1813,2.4315,-0.06588813596978449,-0.14257479819299423,0.8589541693622527,1.143934928012697,0.013000506969576886,0.08943831142540959,-0.005744436616595738,0.029726096824662207,0.013332746964598323,0.013814696731921787
9/6/1999,521.0,70.8069,64278.828,19.0634,17.6301,20.1813,2.4315,-0.0503677352870594,-0.13134478653472426,0.8589541693622527,1.143934928012697,0.0,0.09322116530519375,-0.006791572544329716,0.029726096824662207,0.013254868483624891,0.01381404108115148
9/7/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.8144,2.4315,-0.06944940168692348,-0.13905847876317312,0.843338213762811,1.1231379662169823,-0.01818019651855929,0.08085227086765356,-0.0006808587898869956,0.029726096824662207,0.013941933666218704,0.01366451250170375
9/8/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.6849,2.4315,-0.07281839206062857,-0.12344742804120401,0.8378264496578024,1.1157975286248725,-0.006535650839793239,0.057759269210102104,0.0003353948257724948,0.029726096824662207,0.013862031074312057,0.013656016170242568
9/9/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.8576,2.4315,-0.0665087155187003,-0.1223181211334875,0.8451768871939801,1.1255866681782112,0.008773222114412782,0.06358728254349133,-0.009175959883242157,0.029726096824662207,0.013923890151115368,0.01349963698519197
9/10/1999,521.0,70.8069,64278.828,19.0634,17.6301,20.0734,2.4315,-0.06729486982905619,-0.14752552075347214,0.8543617419728284,1.1378188414012016,0.010867375715091443,0.09411501795963306,-0.01726712392478258,0.029726096824662207,0.013202483332841918,0.013348126203754132
9/13/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.9871,2.4315,-0.05115667443637917,-0.12390871932664593,0.8506886512989887,1.132927105770321,-0.004299221855789126,0.08304162647795144,-0.021492110584007684,0.029726096824662207,0.01333068261951328,0.013358133728401354
9/14/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.836,2.4315,-0.0592587323041901,-0.1298902089113373,0.8442575504783955,1.1243623171975965,-0.007559876120097564,0.08117536123662572,-0.0186270871985158,0.029726096824662207,0.013398314183724426,0.01332740073363844
9/15/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.6849,2.4315,-0.06457928425814619,-0.12919658428333158,0.8378264496578024,1.1157975286248725,-0.007617463198225427,0.07420423353760697,-0.007212059774358348,0.029726096824662207,0.013590461056491454,0.013143821654542686
9/16/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.4043,2.4315,-0.10098684210526321,-0.15898813936249068,0.8258835847322006,1.0998923024600384,-0.014254580922432925,0.06896608712897456,0.00019587124043196624,0.029726096824662207,0.013858402377837477,0.012982160010604468
9/17/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.2964,2.4315,-0.12287097434032601,-0.15034432600740932,0.8212911573427764,1.0937762158485431,-0.005560623160845823,0.03233468863684985,-0.009730062609052736,0.028184463027479234,0.012569764260050477,0.012989390760152016
9/20/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.4906,2.4315,-0.12068646602633804,-0.13432014328444397,0.8295566754060404,1.1047840380909195,0.010064053398561423,0.015749098413624818,0.0035372440389456195,0.028184463027479234,0.011391961427393724,0.01304487090051289
9/21/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.1453,2.4315,-0.14269273998181986,-0.14269273998181986,0.8148600565221832,1.085211427275819,-0.017716232440253332,0.0,-0.0043838665390857345,0.028184463027479234,0.012078686469884711,0.01317837237479282
9/22/1999,521.0,70.8069,64278.828,19.0634,17.6301,19.0158,2.4315,-0.17010858180294675,-0.14090758326932473,0.8093482924171745,1.0778709896837093,-0.0067640621980329385,-0.033990520652886214,0.003376987937821152,0.018638651961655928,0.010285810779295535,0.013077545804008347
9/23/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.6273,2.4315,-0.183360587820094,-0.12090908692354563,0.7928130001021486,1.0558496769073802,-0.020430378948032568,-0.07104100380015754,-0.024820170249301055,0.013000506969576886,0.009971569017981012,0.013291733755413634
9/24/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.4762,2.4315,-0.1972942208937587,-0.12790323841963036,0.7863818992815553,1.047284888334656,-0.008111749958394587,-0.07956798549323985,-0.03704089769582386,0.013000506969576886,0.009964335080354483,0.013313198446190366
9/27/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.3898,2.4315,-0.21729544758078245,-0.1511500221321802,0.8166384681312143,1.0423874844121983,-0.004676286249336803,-0.07792357562964103,-0.010694726875611904,0.013000506969576886,0.009949065152746508,0.012734521912114875
9/28/1999,521.0,70.8069,64278.828,19.0634,17.6301,18.3035,2.4315,-0.1871938682617712,-0.12393145313492215,0.8150646806047247,1.0374957487813172,-0.0046928188452295405,-0.07221171831043038,-0.014207773882039976,0.013000506969576886,0.009822183173272431,0.012747097048520199
