,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.6667,3.9438,-0.5813041683862981,-0.5401855407418041,0.41405224118962275,1.86668,0.004498686986094791,-0.08942439024390247,0.3494202353757625,0.02564102564102555,0.01685557221681267,0.036490267746692895
6/28/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.8125,3.9438,-0.5690311372204859,-0.5410461461309071,0.42698832381019985,1.925,0.031242633981185985,-0.060975609756097615,0.3124880682902882,0.031242633981185985,0.018549152385607715,0.0359658502379667
6/29/1999,-406.22,31.4353,9308.569,7.9879,15.9792,5.0,3.9438,-0.5445934129991257,-0.5332082483241039,0.44362423253007777,2.0,0.03896103896103886,-0.024390243902439046,0.4035087719298245,0.03896103896103886,0.02067288997086919,0.035960038511348325
6/30/1999,-406.22,31.4353,9308.569,7.9879,15.9792,5.1875,3.9438,-0.510807038720507,-0.5304501989777636,0.4602601412499557,2.075,0.03750000000000009,0.04183402956298199,0.45614035087719307,0.03896103896103886,0.021290037644924036,0.03616890083417311
7/1/1999,-406.22,31.4353,9308.569,7.9879,15.9792,5.1042,3.9438,-0.5342160736610606,-0.5475301826013159,0.45286936153600454,2.04168,-0.016057831325301253,0.029425407901901623,0.40002194305776495,0.03896103896103886,0.021622094671461277,0.03621492608038643
7/2/1999,-406.22,31.4353,9308.569,7.9879,15.9792,5.0417,3.9438,-0.5433945859786085,-0.5490549462492189,0.4473240586293786,2.01668,-0.012244817993025348,0.012552217223650297,0.46667636363636356,0.03896103896103886,0.02182014531654821,0.03538546681701988
7/5/1999,-406.22,31.4353,9308.569,7.9879,15.9792,5.0417,3.9438,-0.5476592079527715,-0.5514005275529796,0.4473240586293786,2.01668,0.0,0.008340000000000014,0.5031005903046926,0.03896103896103886,0.02180704836522948,0.035175097771041976
7/6/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.9583,3.9438,-0.5492454545454546,-0.5454545454545454,0.4399244064307769,1.9833200000000002,-0.016542039391474916,-0.008339999999999903,0.5159288247523544,0.03896103896103886,0.022127036679840943,0.03506871931150117
7/7/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.8125,3.9438,-0.5730116761898001,-0.5582212442772474,0.4317769922302572,1.925,-0.02940523969909048,-0.03347927377892024,0.375,0.03896103896103886,0.023022524539553297,0.034425610570688124
7/8/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.7292,3.9438,-0.5756966749807102,-0.5607493405587755,0.42911585365853655,1.8916799999999998,-0.01730909090909094,-0.034029167858164344,0.34321745057941366,0.03896103896103886,0.023041527361368788,0.034546502644461845
7/9/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.75,3.9438,-0.568996806039489,-0.5576546167247387,0.4410071675270175,1.9,0.004398206884885569,-0.02564102564102566,0.3571428571428572,0.03896103896103886,0.023065232923242588,0.034517208782811996
7/12/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.6458,3.9438,-0.5636025474835146,-0.5303312104304044,0.431332862925688,1.8583200000000002,-0.021936842105263032,-0.0708399999999999,0.31952965235173836,0.03896103896103886,0.02265226172767817,0.03468859373646539
7/13/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.625,3.9438,-0.5577675147968599,-0.5258980905118422,0.42940171574999075,1.85,-0.004477162167979776,-0.06722061997055451,0.3058700623994126,0.03896103896103886,0.02262452030307505,0.03470871979009897
7/14/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.5417,3.9438,-0.5622457831325302,-0.5401638554216868,0.42166784268578006,1.8166799999999999,-0.018010810810810907,-0.04802129621866369,0.24573481814690878,0.03896103896103886,0.021487775192494556,0.034680900277739436
7/15/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.5417,3.9438,-0.5674571428571429,-0.5357142857142857,0.42166784268578006,1.8166799999999999,0.0,-0.06836923076923085,0.30538629570016074,0.03896103896103886,0.020787068786100982,0.0340965800756216
7/16/1999,-406.22,31.4353,9308.569,7.9879,15.9792,4.2917,3.9438,-0.6015430608682735,-0.5512589594087718,0.407116499236366,1.7166799999999998,-0.05504546755620143,-0.11205594521341544,0.21895591910929335,0.03896103896103886,0.02366636950640267,0.03490442415643049
7/19/1999,-406.22,31.4353,9308.569,7.9879,15.9792,2.875,3.9438,-0.7272735896487283,-0.5316220343967293,0.2833684874529362,1.15,-0.33010229046764683,-0.4177215189873418,-0.21591621894346413,0.03896103896103886,0.07417374168329238,0.05438138972751179
7/20/1999,-406.22,31.4353,9308.569,7.9879,15.9792,2.7708,3.9438,-0.7269017721618798,-0.5153955331270083,0.2753590062111801,1.10832,-0.0362434782608696,-0.4364512782964183,-0.25281126122482,0.03896103896103886,0.07411636731864872,0.054520774649420095
7/21/1999,-406.22,31.4353,9308.569,7.9879,15.9792,3.0833,3.9438,-0.687767088607595,-0.5084354430379747,0.3064149068322981,1.23332,0.1127833116789374,-0.3648180956697292,-0.30189960830484297,0.1127833116789374,0.07987752946313986,0.05079466829661972
7/22/1999,-406.22,31.4353,9308.569,7.9879,15.9792,3.2917,3.9438,-0.6030126512054224,-0.4170917905857665,0.3271254658385093,1.31668,0.06758991989102592,-0.3189539238201643,-0.2914675620991003,0.1127833116789374,0.08199177901098319,0.051112048165375665
7/23/1999,-406.22,31.4353,9308.569,7.9879,15.9792,3.1667,3.9438,-0.6274470588235295,-0.45343529411764705,0.3147031055900621,1.26668,-0.0379742989944406,-0.318373584743209,-0.3214262755266033,0.1127833116789374,0.08197971259591758,0.05127890229874856
7/26/1999,-406.22,31.4353,9308.569,7.9879,15.9792,3.0833,3.9438,-0.6253220240120547,-0.4329096388470326,0.3064149068322981,1.23332,-0.026336564878264523,-0.33929757644588254,-0.3242082191780822,0.1127833116789374,0.08190400736888803,0.05130372619888214
7/27/1999,-406.22,31.4353,9308.569,7.9879,15.9792,2.9792,3.9438,-0.6611349340855579,-0.45260871048830154,0.2960695652173913,1.19168,-0.03376252716245576,-0.3809454545454545,-0.3755345015511026,0.1127833116789374,0.08126800677839938,0.05102218216270108
7/28/1999,-406.22,31.4353,9308.569,7.9879,15.9792,2.9167,3.9438,-0.6601889716076568,-0.41747346591637247,0.2898583850931677,1.16668,-0.02097878625134264,-0.41666000000000003,-0.3693621621621621,0.1127833116789374,0.08018429927361224,0.05096181849824324
7/29/1999,-406.22,31.4353,9308.569,7.9879,15.9792,2.7917,3.9438,-0.6691318518518519,-0.3851851851851852,0.2774360248447205,1.1166800000000001,-0.04285665306682207,-0.4618409638554217,-0.4017828444082542,0.1127833116789374,0.07913208368373385,0.051137689421541316
7/30/1999,-406.22,31.4353,9308.569,7.9879,15.9792,2.7917,3.9438,-0.6839572979520677,-0.4221638572221027,0.2774360248447205,1.1166800000000001,0.0,-0.45305826574193797,-0.4017828444082542,0.1127833116789374,0.07930480432984832,0.051137689421541316
8/2/1999,-406.22,31.4353,9308.569,7.9879,15.9792,2.8333,3.9438,-0.6707073289788708,-0.4140419794983846,0.2815701863354037,1.1333199999999999,0.014901314611168726,-0.4380268560207866,-0.4087067220401944,0.1127833116789374,0.07973783509751656,0.051034361081104554
