,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
9/13/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.6672,8.7831,8.368523949169111,5.206011730205278,0.688085579926051,15.303792415169662,-0.063685322456556,0.509588501673558,-0.005460936790629423,0.11224650521756252,0.06115652542992164,0.0606593819095661
9/14/1999,-637.0,28896.4099,14.9442,16.987000000000002,8.0332,8.7831,9.362745098039216,6.287280701754385,0.7209319022148832,16.03433133732535,0.047735809682804664,0.4220318280788091,0.056221731355843074,0.09933743267076589,0.05790769826177192,0.06090286305892109
9/15/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.8777,8.7831,8.450215930902111,6.3207773512476,0.706976702444628,15.723952095808382,-0.01935716775382179,0.29087602005702484,0.03975450405860226,0.09933743267076589,0.056660637374108744,0.06096083284773486
9/16/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.8647,8.7831,8.31505389079711,6.730664455762169,0.7058100297950246,15.698003992015968,-0.0016502278583850893,0.2049486747357132,-0.0020556027864837567,0.09933743267076589,0.0552680653049944,0.060770082270054766
9/17/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.3076,8.7831,8.386769428387925,6.572639691714836,0.6558136195570234,14.586027944111777,-0.07083550548654116,0.239563720251726,-0.04850197263056477,0.09933743267076589,0.05299640421630112,0.061363299884989
9/20/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.0485,8.7831,9.200434153400868,8.225325615050652,0.6325609362099293,14.068862275449101,-0.03545623734194536,0.10569909172196335,-0.07127045616254257,0.09933743267076589,0.051417492019246704,0.0615150600061671
9/21/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.2882,8.7831,9.547322720694646,8.333140376266282,0.6540725849876153,14.547305389221556,0.034007235582038664,0.13009365502698,-0.010548609131267095,0.09933743267076589,0.05176969461290161,0.06153417471632249
9/22/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.7287,8.7831,11.469667634720878,8.940141981284285,0.6936048389991744,15.426546906187625,0.06044016355204307,0.2544758071061046,0.09650280201461303,0.09933743267076589,0.05159360381019324,0.061702721080138
9/23/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.1651,8.7831,10.362353314303837,9.602124960355216,0.6430250924363715,14.301596806387225,-0.07292300128093987,0.07170528142154153,-0.01293566606970653,0.09933743267076589,0.051930951062957906,0.06234397983869522
9/24/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.57,8.7831,13.191976002999626,11.479377577802776,0.6793624582690169,15.109780439121757,0.05651002777351333,0.13723428228047774,0.037753954980396465,0.09933743267076589,0.05309301970104429,0.06272534553888298
9/27/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.191,8.7831,13.353293413173652,12.163672654690618,0.6453494633305812,14.16945812807882,-0.05006605019815069,0.09037149355572405,-0.08340025238040616,0.09933743267076589,0.05446533616725527,0.06236119964301562
9/28/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.1521,8.7831,12.464043674698795,10.653049698795181,0.6418584197867682,14.0928078817734,-0.005409539702405763,0.155409444112373,-0.0778860782341868,0.09933743267076589,0.052355055905497494,0.06234750416191554
9/29/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.2039,8.7831,12.237596471885336,10.957919882396178,0.6465071615751876,14.194876847290642,0.007242628039317189,0.10701498271225507,-0.032202160245042744,0.09933743267076589,0.05141677092921776,0.062132207544114054
9/30/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.3108,8.7831,13.405517241379313,11.45241379310345,0.6561008005169258,14.048424289008457,0.014839184330709854,0.156845369960124,-0.01784082970605616,0.09933743267076589,0.050811427529575154,0.062155243231662285
10/1/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.1635,8.7831,12.765372790161415,11.093966179861646,0.6428815019564204,12.710255500354862,-0.020148273786726567,0.13820169375724922,-0.017972198612672408,0.09933743267076589,0.051125082201052205,0.062155979224634915
10/4/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.2169,8.7831,11.805003548616039,11.27625975869411,0.647673834224791,11.604598810098086,0.007454456620367145,0.04307043027070767,0.007229487376310129,0.09389777979641467,0.04659603298902022,0.062110806497838
10/5/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.3173,8.7831,10.766039556198747,10.125422093584177,0.6566841368417274,9.33448143895905,0.013911790380911615,0.05758140744916118,0.05216766122654404,0.09389777979641467,0.04664951359176226,0.06199781942279233
10/6/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.8615,8.7831,9.028702640642939,7.8469192499043245,0.7055228488351223,9.786505664135442,0.07437169447747127,0.13358134706060487,0.11740459100277167,0.09389777979641467,0.04912675276232802,0.06264504232194931
10/7/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.7805,8.7831,8.685671604630897,7.693763226689903,0.6982535807875938,8.985448666127729,-0.010303377218088161,0.11409424803470936,0.17398979992153785,0.09389777979641467,0.04927396974537245,0.06217447216479699
10/8/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.8323,8.7831,7.966571265025758,7.569891242129364,0.7029023225760133,9.045270816491511,0.006657669815564482,0.04628763792780988,0.2089867868609534,0.09389777979641467,0.04693302510709734,0.06207961906337951
10/11/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.7611,8.7831,7.712505612932196,8.192523574315222,0.6965125462181858,8.9630442314355,-0.009090560882499377,-0.052218300829191544,0.21748474438012777,0.07437169447747127,0.042115556708136395,0.06204823448393953
10/12/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.502000000000001,8.7831,7.663817992839821,7.854602148054049,0.6732598628710917,5.9182707478699905,-0.03338444292690457,-0.02154632721201999,0.1397751443330295,0.07437169447747127,0.040368652767969034,0.062131717072305276
10/13/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.1003,8.7831,4.601372672767434,5.337330388135059,0.6372096779983487,5.145517791144286,-0.05354572114102918,-0.11613055818353846,0.11410459587955613,0.07437169447747127,0.04039797003233246,0.0623937820495716
10/14/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.34,8.7831,4.150154364299747,4.527434746000561,0.6587213267760348,5.3192260308718025,0.0337591369378758,-0.068255963034896,0.20339705544807685,0.07437169447747127,0.04111598873994115,0.06221950605050964
10/15/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.9513,8.7831,4.029520295202952,4.690398668692569,0.6238378145528951,5.037538952097979,-0.052956403269754815,-0.11613920429259861,0.18760677919770385,0.07437169447747127,0.042558665889170184,0.0623869032660893
10/18/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.7116,8.7831,3.8638307123704614,4.295746068555693,0.6023261657752091,4.7851133609011836,-0.03448275862068961,-0.08155892495484152,0.1230359921690678,0.07437169447747127,0.0404329885505306,0.06254282300559645
10/19/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.9254,8.7831,3.8227019498607246,3.9084261838440115,0.6215134436586854,4.937544560102666,0.031855295309613174,-0.01746470880329143,0.22945552024711957,0.07437169447747127,0.040421518740224344,0.062144865667419245
10/20/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.5603,8.7831,4.209688533627342,4.022188533627342,0.6784919409843128,5.390203907029801,0.0916770150460624,0.03733432123157976,0.35304960985038303,0.0916770150460624,0.044595246377201754,0.06306708087775677
10/21/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.6963,8.7831,4.30340407938258,4.325730429988974,0.690697131780163,5.487166690432055,0.01798870415195175,-0.004192166858592028,0.4227640773468406,0.0916770150460624,0.04277122026063297,0.06288747636345551
10/22/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.3918,8.7831,4.174518725936297,4.015820791039552,0.6633700685644542,5.270069870240981,-0.03956446604212416,0.03163947467585948,0.43251937984496114,0.0916770150460624,0.04045849445948456,0.06280289220717648
10/25/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.8194,8.7831,4.574932268643947,4.397119634963639,0.7017446243314068,5.388230429988974,0.057847885494737517,0.03294583883751656,0.4377597175743757,0.0916770150460624,0.04054915294672089,0.06285068333646353
10/26/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.8777,8.7831,4.42840407938258,3.9552094818081587,0.706976702444628,4.427166460604698,0.007455815024170587,0.09549436795995003,0.48655482799615046,0.0916770150460624,0.03873600166065085,0.06270616861251972
10/27/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.1878,8.7831,3.0394515005057885,3.0193885579408786,0.6450622823706789,3.5886963902341606,-0.08757632303845031,0.004991540946015949,0.41972821363672264,0.0916770150460624,0.04368024716458234,0.06351788406393084
10/28/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.0582,8.7831,2.12171605484299,2.186156567890314,0.6334314534946334,3.5239902141894257,-0.01803055176827406,-0.02022515581837614,0.4924722997547155,0.0916770150460624,0.043851623632521555,0.0629090785020805
10/29/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.0031,8.7831,2.4964801038494184,2.6501073443506917,0.6284865563413146,3.270795385549484,-0.007806522909523772,-0.042088417136291634,0.6014772805232227,0.0916770150460624,0.04374522334988521,0.06203061320687398
11/1/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.1003,8.7831,2.261956172187256,2.2909909496026097,0.6372096779983487,3.3161926112745785,0.013879567620054045,-0.00882250296642706,0.8085789245778039,0.0916770150460624,0.04363595365433873,0.060364959952612283
11/2/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.8023,8.7831,2.177011816356079,2.3706506001587972,0.6104659511074416,3.085223149492017,-0.04197005760319983,-0.057448488963405375,0.4132006481904684,0.0916770150460624,0.04456408240049356,0.054096211917621
11/3/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.5853,8.7831,1.9868015239477503,2.3188044267053702,0.5909914922640629,2.9635479951397325,-0.03190097467033204,-0.10003689885613554,0.5262828535669586,0.0916770150460624,0.04487306557965847,0.052461940683590315
11/4/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.7375,8.7831,2.032041762296926,2.537869582827055,0.6046505366694188,2.7130144157203833,0.023112082972681636,-0.14297525917445786,0.6326604793176147,0.0916770150460624,0.04167385083542549,0.052074841611061115
11/5/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.9059,8.7831,1.71010909661722,2.053331763597834,0.6197634346842804,2.780824675847628,0.024994434137291188,-0.11240922819870192,0.49297388446904167,0.0916770150460624,0.04222078487228035,0.05011997469634347
11/8/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.1003,8.7831,1.859104453571716,2.1538616412982203,0.6372096779983487,2.7959440834810003,0.028149842887965404,-0.09345913716277465,0.562359723628042,0.0916770150460624,0.04276966629793528,0.05008103294228041
11/9/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.9902,8.7831,1.7525890923410121,2.0561527859814923,0.6273288580967082,2.322094143440853,-0.01550638705406815,-0.09932870340544508,0.4760647845091539,0.0916770150460624,0.04283229235001386,0.04998087763077218
11/10/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.9092,8.7831,1.0722212224821548,1.2500149961010139,0.6200595900491798,2.295186526259841,-0.011587651283225031,-0.07901892828579049,0.36034652490647767,0.0916770150460624,0.042348418096036795,0.04933357833855511
11/11/1999,-637.0,28896.4099,14.9442,16.987000000000002,6.8995,8.7831,1.0292050233816652,1.088262109937943,0.6191890727644758,2.291964256054214,-0.0014039252011811554,-0.028280495190344035,0.2213449930077358,0.0916770150460624,0.04073817725512647,0.04743008074449392
11/12/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.0938,8.7831,1.007925500297206,1.0776132921962125,0.636626341673547,2.3565093180081718,0.02816146097543304,-0.03354223433242509,0.16242257398485882,0.0916770150460624,0.04052002315305465,0.046529094490245136
11/15/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.2914,8.7831,1.0638568881089192,0.9675903648560671,0.6543597659475178,2.4221506162176527,0.027855310270940903,0.048926100153928065,0.11711352842040768,0.0916770150460624,0.039136909167912064,0.04586569226994555
11/16/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.5797,8.7831,1.0126125169273252,0.7821088128302489,0.6802329755537209,2.5179218018137726,0.039539731738760686,0.12934322665236309,0.28571913219004963,0.0916770150460624,0.03892440470282042,0.044280625554967444
11/17/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.3141,8.7831,1.142321548870859,1.028470167833397,0.656396955881825,2.42969139288443,-0.03504096468197948,0.056126721922199474,0.14736379751203987,0.0916770150460624,0.03948171498280306,0.043463171488731384
11/18/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.8907,8.7831,1.2038599039213493,1.1115797117640485,0.7081433750942313,2.62123376407667,0.0788340328953665,0.043701969498564974,0.22351609501953718,0.0788340328953665,0.03812108778484617,0.04448819988704551
11/19/1999,-637.0,28896.4099,14.9442,16.987000000000002,7.5635,8.7831,1.1566866267465072,1.1945537496435703,0.6787791219442152,2.5125402783775703,-0.0414665365556921,-0.017255044631836025,0.2276615429563864,0.0788340328953665,0.0391261388510578,0.04443268121610228
