,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
5/3/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.2129,7.5664,-0.08343486206596462,-0.1934122356626926,0.9057273079072968,1.4809125421822271,0.0,0.1363489237740736,0.1579309017947943,0.0631709540206602,0.028467828904898705,0.024190638941230153
5/4/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.2684,7.5664,-0.07688315058716666,-0.19520318345984988,0.9176591993808316,1.5004218222722159,0.013173823257138562,0.14701851503506846,0.1687522247474056,0.0631709540206602,0.028496790833303497,0.024226845189122496
5/5/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.1713,7.5664,-0.1032162359719655,-0.20888334694930555,0.9021172603213736,1.4662893700787398,-0.022748570893074693,0.13356704168704803,0.11267305076155654,0.0631709540206602,0.028973195695832,0.024243089487700462
5/6/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.0743,7.5664,-0.11091956531226821,-0.20909527342556633,0.8811392979951989,1.4321920697412822,-0.02325414139476889,0.12413089063017324,0.08278409694908051,0.0631709540206602,0.029329582699931765,0.024449255801513702
5/7/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.1575,7.5664,-0.10086723328791714,-0.2221285062393218,0.9127132225417662,1.4614384139482564,0.020420685761971313,0.15588856761565828,0.10085791452629334,0.0631709540206602,0.029317275230593232,0.02456344434628437
5/10/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.2822,7.5664,-0.05991086913569421,-0.20432043204320438,0.9400891308643058,1.5052727784026994,0.02999398677089582,0.18149210903873736,0.15504126881372393,0.0631709540206602,0.02973210850933739,0.024678370183333444
5/11/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.2961,7.5664,-0.05685934447103258,-0.17698843055037217,0.9431406555289674,1.5101588863892013,0.0032459950492738088,0.14596281575928938,0.1674819283656721,0.0631709540206602,0.029143137040671164,0.024645005173124415
5/12/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.2961,7.5664,-0.05685934447103258,-0.1542227393471055,0.9605589714924538,1.5101588863892013,0.0,0.11511706380106945,0.1417295630913149,0.0631709540206602,0.02878116635947553,0.024516254945256912
5/13/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.3376,7.5664,-0.015010105138860363,-0.14088153143947124,0.9698378982671884,1.5247469066366703,0.009659924117222607,0.14651230407316373,0.1527585840331669,0.0631709540206602,0.028276521419728178,0.024531208648964336
5/14/1999,585.342,55.4101,41247.0743,11.8046,15.4765,4.2545,7.5664,-0.018547140649149974,-0.0888832499019585,0.9512576858580213,1.4955357142857142,-0.019158059756547385,0.07719769090540818,0.1649461953396676,0.0631709540206602,0.027485008749557338,0.02434888443539777
