,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,35.88,31602.2604,19.6516,60.4417,9.04,2.5159,0.015080229515928023,0.08168925519611037,0.9371954633104563,1.3312324208108146,-0.019395149043259452,-0.06157870697172296,0.09078623485689463,0.021678464837142197,0.007883833639645755,0.011904173797768605
6/28/1999,35.88,31602.2604,19.6516,60.4417,9.2698,2.5159,0.0680477463360678,0.11136971149414698,0.9610193037384147,1.365072820180541,0.025420353982301025,-0.03898069626158529,0.11681646225392162,0.025420353982301025,0.01001049683622183,0.01228133050453163
6/29/1999,35.88,31602.2604,19.6516,60.4417,9.1805,2.5159,0.04484151823820626,0.09779775792408807,0.9517613883762882,1.351922482218328,-0.009633433299531813,-0.04823861162371179,0.11621092562646651,0.025420353982301025,0.010141630547923063,0.012289222858367248
6/30/1999,35.88,31602.2604,19.6516,60.4417,9.206,2.5159,0.044913340067875174,0.09340204079316261,0.9544050260216882,1.3556776179186238,0.0027776264909318282,-0.0443466345554957,0.11931134266295418,0.025420353982301025,0.010200680660934047,0.012287570554829527
7/1/1999,35.88,31602.2604,19.6516,60.4417,9.1805,2.5159,0.043428350609201694,0.09631296599381689,0.9517613883762882,1.351922482218328,-0.0027699326526178236,-0.04823861162371179,0.11280136728930046,0.025420353982301025,0.010171164057493104,0.01230035815831442
7/2/1999,35.88,31602.2604,19.6516,60.4417,9.1805,2.5159,0.04911607071434276,0.10228895974036356,0.9517613883762882,1.351922482218328,0.0,-0.04823861162371179,0.11280136728930046,0.025420353982301025,0.010171164057493104,0.01230035815831442
7/5/1999,35.88,31602.2604,19.6516,60.4417,9.1805,2.5159,0.04627044276027137,0.08783406461906651,0.9517613883762882,1.351922482218328,0.0,-0.03820768553828091,0.11792355183205272,0.025420353982301025,0.010007820110755603,0.012275707828421177
7/6/1999,35.88,31602.2604,19.6516,60.4417,9.2315,2.5159,0.052082739757251195,0.08783406461906651,0.9570486636670884,1.3594327536189201,0.0055552529818636565,-0.03286468591543379,0.1293183597572911,0.025420353982301025,0.010130611796264219,0.012256463111314165
7/7/1999,35.88,31602.2604,19.6516,60.4417,9.0273,2.5159,0.02881075844777481,0.07780500313408178,0.9358788280909827,1.329362215971844,-0.022119915506689125,-0.04545742926024621,0.10094394848529187,0.025420353982301025,0.010975392778704735,0.012626441296171688
7/8/1999,35.88,31602.2604,19.6516,60.4417,8.9123,2.5159,0.021256359719484808,0.08657239767154046,0.923956540670551,1.3124272902646266,-0.012739135732721896,-0.06011199814391022,0.07374521095877196,0.025420353982301025,0.011150728661115055,0.01267878216344589
7/9/1999,35.88,31602.2604,19.6516,60.4417,9.1549,2.5159,0.04905578218820161,0.07793234633542645,0.9491073835244355,1.3481526204956777,0.02722080719903941,-0.026788846485026996,0.10969829937332576,0.02722080719903941,0.012862385471950222,0.01305869939600347
7/12/1999,35.88,31602.2604,19.6516,60.4417,9.206,2.5159,0.060696838418287324,0.07659692137524199,0.9544050260216882,1.3556776179186238,0.005581710340910373,-0.01476883561643838,0.10578597768248588,0.02722080719903941,0.012879988110796534,0.013033837745666108
