,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
7/5/1999,387.0,10008.073,-39.3887,10.2086,393.2394,1.6877,3.7421148533190873,3.4749538437791303,0.6364541982589251,13.277937601296596,0.0,0.059701400029265494,-0.0547338856929126,0.16249989118544006,0.06525325073708259,0.08473829119935493
7/6/1999,387.0,10008.073,-39.3887,10.2086,404.3166,1.6877,3.930582011614379,4.028143284659605,0.6543825402433595,13.651965153970826,0.02816910004440043,-0.01940304154475392,-0.11574688872908978,0.16249989118544006,0.0608565030166306,0.08390115972313664
7/7/1999,387.0,10008.073,-39.3887,10.2086,403.0858,1.6877,4.0775170558181255,4.054261183275725,0.652390502245089,13.610406537007023,-0.0030441490653611014,0.004601240754900537,-0.09153957125738188,0.16249989118544006,0.06053591472095573,0.08380955933498109
7/8/1999,387.0,10008.073,-39.3887,10.2086,405.5474,1.6877,4.148435337878153,4.062497619682371,0.6563745782416299,13.693523770934629,0.006106888409365796,0.016975359723956585,-0.14192708057833503,0.16249989118544006,0.060513113571847674,0.08341860063589503
7/9/1999,387.0,10008.073,-39.3887,10.2086,391.3932,1.6877,4.530433455605984,4.495650748613835,0.6334661412615193,13.215599675850891,-0.034901468977485695,0.006329133451743019,-0.36653385873848066,0.16249989118544006,0.06078319015828853,0.07372200950456796
7/12/1999,387.0,10008.073,-39.3887,10.2086,377.2391,1.6877,5.099504426209629,5.00995189781317,0.61055786613045,12.737678957320368,-0.03616337739132913,0.014900706348256243,-0.3211516192508789,0.16249989118544006,0.060498113739599575,0.07280945358488626
7/13/1999,387.0,10008.073,-39.3887,10.2086,372.9313,1.6877,4.585253711583075,3.718894664875462,0.6035857331365034,12.592223797947057,-0.011419282889817084,0.18359363966232478,-0.25323471011759013,0.16249989118544006,0.04924379620071887,0.07173492749074298
7/14/1999,387.0,10008.073,-39.3887,10.2086,371.7005,1.6877,4.592592871221581,3.7407414651761126,0.6015936951382328,12.550665180983252,-0.0033003397676731883,0.17968737850458227,-0.1843348168310759,0.16249989118544006,0.04927968767035457,0.07089796500821322
7/15/1999,387.0,10008.073,-39.3887,10.2086,384.0084,1.6877,4.751151328352106,4.253455482719216,0.6215139132718965,12.966247974068072,0.03311241174009716,0.09473685410869415,0.056731479947582875,0.16249989118544006,0.043570813796417675,0.06613649731735541
7/16/1999,387.0,10008.073,-39.3887,10.2086,369.2389,1.6877,4.6603778502028135,4.245283770898421,0.5976096191416919,12.467547947055646,-0.03846139824024686,0.0791366296724294,-0.16492696368493465,0.16249989118544006,0.04414681233725583,0.06039701554423759
7/19/1999,387.0,10008.073,-39.3887,10.2086,341.546,1.6877,4.068493353970626,4.114155589951044,0.5527889260296472,11.532482441923285,-0.07499995260521042,-0.00892859733680007,-0.2956851627346171,0.16249989118544006,0.04741894690100465,0.0597834922625158
7/20/1999,387.0,10008.073,-39.3887,10.2086,325.5456,1.6877,3.8532105715103517,4.972476982158191,0.5268924320521309,10.99222042139384,-0.046846984008010684,-0.1874040559706578,-0.31119799215362354,0.03945123587876709,0.030757588607510777,0.05996931084694523
7/21/1999,387.0,10008.073,-39.3887,10.2086,333.5458,1.6877,4.236715719137058,5.077294928697815,0.5398406790408891,11.262351431658562,0.02457474467478593,-0.13831469748019432,-0.3489489946693368,0.03945123587876709,0.031076375774203274,0.05902066824502199
7/22/1999,387.0,10008.073,-39.3887,10.2086,312.6223,1.6877,4.054728162011399,5.1592061118072685,0.505976194919332,10.55585831982712,-0.06273051556937603,-0.179321479058571,-0.4708332444680967,0.03945123587876709,0.03337276605529205,0.05586765370055175
7/23/1999,387.0,10008.073,-39.3887,10.2086,315.0839,1.6877,4.224492198511002,5.2346963139829885,0.509960270915873,10.638975553754728,0.00787403841632539,-0.16202940201054072,-0.4641547829988083,0.03945123587876709,0.03355322706494884,0.0559039526329395
7/26/1999,387.0,10008.073,-39.3887,10.2086,297.8527,1.6877,3.460829375759128,4.373271509808943,0.4820717389400863,10.057154916261482,-0.054687656208394,-0.16981128394203526,-0.4302530678733931,0.03945123587876709,0.03410602222556942,0.05467427380306017
7/27/1999,387.0,10008.073,-39.3887,10.2086,308.3145,1.6877,3.3660157837571463,4.281048870737742,0.4990040619253854,10.410403160453809,0.03512407307370391,-0.17326730151102898,-0.46012927921105184,0.03512407307370391,0.033815195852329546,0.053449819623112106
7/28/1999,387.0,10008.073,-39.3887,10.2086,334.4689,1.6877,3.8963960930592076,4.64864761993992,0.541334707539592,11.293520394381416,0.08483026260522952,-0.1331737395381576,-0.41179653689170015,0.08483026260522952,0.038467039851552906,0.054722817116747056
7/29/1999,387.0,10008.073,-39.3887,10.2086,315.0839,1.6877,3.5714287786943997,4.705356287885603,0.509960270915873,10.638975553754728,-0.05795755599399521,-0.19874788741921579,-0.42600893511656746,0.08483026260522952,0.03960253127459321,0.05499157852258614
7/30/1999,387.0,10008.073,-39.3887,10.2086,296.6219,1.6877,3.17315925350141,4.497834084849849,0.48007970094181573,10.015596299297677,-0.058593917366136616,-0.240944854083318,-0.4150485882039039,0.08483026260522952,0.04099431351420848,0.054678916287646644
8/2/1999,387.0,10008.073,-39.3887,10.2086,285.5447,1.6877,3.3062606697109898,4.930389749838635,0.4621513589573814,9.641568746623447,-0.03734451164934216,-0.2738654875376171,-0.4821428927666779,0.08483026260522952,0.04111362605668751,0.053450360985854574
8/3/1999,387.0,10008.073,-39.3887,10.2086,243.0823,1.6877,2.574660853069418,4.782804791070785,0.3934263717151321,8.20780321447866,-0.14870666484091621,-0.38184652911178274,-0.5300415414754522,0.08483026260522952,0.050303648862567864,0.05589845445800186
8/4/1999,387.0,10008.073,-39.3887,10.2086,233.8513,1.6877,2.470319546612729,5.0,0.3784860867281035,7.896113587250135,-0.037974792899359566,-0.42161340889787846,-0.5696489451719058,0.08483026260522952,0.04910124662415813,0.05545301625834851
8/5/1999,387.0,10008.073,-39.3887,10.2086,269.5444,1.6877,3.055555722732948,5.064815009855106,0.4362550268289063,9.101310102647219,0.1526316082057273,-0.33129770386354473,-0.5430359555358221,0.1526316082057273,0.062447911648906965,0.05794142589677198
8/6/1999,387.0,10008.073,-39.3887,10.2086,253.544,1.6877,2.942583553493985,5.306221048032082,0.41035853285139007,8.561048082117775,-0.05936090677454242,-0.3748104413935337,-0.5521739813902735,0.1526316082057273,0.06286238232677012,0.05814891536925016
8/9/1999,387.0,10008.073,-39.3887,10.2086,235.6975,1.6877,2.9792190383255024,5.607788682150387,0.3814741437255092,7.95845151269584,-0.07038817720001267,-0.397798684289865,-0.5734966139035789,0.1526316082057273,0.06374661173642077,0.05860819964587618
8/10/1999,387.0,10008.073,-39.3887,10.2086,221.5433,1.6877,2.495145615751112,4.951457735146562,0.35856570674539867,7.480527417612101,-0.06005239767074322,-0.41272444982505796,-0.5970901957831681,0.1526316082057273,0.06422443998073663,0.058915558627251924
8/11/1999,387.0,10008.073,-39.3887,10.2086,230.7743,1.6877,2.7783353498705763,5.10579043621057,0.3735059917324273,7.792217044840627,0.04166679831888409,-0.3811881705826248,-0.5611468653972358,0.1526316082057273,0.0657333789187425,0.059170901100508815
8/12/1999,387.0,10008.073,-39.3887,10.2086,240.0053,1.6877,2.8518498903049476,4.965428805744265,0.3884462767194559,8.103906672069153,0.04000012133066799,-0.35430460814553644,-0.5563139748768335,0.1526316082057273,0.06696909684143011,0.05931128401564007
8/13/1999,387.0,10008.073,-39.3887,10.2086,257.2364,1.6877,3.3316073344009265,5.466322814001304,0.41633464684620153,8.685723933009184,0.07179466453449157,-0.33012819511239855,-0.529411807750581,0.1526316082057273,0.06896175109053791,0.060167578428925894
8/16/1999,387.0,10008.073,-39.3887,10.2086,264.6212,1.6877,3.831463710325285,5.741577567445189,0.4282868748358244,8.935075634792003,0.028708223253007592,-0.28333336492985983,-0.5308237903989345,0.1526316082057273,0.06945537648622256,0.0601340420759002
8/17/1999,387.0,10008.073,-39.3887,10.2086,297.8527,1.6877,4.796412231418469,5.646712996028078,0.4820717389400863,10.057154916261482,0.12558139710650562,-0.12792800969708318,-0.4417531846113074,0.1526316082057273,0.07419779890058109,0.06224195429413147
8/18/1999,387.0,10008.073,-39.3887,10.2086,276.3138,1.6877,5.751876649398886,6.954882220701788,0.447211235819394,9.329882495948137,-0.07231393235649708,-0.15122858364542469,-0.4711424322405178,0.1526316082057273,0.07513704391866417,0.06275830953273341
8/19/1999,387.0,10008.073,-39.3887,10.2086,250.467,1.6877,4.6923024476716435,6.580414081498146,0.40537843785571387,8.457151539708267,-0.0935414734986092,-0.24907763791359383,-0.4912500749006994,0.1526316082057273,0.07719647811058952,0.06337411980910042
8/20/1999,387.0,10008.073,-39.3887,10.2086,261.5442,1.6877,4.629133970117901,5.7284719322637985,0.4233067798401482,8.831179092382495,0.04422618548551305,-0.163385977263938,-0.4105409913543343,0.1526316082057273,0.07712277158022422,0.06265341075965022
8/23/1999,387.0,10008.073,-39.3887,10.2086,267.6982,1.6877,4.95889956615714,6.013694208676412,0.4332669698315006,9.038972177201511,0.023529483735445167,-0.150390737197299,-0.39245812369744715,0.1526316082057273,0.07733532921540309,0.06276693905679169
8/24/1999,387.0,10008.073,-39.3887,10.2086,260.9288,1.6877,5.03558962520558,5.889682802203014,0.422310760841013,8.810399783900595,-0.02528743189158522,-0.12396698099429682,-0.369047722680533,0.1526316082057273,0.0766519864741182,0.06241553639024865
8/25/1999,387.0,10008.073,-39.3887,10.2086,275.08299999999997,1.6877,5.362992896416287,6.131676524402233,0.44521919782112346,9.288323878984333,0.05424544933330444,-0.10778442142682243,-0.3721909743737213,0.1526316082057273,0.07724497339552465,0.06233049896144896
8/26/1999,387.0,10008.073,-39.3887,10.2086,273.2368,1.6877,4.842100649343708,6.151309698676298,0.4422311408237178,9.225985953538629,-0.006711428914182083,-0.1830726264833591,-0.37640447002089394,0.1526316082057273,0.07460297542829561,0.06232675226345371
