,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
12/15/1999,77.3517,14419.435,23.4508,23.8196,6.8762,2.4675,-0.41624218962238524,-0.3485975278456942,0.5793997202514366,1.0179271957483975,0.007088666920530784,-0.10384465007167987,-0.16767133899823272,0.036911890504705,0.01630130125883467,0.019832409454793375
12/16/1999,77.3517,14419.435,23.4508,23.8196,6.8278,2.4675,-0.4225229415993572,-0.358996912927644,0.575321458062994,1.0107622389009785,-0.007038771414443978,-0.09910409162279488,-0.17588412794206398,0.036911890504705,0.01622588967351089,0.0198267278590733
12/17/1999,77.3517,14419.435,23.4508,23.8196,6.8036,2.4675,-0.41802815937590887,-0.3577575145843669,0.5732823269687727,1.0071797604772692,-0.003544333460265281,-0.09384406382355293,-0.1547903001391373,0.036911890504705,0.01619481292248765,0.01955580242710527
12/20/1999,77.3517,14419.435,23.4508,23.8196,6.6825,2.4675,-0.43268643031784837,-0.37257199130671015,0.5630782453361196,1.0,-0.017799400317479064,-0.09581089492057482,-0.16983452593917703,0.036911890504705,0.016274586479506255,0.019647745251569346
12/21/1999,77.3517,14419.435,23.4508,23.8196,6.7793,2.4675,-0.42446855474055956,-0.3785656071719641,0.5712347697130049,1.014485596707819,0.014485596707819015,-0.0738661202185793,-0.14277224217287954,0.036911890504705,0.01675152945393946,0.019673527190097358
12/22/1999,77.3517,14419.435,23.4508,23.8196,6.6341,2.4675,-0.4357367037789931,-0.3874084595691114,0.5589999831476768,1.0,-0.021418140515982453,-0.07889146522638601,-0.1586216517857143,0.036911890504705,0.016990573231386936,0.01982107836548671
12/23/1999,77.3517,14419.435,23.4508,23.8196,6.7309,2.4675,-0.43284349247543774,-0.39114241898245683,0.5671565075245623,1.0145912783949593,0.014591278394959328,-0.06849068615239828,-0.15141391091667822,0.036911890504705,0.017399876322931836,0.019910367959482166
12/24/1999,77.3517,14419.435,23.4508,23.8196,6.7309,2.4675,-0.4296524141203586,-0.3877167115765926,0.5671565075245623,1.0145912783949593,0.0,-0.06849068615239828,-0.14122585419377887,0.036911890504705,0.017399876322931836,0.019875594384000873
12/27/1999,77.3517,14419.435,23.4508,23.8196,6.6825,2.4675,-0.4348120268955893,-0.3908487334545607,0.5630782453361196,1.0072956391974797,-0.00719071743748978,-0.07217138969495851,-0.14482608584372036,0.036911890504705,0.017421355251293992,0.01988524269263556
12/28/1999,77.3517,14419.435,23.4508,23.8196,6.5614,2.4675,-0.4471258362965336,-0.4109776032626098,0.553910312689944,1.0,-0.018121960344182564,-0.061369878690775925,-0.18487875173921686,0.036911890504705,0.016739168430016507,0.019542893739343044
12/29/1999,77.3517,14419.435,23.4508,23.8196,6.6341,2.4675,-0.43995238738434517,-0.4058975484568109,0.5621451692172116,1.0110799524491725,0.011079952449172481,-0.05732149200710468,-0.17343417101705683,0.036911890504705,0.016890025961140344,0.01962387747342098
12/30/1999,77.3517,14419.435,23.4508,23.8196,6.6341,2.4675,-0.4378548307827884,-0.40766349755113795,0.5621451692172116,1.0110799524491725,0.0,-0.05096990157930881,-0.20825625663854108,0.036911890504705,0.016873488231091704,0.018691798080563166
12/31/1999,77.3517,14419.435,23.4508,23.8196,6.5856,2.4675,-0.44196451268493564,-0.40566373481112417,0.5654622887759307,1.003688237266437,-0.007310712832185207,-0.06107784431137708,-0.19597597304292613,0.036911890504705,0.016853214318117107,0.018540976401270552
1/3/2000,77.3517,14419.435,23.4508,23.8196,6.3919,2.4675,-0.4459027193841727,-0.36953110777846165,0.5488305399093282,1.0,-0.029412657920311114,-0.1211346230527025,-0.21737906039939758,0.020837516133658474,0.015156138321045525,0.01883058841125933
1/4/2000,77.3517,14419.435,23.4508,23.8196,6.6099,2.4675,-0.43245122956450066,-0.379567935155928,0.5675487704354993,1.034105664982243,0.0341056649822431,-0.08523623681806858,-0.17885360763267744,0.0341056649822431,0.017500859879994116,0.01937029022106037
1/5/2000,77.3517,14419.435,23.4508,23.8196,6.9488,2.4675,-0.4033521088061547,-0.3887982552548427,0.6058661458514979,1.0871258937092259,0.05127157748226163,-0.023811865192531867,-0.20207610867418413,0.05127157748226163,0.021054024903447124,0.017503261621755997
1/6/2000,77.3517,14419.435,23.4508,23.8196,6.9004,2.4675,-0.3948503876240923,-0.38848353036096395,0.6016461479440589,1.07955381029115,-0.006965231406861561,-0.010411587551986123,-0.1923594611360152,0.05127157748226163,0.02063237686757503,0.01739717663454429
1/7/2000,77.3517,14419.435,23.4508,23.8196,6.8278,2.4675,-0.40238074398249457,-0.37695404814004385,0.5953161510829003,1.0681956851640357,-0.010521129209900892,-0.04081030583144851,-0.18969404951223567,0.05127157748226163,0.02015555329086417,0.017370187163801624
1/10/2000,77.3517,14419.435,23.4508,23.8196,6.7067,2.4675,-0.41524256268963844,-0.39202385519478256,0.5847574373103616,1.0492498318183952,-0.01773631330736114,-0.03819016205363546,-0.2128563548231871,0.05127157748226163,0.020040069136395892,0.017366686851095943
1/11/2000,77.3517,14419.435,23.4508,23.8196,6.7551,2.4675,-0.41102256478219934,-0.41102256478219934,0.5901145268233875,1.056821915236471,0.007216663933081735,0.0,-0.22849115433374823,0.05127157748226163,0.01892768114005786,0.016959486455749653
1/12/2000,77.3517,14419.435,23.4508,23.8196,6.7067,2.4675,-0.41298030634573313,-0.40238074398249457,0.5858863817036629,1.0492498318183952,-0.007164956847419024,-0.01773631330736114,-0.20849019862391283,0.05127157748226163,0.01883002519267899,0.016574796747584167
1/13/2000,77.3517,14419.435,23.4508,23.8196,6.6099,2.4675,-0.42256990853578646,-0.3993063745402766,0.5807990721133146,1.034105664982243,-0.014433327866163692,-0.03872778569558766,-0.2347881454040287,0.05127157748226163,0.018970934067150426,0.0163644677506361
1/14/2000,77.3517,14419.435,23.4508,23.8196,6.4162,2.4675,-0.4362209705905612,-0.4000544781955415,0.5659821460075509,1.0038016865094885,-0.02930452805640016,-0.06028296083657991,-0.2551860235649196,0.05127157748226163,0.019883897617631416,0.01666805156306556
1/17/2000,77.3517,14419.435,23.4508,23.8196,6.4162,2.4675,-0.4340178539924491,-0.39984474789174684,0.5761104775929101,1.0038016865094885,0.0,-0.05694044329472636,-0.24065943169579984,0.05127157748226163,0.019892038225718736,0.01657174206012334
1/18/2000,77.3517,14419.435,23.4508,23.8196,6.2225,2.4675,-0.44128184177209506,-0.39997845040450386,0.5723733833728867,1.0,-0.03018920856581775,-0.06883651328095775,-0.2615295150839049,0.05127157748226163,0.020538577163275843,0.016889912114271845
1/19/2000,77.3517,14419.435,23.4508,23.8196,6.4888,2.4675,-0.3894560543475193,-0.36212233837352625,0.5968688485383667,1.0427963037364403,0.04279630373644028,-0.04285103181744421,-0.24675837251146315,0.05127157748226163,0.022584160232706017,0.017598942165382856
1/20/2000,77.3517,14419.435,23.4508,23.8196,6.3919,2.4675,-0.41204444689736375,-0.38976580753168866,0.5927811627669736,1.0272237846524708,-0.01493342374553086,-0.03650834325680963,-0.2699727034960083,0.05127157748226163,0.022346206865234097,0.017445728277929156
1/21/2000,77.3517,14419.435,23.4508,23.8196,6.4404,2.4675,-0.4027209748768884,-0.3757801704550724,0.6047323943661972,1.0350180795500201,0.0075877282185266015,-0.043159161479148334,-0.2503230162148319,0.05127157748226163,0.022144862865096312,0.01742146117793412
1/24/2000,77.3517,14419.435,23.4508,23.8196,6.4162,2.4675,-0.3912119400719214,-0.36135227197252195,0.6024600938967136,1.0311289674568098,-0.0037575305881623056,-0.04675452019789328,-0.263234044507728,0.05127157748226163,0.02214419586455481,0.01726683242971097
1/25/2000,77.3517,14419.435,23.4508,23.8196,6.2467,2.4675,-0.4134553990610329,-0.3725352112676057,0.5914651466661616,1.00388911209321,-0.026417505688725473,-0.06521511410400305,-0.2865561862558105,0.05127157748226163,0.02275650947560219,0.01743135468804101
1/26/2000,77.3517,14419.435,23.4508,23.8196,5.9319,2.4675,-0.43834150775465386,-0.3787376673547068,0.5653089619944345,1.0,-0.050394608353210524,-0.09593989087694699,-0.3170026827555239,0.05127157748226163,0.024826980904543865,0.01833603299521534
1/27/2000,77.3517,14419.435,23.4508,23.8196,6.1498,2.4675,-0.4001073013705312,-0.35286543432668394,0.5860747912934091,1.0367335929466108,0.03673359294661083,-0.07300161287891349,-0.28999261106493024,0.05127157748226163,0.02622372438234326,0.019102979679994053
1/28/2000,77.3517,14419.435,23.4508,23.8196,6.1498,2.4675,-0.40396786167727927,-0.35703001579778826,0.5860747912934091,1.0367335929466108,0.0,-0.07300161287891349,-0.28999261106493024,0.05127157748226163,0.02622372438234326,0.019102979679994053
1/31/2000,77.3517,14419.435,23.4508,23.8196,6.1983,2.4675,-0.40183551755418734,-0.36445928470788047,0.5906968322342088,1.0449097253830981,0.007886435331230235,-0.0588101311953354,-0.26440150957727093,0.05127157748226163,0.026316388736941445,0.018963884763346973
