,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.2508,2.3076,0.49902753608352945,0.6842343857391457,0.8643899148326164,1.5282366271095473,-0.02549672022055327,-0.10996500916013308,-0.06426406689305153,0.02035352293527848,0.01435924791474915,0.015088683646748062
6/28/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.2955,2.3076,0.5152251019176712,0.7169705800108908,0.8681592039800994,1.5349007096427933,0.0043606352674914195,-0.11750083574055181,-0.06145164819136517,0.02035352293527848,0.013926070588643103,0.015100815788401414
6/29/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.2359,2.3076,0.5000293091825669,0.7096485829010228,0.8631334851167889,1.526015266265132,-0.005788936914185805,-0.12260956772927134,-0.06940441664469543,0.02035352293527848,0.013861801155362796,0.015106081880036499
6/30/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,9.9826,2.3076,0.481823444713287,0.6963646889426574,0.8417741799477189,1.488252131910072,-0.024746236286013024,-0.12647118018183567,-0.092433154837126,0.02035352293527848,0.014114085080230189,0.015397841882906596
7/1/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,9.9826,2.3076,0.4882521319100721,0.6615182777744648,0.8417741799477189,1.488252131910072,0.0,-0.10428181752925136,-0.10090966405475998,0.02035352293527848,0.013517573214868251,0.015336398652159243
7/2/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.0124,2.3076,0.48945285769539737,0.6490434679122907,0.8442870393793741,1.4926948535989026,0.0029851942379741647,-0.09677768556273236,-0.10301640342940077,0.02035352293527848,0.013633074738505476,0.015322141810534777
7/5/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.0124,2.3076,0.49269485359890264,0.6459687518635577,0.8442870393793741,1.479876435549906,0.0,-0.09312078257325307,-0.10301640342940077,0.02035352293527848,0.013671973137063583,0.015322141810534777
7/6/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,9.9677,2.3076,0.4732695803834046,0.6428455296569462,0.8405177502318913,1.470118875549394,-0.004464464064559803,-0.10322087269455682,-0.10225164369990081,0.02035352293527848,0.01342524175631426,0.015319206601825296
7/7/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,9.9975,2.3076,0.47451402613492233,0.6195539954573612,0.8430306096635466,1.4650927635628241,0.0029896565907883144,-0.08955550091522546,-0.10790769889709806,0.02035352293527848,0.013436007096876895,0.015266800577153667
7/8/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.1316,2.3076,0.4847445704739295,0.6419590257627714,0.8543384771059954,1.4784613588606117,0.013413353338334488,-0.09574809896112235,-0.09113254092845935,0.01443620413268265,0.012870917730974468,0.015377214039278778
7/9/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.2061,2.3076,0.4830352083000333,0.6280968918467285,0.8606206256851334,1.4893328274573896,0.007353231473804511,-0.08909892542215558,-0.08808970693352403,0.01443620413268265,0.013103150251856415,0.015402028961118159
7/12/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.1316,2.3076,0.4784613588606117,0.6567534438477702,0.8543384771059954,1.4784613588606117,-0.007299556147793873,-0.10761533989818028,-0.0414214619562131,0.01443620413268265,0.01247160757697047,0.013771994088707658
7/13/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.3104,2.3076,0.5045528834928787,0.6806706747606819,0.869415633695927,1.5013760866716175,0.01764775553713127,-0.10479018519965622,-0.03398262922674766,0.01764775553713127,0.012742877471622442,0.013902114666424192
7/14/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.3104,2.3076,0.5013760866716175,0.6771220130182167,0.869415633695927,1.5013760866716175,0.0,-0.10479018519965622,-0.06135974654965237,0.01764775553713127,0.012742877471622442,0.013375481659912938
7/15/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.37,2.3076,0.5068513055987445,0.6649035876720093,0.8744413525592375,1.5100548978492274,0.005780571073867202,-0.09493179259362716,-0.07097999516228737,0.01764775553713127,0.012965387461731516,0.01322407630454351
7/16/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.3998,2.3076,0.49540585232583223,0.6153857214753036,0.876954211990893,1.5143943034380325,0.0028736740597881116,-0.07427320147407013,-0.07323376345619159,0.01764775553713127,0.012598434945177765,0.013208617066269137
7/19/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.5339,2.3076,0.4959526244035446,0.5890564644399001,0.8882620794333416,1.5339216285876545,0.012894478739975623,-0.058590643013539556,-0.06376152089091935,0.01764775553713127,0.013100590491420382,0.013318399852391933
7/20/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.3998,2.3076,0.49540585232583223,0.5811057588611688,0.876954211990893,1.5143943034380325,-0.012730327798820773,-0.054202513687043985,-0.04419752405635646,0.01764775553713127,0.012883034275042077,0.012767707608807636
7/21/1999,1366.0,55.7397,43075.5757,10.4987,15.4775,10.3104,2.3076,0.4794662074903142,0.5799540823647584,0.869415633695927,1.5013760866716175,-0.008596319159983934,-0.06360176918815341,-0.05498473919140623,0.01764775553713127,0.012914405835394925,0.01279928088952909
