,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
7/7/2006,-317.0,84.0079,14729.1384,12.1754,24.599,12.437999999999999,3.0934,-0.39121922568645684,-0.37663354706083885,0.5541792906790233,1.074464409122322,-0.01018621677542575,-0.02339824120603018,-0.2617521367521368,0.02468242482714267,0.012235489934061457,0.036356235830183777
7/10/2006,-317.0,84.0079,14729.1384,12.1754,24.599,12.360999999999999,3.0934,-0.39799347392003126,-0.3809477426581601,0.5507485296738548,1.0678127159640636,-0.006190705901270244,-0.02753520572732282,-0.2689259522119708,0.02468242482714267,0.012285845447670914,0.03634410618564573
7/11/2006,-317.0,84.0079,14729.1384,12.1754,24.599,12.173,3.0934,-0.4259914179280425,-0.39703871363229115,0.5423721261807164,1.0515722183828613,-0.015209125475285079,-0.04801751779150709,-0.2636704572949431,0.02468242482714267,0.012529505500706313,0.036298585474165285
7/12/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.857999999999999,3.0934,-0.42631833575229816,-0.37227866473149496,0.5283371947959364,1.0243607463718036,-0.02587694077055791,-0.08608863198458583,-0.2827244132591339,0.02468242482714267,0.01290527477943696,0.036397901864332914
7/13/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.61,3.0934,-0.4329393376965909,-0.36919996092605256,0.5172874710390304,1.0029371112646857,-0.020914150784280605,-0.10104529616724733,-0.2840846025775421,0.02468242482714267,0.013411803571306087,0.036410655648728016
7/14/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.593,3.0934,-0.4361107057736272,-0.36349044214212767,0.5165300302976296,1.0014685556323428,-0.001464254952627031,-0.11409139538438018,-0.27170498806382704,0.02468242482714267,0.012782391470838731,0.03636881609421309
7/17/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.405999999999999,3.0934,-0.4440436732306493,-0.3738058100994345,0.5081981821422206,1.0,-0.01613042353144145,-0.1121662644975483,-0.2749348420316573,0.02468242482714267,0.012685440700478364,0.036387567035433624
7/18/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.482000000000001,3.0934,-0.44678390749217045,-0.38472657191038306,0.5115843878096595,1.0066631597404876,0.00666315974048759,-0.10086139389193416,-0.2624614594039053,0.02468242482714267,0.012962085974235723,0.03640521968839671
7/19/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.67,3.0934,-0.4393466250300264,-0.3852510208983907,0.519960791302798,1.0231457127827461,0.016373454102072804,-0.08799624882775858,-0.25649847094801226,0.02468242482714267,0.013705796555593223,0.03646399162546017
7/20/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.585,3.0934,-0.4353187755897835,-0.3659095340222265,0.5161735875957939,1.0156934946519378,-0.007283633247643473,-0.10946267968329615,-0.268669907202828,0.02468242482714267,0.012846213454446025,0.036427192896288485
7/21/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.568,3.0934,-0.43143615452668826,-0.3698024181657328,0.5154161468543931,1.014203051025776,-0.0014674147604661902,-0.09780065512400571,-0.2618211983919342,0.02468242482714267,0.012704677598224585,0.03641904444241295
7/24/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.593,3.0934,-0.42294673967147833,-0.36520657043305127,0.5165300302976296,1.0163948798877784,0.0021611341632088443,-0.09095899004155883,-0.28020613435986585,0.02468242482714267,0.012794074274590237,0.036200703405552453
7/25/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.661,3.0934,-0.4150782504012841,-0.3615569823434992,0.5195597932632329,1.0223566543924252,0.00586560855688778,-0.08383092394720304,-0.2650784647381358,0.02468242482714267,0.012982885956186628,0.036198811698837687
7/26/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.704,3.0934,-0.39022611232676885,-0.34891111805772645,0.5214756727855997,1.0261266000350695,0.003687505359746268,-0.06345522925502112,-0.2643620364550596,0.02468242482714267,0.01267044259723204,0.03620199461549493
7/27/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.515999999999998,3.0934,-0.4339919394475573,-0.3886759068121499,0.5130992692924611,1.0096440469928107,-0.016062884483937334,-0.07412767325936653,-0.26952109102442134,0.02468242482714267,0.012983528898228134,0.0362280887363096
7/28/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.354000000000001,3.0934,-0.4384212088238203,-0.369621129686418,0.5058813045802887,1.0,-0.01406738450850964,-0.10914083954491949,-0.2731113956466068,0.016373454102072804,0.011426138651632127,0.036244089130047084
7/31/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.431,3.0934,-0.41409533572526913,-0.3454638646847771,0.509312065585457,1.006781750924784,0.006781750924784058,-0.1048551292090838,-0.26294409697594956,0.016373454102072804,0.011628575825689193,0.03626890707609287
8/1/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.133,3.0934,-0.4147610786942123,-0.3255532776113126,0.496034574942078,1.0,-0.026069460239699027,-0.13226812159002344,-0.3127777777777778,0.016373454102072804,0.012241720123617723,0.03583057245605943
8/2/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.405999999999999,3.0934,-0.3763805358119191,-0.29852378348824493,0.5081981821422206,1.0245216922662355,0.024521692266235462,-0.11098986749805151,-0.3185158630578958,0.024521692266235462,0.013958080149476365,0.03569793611680971
8/3/2006,-317.0,84.0079,14729.1384,12.1754,24.599,11.679,3.0934,-0.36173352278937576,-0.3156082631981637,0.5203617893423632,1.0490433845324711,0.02393477117306686,-0.06739599137586838,-0.31445174923691,0.024521692266235462,0.014686132340939686,0.035769661718784734
