,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
8/1/2005,-99.085,13734.59,32.0253,33.4425,8.9544,5.0622,0.37206950445894993,0.23401060341393154,0.9782594445779711,1.37206950445895,0.0037214724476526406,0.11187821292870082,0.2761736453553001,0.04834419630020137,0.01807736363817929,0.01481893720952843
8/2/2005,-99.085,13734.59,32.0253,33.4425,8.9544,5.0622,0.37206950445894993,0.23401060341393154,0.9782594445779711,1.37206950445895,0.0,0.11187821292870082,0.27715654952076685,0.04834419630020137,0.01807736363817929,0.014815270503270674
8/3/2005,-99.085,13734.59,32.0253,33.4425,8.9489,5.0622,0.3712267475713278,0.26195948637798394,0.9776585749557543,1.3701140626196127,-0.0006142231751987692,0.08658539546856425,0.2823529411764705,0.04834419630020137,0.017663819855947845,0.014785836750349944
8/4/2005,-99.085,13734.59,32.0253,33.4425,8.6835,5.0622,0.3294802112837787,0.231325116741943,0.9486638844582342,1.3294802112837787,-0.02965727631328985,0.07971501044464335,0.23278628013288283,0.04834419630020137,0.018189634656452278,0.015366136030709913
8/5/2005,-99.085,13734.59,32.0253,33.4425,8.28,5.0622,0.26770267166806994,0.256709791012784,0.9045819039919593,1.2656873385407907,-0.04646743824494748,0.008747350210764893,0.180058717897557,0.04834419630020137,0.02079557745323264,0.0165822591567955
8/8/2005,-99.085,13734.59,32.0253,33.4425,8.1695,5.0622,0.2487962212812791,0.2758372949754657,0.892509887036511,1.2468140958136837,-0.013345410628019305,-0.021194766605961868,0.17249842126413673,0.04834419630020137,0.020661397901621414,0.016661776197379876
8/9/2005,-99.085,13734.59,32.0253,33.4425,8.1253,5.0622,0.24006837293774708,0.33539367855562174,0.8876810802543317,1.240068372937747,-0.005410367831568674,-0.07138367295626247,0.18370409218711292,0.028575923407984982,0.017327230310153603,0.016544162337718233
8/10/2005,-99.085,13734.59,32.0253,33.4425,8.5177,5.0622,0.29995574073226194,0.3421394014315584,0.9305503965739507,1.2690823487342997,0.04829360146702277,-0.03143016340501026,0.21865968466535035,0.04829360146702277,0.020632879997328917,0.017407102334707124
8/11/2005,-99.085,13734.59,32.0253,33.4425,8.4293,5.0622,0.2438466532876873,0.30175008853736274,0.9208927830095921,1.2559113190398854,-0.010378388532115479,-0.04448122244011932,0.20413410853820535,0.04829360146702277,0.020697686362158924,0.017491047715209915
8/12/2005,-99.085,13734.59,32.0253,33.4425,8.1806,5.0622,0.20528045025267772,0.2753082963770572,0.893722551183167,1.2188566235082021,-0.029504229295433726,-0.0549105234579883,0.16408395588758462,0.04829360146702277,0.021257587306001722,0.01796637169261837
8/15/2005,-99.085,13734.59,32.0253,33.4425,8.28,5.0622,0.18527849750203984,0.2430393518187155,0.9045819039919593,1.233666582236989,0.012150697992812098,-0.04646743824494748,0.16560617151866652,0.04829360146702277,0.02146581501177631,0.01797693692893787
8/16/2005,-99.085,13734.59,32.0253,33.4425,8.4459,5.0622,0.2027427301985134,0.24367007490530046,0.9227063167784649,1.2583846119463027,0.02003623188405812,-0.03290852255161281,0.18081536783826868,0.04829360146702277,0.02194640284239722,0.018103430563446255
8/17/2005,-99.085,13734.59,32.0253,33.4425,8.2358,5.0622,0.17020702198098858,0.26445388539194936,0.8997530972097799,1.2270810673897818,-0.024875975325305832,-0.07453562719825613,0.14621722429438289,0.04829360146702277,0.022000184845297355,0.018434188465100577
8/18/2005,-99.085,13734.59,32.0253,33.4425,8.3077,5.0622,0.15304649548924365,0.2704233171408743,0.9076081019074881,1.237793703532637,0.008730178003351297,-0.09239189809251191,0.12887095240036417,0.04829360146702277,0.02095717577048179,0.01823966334734234
8/19/2005,-99.085,13734.59,32.0253,33.4425,8.2358,5.0622,0.1556422417422052,0.24251396177700468,0.8997530972097799,1.2270810673897818,-0.008654621616091207,-0.06991609165546775,0.10927335174085795,0.04829360146702277,0.019973479067642567,0.018268261674662084
8/22/2005,-99.085,13734.59,32.0253,33.4425,8.1806,5.0622,0.1362417878522717,0.23603761267830614,0.893722551183167,1.2188566235082021,-0.006702445421209791,-0.08073850164623397,0.10426284387570539,0.04829360146702277,0.019894920864665492,0.018293014136907083
8/23/2005,-99.085,13734.59,32.0253,33.4425,8.1806,5.0622,0.1478966126904835,0.23785535879662123,0.893722551183167,1.2188566235082021,0.0,-0.07267306754933855,0.08592515896088049,0.04829360146702277,0.019878657995593966,0.018190925858092188
