,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
5/6/2013,5631.0,82.1267,575026.1705,34.506,24.0508,27.57,22.2419,-0.2744736842105263,-0.27921052631578946,0.7185301016419078,1.5549915397631133,-0.026483050847457612,0.006571741511500528,-0.05094664371772806,0.05614290922347798,0.023901617796212464,0.020203408013061717
5/7/2013,5631.0,82.1267,575026.1705,34.506,24.0508,26.89,22.2419,-0.29919207714360174,-0.30023455824863166,0.7901851307669703,1.5166384658770447,-0.024664490388103033,0.0014897579143389184,-0.06143106457242575,0.05614290922347798,0.024135024479991312,0.020363689641840505
5/8/2013,5631.0,82.1267,575026.1705,34.506,24.0508,27.12,22.2419,-0.20305612694681163,-0.2186306200411402,0.8190878888553308,1.5296108291032149,0.008553365563406468,0.019932305377961645,-0.04975473020322352,0.05614290922347798,0.024084134705736216,0.020393716802683894
5/9/2013,5631.0,82.1267,575026.1705,34.506,24.0508,27.04,22.2419,-0.13110539845758362,-0.11439588688946023,0.8166717003926306,1.5250987027636773,-0.002949852507374673,-0.018867924528301883,-0.04317055909412604,0.05614290922347798,0.022694262176485052,0.020362064335567285
5/10/2013,5631.0,82.1267,575026.1705,34.506,24.0508,26.68,22.2419,-0.16625,-0.12468749999999995,0.8057988523104802,1.5047941342357585,-0.013313609467455634,-0.04748304177079621,-0.025210084033613467,0.05614290922347798,0.022505668676974875,0.02004201315911044
5/13/2013,5631.0,82.1267,575026.1705,34.506,24.0508,26.82,22.2419,-0.1880108991825613,-0.1704511050560098,0.8100271821202054,1.512690355329949,0.005247376311844132,-0.02116788321167873,-0.03870967741935483,0.05614290922347798,0.022091515206105528,0.019898050813766104
5/14/2013,5631.0,82.1267,575026.1705,34.506,24.0508,27.07,22.2419,-0.1516765904105296,-0.16891256659354437,0.8175777710661432,1.5267907501410038,0.00932140193885167,0.020739064856711842,-0.050175438596491206,0.05614290922347798,0.020975694479381458,0.01973997045755034
5/15/2013,5631.0,82.1267,575026.1705,34.506,24.0508,26.6,22.2419,-0.16640551551237848,-0.15637731118771536,0.8033826638477802,1.5002820078962211,-0.017362393793867725,-0.011887072808320909,-0.06073446327683607,0.05614290922347798,0.02109546210347216,0.01984013297330076
5/16/2013,5631.0,82.1267,575026.1705,34.506,24.0508,26.13,22.2419,-0.0939667128987518,-0.07662968099861311,0.7891875566294171,1.4737732656514382,-0.017669172932330945,-0.01877581674802853,-0.07733050847457634,0.05614290922347798,0.02131818498240995,0.019953186776777234
5/17/2013,5631.0,82.1267,575026.1705,34.506,24.0508,26.25,22.2419,-0.06881873004611572,-0.08939340191557288,0.7928118393234672,1.4805414551607445,0.004592422502870397,0.02259446825087652,-0.09357734806629836,0.05614290922347798,0.01973329285052972,0.01973629116553927
