,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.700999999999999,3.4274,0.10911234336113163,0.08942059992140772,0.9709205436726954,1.2097112160926546,0.0,0.01807542783856353,0.14593765507285594,0.022091298945933868,0.009335804147184547,0.013481989566552293
6/28/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.7511,3.4274,0.12282169368544338,0.12282169368544338,0.9747504089776323,1.2144830082291984,0.003944571293599042,0.0,0.15302745324990052,0.014003321198186036,0.00802332374578311,0.013471315998011291
6/29/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.6509,3.4274,0.12580536076602722,0.1347221727832555,0.9670906783677587,1.2049394239561109,-0.007858145571754571,-0.007858145571754571,0.12881897351702465,0.014003321198186036,0.00820599479496551,0.013456081748791425
6/30/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.4254,3.4274,0.1247963211065648,0.14520947242640414,0.94985246227468,1.1834615970740627,-0.01782481878759612,-0.01782481878759612,0.10869797987008356,0.014003321198186036,0.008919539131104149,0.013684568079980653
7/1/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.5006,3.4274,0.16164704351785586,0.16630270139669734,0.9556010824529485,1.1906240475464798,0.006052119046469295,-0.003991809221796427,0.08895935327630378,0.014003321198186036,0.008884323782204434,0.013389426459622145
7/2/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.4755,3.4274,0.16446539412890293,0.16680823260372435,0.9536823275796169,1.1882333892106065,-0.0020079036206261947,-0.0020079036206261947,0.10827329501541305,0.014003321198186036,0.00885194873941697,0.013129556099357557
7/5/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.4755,3.4274,0.14914842073266232,0.1629929165553643,0.9536823275796169,1.1882333892106065,0.0,-0.011904196169747583,0.0914793655237578,0.014003321198186036,0.008546594276161043,0.013013791198963388
7/6/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.4505,3.4274,0.14684561038291144,0.16530493814651415,0.9517712171480116,1.185852255409936,-0.002003927698288721,-0.01584077022188146,0.07075285092622852,0.014003321198186036,0.00853204939527863,0.012861219636216357
7/7/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.4505,3.4274,0.1544381496351379,0.16140158925905657,0.9517712171480116,1.185852255409936,0.0,-0.005995720763875667,0.08226632244156429,0.014003321198186036,0.008268964035033579,0.012773261593357855
7/8/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.2751,3.4274,0.14069193669792113,0.17561401715438008,0.9383628663598698,1.1691462206644316,-0.014087787639050608,-0.02970539645400727,0.057915557049409205,0.014003321198186036,0.008444085998047931,0.012884437024646278
7/9/1999,536.0,68.9504,25767.4653,13.8373,18.2282,12.3002,3.4274,0.12314182402571316,0.13686584608641672,0.9402816212332014,1.171536879000305,0.0020447898591458014,-0.012071804345206938,0.0784729772384527,0.014003321198186036,0.007791597951695168,0.012676348315807369
