,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/7/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,20.0057,2.1616,0.8062695811551417,0.6945565517303647,0.9782451370619932,1.728175048807035,0.007468248612608086,0.06592463928731274,0.04629038837693389,0.041856984335888026,0.01566705151334407,0.01577365846802759
6/10/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,20.3348,2.1616,0.7207944419527634,0.5929458158092935,0.9943375744476934,1.75660406696498,0.016450311661176498,0.080259243518912,0.07234087433422975,0.041856984335888026,0.015932737598353598,0.01585092421760266
6/11/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,19.9501,2.1616,0.6816369536814599,0.6332026804905801,0.9755263904237528,1.7233720910143224,-0.018918307531915812,0.02965600887719022,0.048972853034119135,0.041856984335888026,0.015544469798650502,0.016050911232142803
6/12/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,19.6396,2.1616,0.5992378222562418,0.6437714769636662,0.9603434618055217,1.6965498177294795,-0.015563831760241675,-0.027092363708418832,0.0479707159856142,0.026045064485371583,0.012920698610700864,0.016066012137463392
6/13/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,19.2735,2.1616,0.572397082578687,0.6502847259614601,0.9424417865490498,1.6649245866519236,-0.018640909183486598,-0.047196488071108766,0.057728190718707495,0.026045064485371583,0.0134366251796038,0.01584537675966597
6/14/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,19.5655,2.1616,0.5872198200683059,0.6428542455929716,0.9567200962318954,1.6901487534769613,0.015150335953511451,-0.03386449264985458,0.09633983705214555,0.026045064485371583,0.013949470655181484,0.015698263583044242
6/17/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,19.8111,2.1616,0.5545433145009413,0.5818188951663525,0.9687295238281517,1.7113646965325409,0.012552707572001776,-0.01724317540317577,0.10436537357363052,0.026045064485371583,0.014260811162449812,0.01575285587465564
6/18/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,20.0984,2.1616,0.5489260694991409,0.5624975916520882,0.9827780114030884,1.736182857932655,0.014501971117202084,-0.008685787565661185,0.09797323135755276,0.026045064485371583,0.01458401949537702,0.01565699663927563
6/19/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,20.0104,2.1616,0.5421441617793261,0.5275014064751804,0.978474959169902,1.7285810542319586,-0.004378457986705442,0.009586083025569625,0.0813918926952113,0.026045064485371583,0.013724503367556592,0.015629118208239506
6/20/2002,1098.0,34.8689,84907.0321,14.7629,45.0434,19.7138,2.1616,0.5165744793790241,0.5279831370346721,0.9639717172112309,1.7029595203952936,-0.014822292407947968,-0.007466481389178492,0.06830756558447537,0.026045064485371583,0.014119657089709794,0.01575383652336083
