,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
3/12/1999,2528.9999,21424.8587,29.3734,11.7697,29.189,1.1718,0.31227212034293794,0.22201941276171056,0.9697599936210929,1.5208545004559073,-0.002129819871253602,0.0738553795780219,0.04796234530447241,0.041043366364041045,0.024934991345396028,0.026180474745269116
3/15/1999,2528.9999,21424.8587,29.3734,11.7697,29.4508,1.1718,0.2943870397798942,0.1261520610740703,0.9784578992132682,1.534495245538622,0.008969132207338415,0.14938922062209725,0.0630599412354984,0.041043366364041045,0.02064969949478651,0.026185872207411205
3/16/1999,2528.9999,21424.8587,29.3734,11.7697,29.1516,1.1718,0.3076923076923075,0.14940517844646606,0.9685174356793536,1.518905822586948,-0.010159316555068187,0.1377122116848144,0.05415110236818399,0.041043366364041045,0.02093537708750714,0.02622303172677917
3/17/1999,2528.9999,21424.8587,29.3734,11.7697,29.1017,1.1718,0.30642084045986917,0.18663667910163007,0.9668595843078887,1.5163058486387913,-0.0017117413795468828,0.10094425991359435,0.045762931127417694,0.041043366364041045,0.020174693771962963,0.02621721162638779
3/18/1999,2528.9999,21424.8587,29.3734,11.7697,29.3511,1.1718,0.3012431171917256,0.16525833252054856,0.9751455188177759,1.5293005080109419,0.008569946085623892,0.11669925961999406,0.043535301102870516,0.041043366364041045,0.020044920171149345,0.026205795980057185
3/19/1999,2528.9999,21424.8587,29.3734,11.7697,29.5256,1.1718,0.3147439807991166,0.18815708032577372,0.9809430150967468,1.5383926012765405,0.005945262698842768,0.10654054297150228,0.06480289375268233,0.041043366364041045,0.01992197490491375,0.026140510016031727
3/22/1999,2528.9999,21424.8587,29.3734,11.7697,29.5506,1.1718,0.2875012526196088,0.16472710320278505,0.9817736019561981,1.5396951934349357,0.0008467228439048569,0.10541022792310528,0.03868906393344096,0.041043366364041045,0.019931320842098928,0.025948904315545817
3/23/1999,2528.9999,21424.8587,29.3734,11.7697,29.1765,1.1718,0.25854624353504985,0.20045982564584786,0.9693447001913672,1.5202032043767097,-0.012659641428600432,0.048386806995353915,0.02107488197436158,0.032833013580107595,0.018463094113434032,0.026001155264758265
3/24/1999,2528.9999,21424.8587,29.3734,11.7697,28.9271,1.1718,0.24956155128770008,0.158001365022592,0.9610587656814799,1.5072085450045591,-0.00854797525405726,0.07906742516086918,0.012346759150705378,0.032833013580107595,0.016381507028067874,0.02602695461388116
3/25/1999,2528.9999,21424.8587,29.3734,11.7697,28.9271,1.1718,0.2621504522468354,0.11961743364646638,0.9610587656814799,1.5072085450045591,0.0,0.12730510826019859,-0.003266498747497515,0.032833013580107595,0.012504422431567526,0.025954724887905685
3/26/1999,2528.9999,21424.8587,29.3734,11.7697,27.8548,1.1718,0.23671591958513893,0.1503560772891952,0.9254332341058898,1.451337762146672,-0.037069045981104165,0.07507227023084018,-0.04855463292834128,0.032833013580107595,0.015564479001509403,0.026352304231312216
3/29/1999,2528.9999,21424.8587,29.3734,11.7697,28.9602,1.1718,0.274594979996567,0.16009348138954538,0.9621584626833936,1.5089331770222745,0.03968436319772528,0.09870023445858278,-0.005712990874321089,0.03968436319772528,0.017228401136314072,0.026824608328931628
3/30/1999,2528.9999,21424.8587,29.3734,11.7697,27.3346,1.1718,0.20304914814863717,0.16118937903534603,0.9081503827344248,1.4242334245147843,-0.05613220903170568,0.03604904580514323,-0.039317056369559955,0.03968436319772528,0.02174861820090677,0.027599990856430147
3/31/1999,2528.9999,21424.8587,29.3734,11.7697,26.3843,1.1718,0.15954557440450023,0.14416805836336466,0.8765781150329577,1.3747192913898658,-0.03476546208834219,0.013439910272562416,-0.072715642825261,0.03968436319772528,0.02297173010298823,0.027940100372301272
4/1/1999,2528.9999,21424.8587,29.3734,11.7697,26.0842,1.1718,0.12997859971061954,0.13322329945676192,0.8666077503721029,1.3590829751204898,-0.011374188437821009,-0.0028632483533455044,-0.0840675180751661,0.03968436319772528,0.023104935464541964,0.02797075049067493
4/2/1999,2528.9999,21424.8587,29.3734,11.7697,26.0842,1.1718,0.12595451151025405,0.147485787544839,0.8666077503721029,1.3590829751204898,0.0,-0.01876387164729354,-0.08925154676610658,0.03968436319772528,0.022809598959766485,0.027957944844255143
4/5/1999,2528.9999,21424.8587,29.3734,11.7697,26.5219,1.1718,0.1901714675486108,0.23208027248127605,0.8811496651073782,1.381888758629673,0.016780273115525768,-0.034014670852788864,-0.11885033489262176,0.03968436319772528,0.021881426626026962,0.027254965428397185
4/6/1999,2528.9999,21424.8587,29.3734,11.7697,26.4593,1.1718,0.15530686740254285,0.20426243537795163,0.8790698756113119,1.3786270678650514,-0.002360313552196458,-0.04065190986385314,-0.10081594785546066,0.03968436319772528,0.0218392581420487,0.02712580805056884
4/7/1999,2528.9999,21424.8587,29.3734,11.7697,26.8095,1.1718,0.20441251785762415,0.2580977025436446,0.8907047363385073,1.3968737788198515,0.013235421949938209,-0.042671713474620176,-0.07797625598415225,0.03968436319772528,0.021760317849957612,0.027152820757510954
4/8/1999,2528.9999,21424.8587,29.3734,11.7697,26.8095,1.1718,0.20041103986818065,0.2918786044345738,0.8907047363385073,1.3968737788198515,0.0,-0.07080198112455505,-0.06676854314317937,0.03968436319772528,0.020491815177383008,0.027115883644441598
4/9/1999,2528.9999,21424.8587,29.3734,11.7697,26.8095,1.1718,0.18596194765037133,0.293978952211168,0.8907047363385073,1.3968737788198515,0.0,-0.08347663180781706,-0.04691227234429829,0.03968436319772528,0.020133303736950874,0.026993582525353083
