,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
12/2/2011,112.27799999999999,26634.8813,33.4172,34.1512,28.68,6.9413,0.0524770642201835,0.037431192660550394,0.7645961077046122,1.1358415841584157,0.009503695881731833,0.014503006720905542,0.031283710895361416,0.05648457822370867,0.021314398557682888,0.018773438392185125
12/5/2011,112.27799999999999,26634.8813,33.4172,34.1512,28.95,6.9413,0.05850091407678226,0.0226691042047531,0.7717941882164756,1.1465346534653464,0.009414225941422494,0.03503754022166605,0.03282197645379936,0.05648457822370867,0.021221394894829895,0.018783754970436013
12/6/2011,112.27799999999999,26634.8813,33.4172,34.1512,28.94,6.9413,0.030993943712148253,-0.0007125044531528513,0.7715275926419622,1.1461386138613863,-0.0003454231433505095,0.03172905525846703,0.04100719424460442,0.05648457822370867,0.021225319270927502,0.018749823917588133
12/7/2011,112.27799999999999,26634.8813,33.4172,34.1512,28.91,6.9413,0.013319313003855582,-0.023834560112162673,0.7707278059184218,1.1449504950495049,-0.0010366275051831852,0.038061041292638986,0.04443641618497107,0.05648457822370867,0.021140038856253162,0.018739911141614274
12/8/2011,112.27799999999999,26634.8813,33.4172,34.1512,28.74,6.9413,-0.03394957983193281,-0.09546218487394953,0.7661956811516929,1.1382178217821781,-0.005880318228986603,0.06800445930880716,0.030846484935437513,0.05648457822370867,0.019602828274572784,0.0187408731796059
12/9/2011,112.27799999999999,26634.8813,33.4172,34.1512,29.26,6.9413,0.0061898211829436445,-0.02235213204951847,0.780058651026393,1.158811881188119,0.018093249826026447,0.0291945128385509,0.04425410421127762,0.039395005276116724,0.015822236383193473,0.01886197942836674
12/12/2011,112.27799999999999,26634.8813,33.4172,34.1512,28.93,6.9413,-0.061019149626744484,-0.04089581304771173,0.7712609970674487,1.1457425742574256,-0.011278195488721887,-0.020981387478849478,0.017945109078113974,0.024161557879552653,0.013436555633117676,0.01884361229219988
12/13/2011,112.27799999999999,26634.8813,33.4172,34.1512,29.41,6.9413,-0.04543979227523531,-0.0671859785783836,0.7840575846440949,1.1647524752475247,0.016591773245765662,0.023312456506610957,0.019410745233968685,0.024161557879552653,0.012497534508462459,0.018862860408955903
12/14/2011,112.27799999999999,26634.8813,33.4172,34.1512,29.96,6.9413,-0.03323652791222964,-0.06518231687641174,0.7987203412423355,1.1865346534653465,0.018701122067324105,0.034173282706247976,0.02955326460481089,0.024161557879552653,0.012997924630843406,0.018975151482642866
12/15/2011,112.27799999999999,26634.8813,33.4172,34.1512,28.44,6.9413,-0.08435286542176423,-0.07244043786220222,0.758197813916289,1.1263366336633664,-0.05073431241655535,-0.012842762929538232,0.007795889440113557,0.024161557879552653,0.01728745394268768,0.019675786063992767
