,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.6013,7.9862,-0.04482643862771485,-0.032932528830432184,0.8780542956332053,1.3453645015998534,-0.0019050786978938028,-0.012298945163462305,0.3316321384624694,0.024551604665402182,0.01194286819665447,0.026232866304048783
6/28/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.7404,7.9862,-0.003739450463366656,-0.010287183883411877,0.8965563107700084,1.3737134937942,0.02107160710769085,0.006615791281492145,0.3493754003843692,0.024551604665402182,0.012836581654177679,0.026310036060427668
6/29/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.7404,7.9862,-0.006529397025660688,-0.013058794051321265,0.8965563107700084,1.3737134937942,0.0,0.006615791281492145,0.3358436719648026,0.024551604665402182,0.012836581654177679,0.02630977404363153
6/30/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.9111,7.9862,0.04293302749524641,0.035297135786074296,0.9192615155424909,1.4085026596286712,0.02532490653373687,0.007375555717513249,0.36967378810099505,0.02532490653373687,0.012910248193989796,0.02642625358707991
7/1/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.7973,7.9862,0.0151132748913545,0.027389077224055702,0.9041247123608359,1.3853098824056902,-0.016466264415216147,-0.011948542772003856,0.3046140263329622,0.02532490653373687,0.013408704432686595,0.026333208981286646
7/2/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.9048,7.9862,0.036056718433490786,0.03036987020781745,0.9184235378619598,1.407218700959912,0.015815103055625057,0.0055192299290800495,0.3431633824187368,0.02532490653373687,0.013865363761877263,0.02626957629498659
7/5/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.9048,7.9862,0.036056718433490786,0.03226048465751363,0.9184235378619598,1.407218700959912,0.0,0.003677592848317479,0.33495736906211926,0.02532490653373687,0.013861345668955036,0.02627676957225653
7/6/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.772,7.9862,0.03678980969732226,0.057121423212946,0.9007595004056876,1.3801536674343247,-0.01923299733518702,-0.01923299733518702,0.29975816667306443,0.02532490653373687,0.014467795271352137,0.026450199007550468
7/7/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.81,7.9862,0.06422878574777302,0.06521331458040325,0.9058139689549222,1.3878981800395378,0.005611340815121046,-0.000924255094406079,0.31986975734553047,0.02532490653373687,0.014261419953830935,0.026387697910221324
7/8/1999,601.9,42.6304,12697.1166,12.2449,16.9092,6.987,7.9862,0.08333979378246381,0.061772230405457984,0.9293571514079356,1.4239713045427682,0.025991189427312822,0.02031279662378238,0.35417474222807965,0.025991189427312822,0.015326162367038038,0.02651506807792733
7/9/1999,601.9,42.6304,12697.1166,12.2449,16.9092,7.0629,7.9862,0.09189147406663056,0.047893638401484084,0.9394527872733803,1.439439949456865,0.010863031343924412,0.041986928875971774,0.29132461833805645,0.025991189427312822,0.015242171647985763,0.025580144437865944
