,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
5/31/2017,135.8,49.8763,24234.9879,12.9462,26.8755,61.8661,5.9601,0.4595329766252396,0.4515966933725901,0.9813022147707429,1.3946653561501474,-0.014207021608503734,0.005467278403762821,0.06453150434133237,0.011118564979742285,0.007370551886134309,0.007767694143268308
6/1/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.401,5.9601,0.40672376130264154,0.3980130345295554,0.9897866441218878,1.3758441793243037,0.008646092124766191,0.006230790813776199,0.08109840609840613,0.011118564979742285,0.007411762041632344,0.007760385698267472
6/2/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.8171,5.9601,0.3558447332864243,0.3417266342330989,0.996386702175751,1.3850185317067472,0.006668162369192876,0.010522336438073987,0.09073750594706853,0.011118564979742285,0.007529270003315694,0.007776665754474271
6/5/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.7279,5.9601,0.3539194398518475,0.34856228928613064,0.994971837531664,1.383051811609381,-0.0014199955107766504,0.0039724902648379246,0.08975065017190254,0.011118564979742285,0.00746554356030395,0.007781109376359974
6/6/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.6091,5.9601,0.2961983019371828,0.2883973988708566,0.9930874662343822,1.3804324579371046,-0.0018938941045372193,0.00605473363510578,0.09050009405502557,0.011118564979742285,0.0074212574249527905,0.007775936033849767
6/7/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.7676,5.9601,0.2994797327652421,0.2845052285511396,0.9956015474685502,1.3839271343432984,0.0025315808724291067,0.011657799346595832,0.08782291915799245,0.011118564979742285,0.007395373977036336,0.007763751564978548
6/8/2017,135.8,49.8763,24234.9879,12.9462,26.8755,63.1044,5.9601,0.30645251448694766,0.2818407481248226,1.0,1.3913530461010655,0.005365825680765157,0.019200330772858543,0.08509957802714796,0.011118564979742285,0.00744002837652318,0.007736020173377376
6/9/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.5001,5.9601,0.2680617352331911,0.2572071441469408,0.9904238056300354,1.3780291788943595,-0.009576194369964597,0.008633892303893775,0.0787466537332342,0.011118564979742285,0.007785785379662375,0.00783198379590802
6/12/2017,135.8,49.8763,24234.9879,12.9462,26.8755,61.876000000000005,5.9601,0.2915642129256615,0.28433574491001457,0.9805338455004723,1.3642687527422737,-0.009985584023065486,0.005628176311602395,0.047401892825645886,0.011118564979742285,0.00795262990262316,0.007594753746810743
6/13/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.6784,5.9601,0.38196041424593274,0.35750649877520946,0.9932492821419744,1.3771719355604188,0.012967871226323702,0.01801384781051607,0.0643716769376288,0.012967871226323702,0.008420426933085281,0.007730758702341592
6/14/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.3614,5.9601,0.3702068007839623,0.3551955071584887,0.9882258606372932,1.3318397813063954,-0.0050575636902027155,0.011076847249109179,0.05774557346129128,0.012967871226323702,0.00851580158483959,0.007768530562064249
6/15/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.4506,5.9601,0.2995461516531859,0.2602043045882174,0.9896393912310394,1.333744807628648,0.0014303719929313896,0.03121862615587845,0.06967096586335053,0.012967871226323702,0.007360850214014298,0.007647947086237545
6/16/2017,135.8,49.8763,24234.9879,12.9462,26.8755,63.4511,5.9601,0.3296403013379994,0.2682264435619912,1.0,1.3551122833619869,0.01602066273182312,0.04842499388635879,0.09590988305315706,0.01602066273182312,0.007990372511008849,0.007778482724919206
6/19/2017,135.8,49.8763,24234.9879,12.9462,26.8755,64.1842,5.9601,0.32179396355728374,0.26020008896504,1.0,1.3707689514880348,0.011553779209501513,0.04887626586570759,0.10895102309501148,0.01602066273182312,0.00801495673132038,0.007877187915608489
6/20/2017,135.8,49.8763,24234.9879,12.9462,26.8755,63.8672,5.9601,0.30783218387038636,0.26442425830971605,0.9950610898009167,1.3639988467329438,-0.004938910199083324,0.03433019042097318,0.10271953920981236,0.01602066273182312,0.008007473145215471,0.00792031565836427
6/21/2017,135.8,49.8763,24234.9879,12.9462,26.8755,63.7681,5.9601,0.3058028766607144,0.2686794554658192,0.9935170961077647,1.3618823881170778,-0.0015516571886664554,0.029261466349878695,0.08652966363774217,0.01602066273182312,0.008026339875829062,0.007785220379862897
6/22/2017,135.8,49.8763,24234.9879,12.9462,26.8755,63.5006,5.9601,0.3254751835817966,0.30438467222456467,0.9893494037473396,1.3561694448300532,-0.004194887412358184,0.016168935289053277,0.08618404060066265,0.01602066273182312,0.007936263413957999,0.00778875256994381
6/23/2017,135.8,49.8763,24234.9879,12.9462,26.8755,63.5006,5.9601,0.34907021259870974,0.33938886634558396,0.9893494037473396,1.3561694448300532,0.0,0.0072281818196238135,0.07688733321123076,0.01602066273182312,0.007717629510518024,0.007734177027811469
6/26/2017,135.8,49.8763,24234.9879,12.9462,26.8755,63.5105,5.9601,0.3495615181438203,0.3369329856927632,0.9895036473150712,1.3563808771236665,0.00015590403870202607,0.009445897876858345,0.07597134831651031,0.01602066273182312,0.0076981533741865265,0.007735273333942879
6/27/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.7775,5.9601,0.26861675255127815,0.2714196221077094,0.9780833912395885,1.340726344677352,-0.011541398666362168,-0.002204519662662441,0.0640885476257067,0.01602066273182312,0.00813350727125149,0.007897606144589776
6/28/2017,135.8,49.8763,24234.9879,12.9462,26.8755,63.8077,5.9601,0.26622929478745583,0.24539261270164459,0.9941340703786912,1.3627281172915309,0.01641033809884096,0.016731014680270162,0.07077506032871161,0.01641033809884096,0.00886497479442454,0.008053804426246966
6/29/2017,135.8,49.8763,24234.9879,12.9462,26.8755,62.2722,5.9601,0.24919658654598398,0.24105011454409042,0.9702107372219331,1.3299347549841425,-0.024064493783665597,0.006564176503771835,0.046570489334668785,0.01641033809884096,0.009901284161328568,0.008651681754718822
