,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,18.5322,1.6001,0.13260198624904507,0.08992513368983945,0.8922108121380187,1.4705177544138068,-0.021076318458417842,0.03915576514391139,-0.07878830055872588,0.028485396974369248,0.014105876199727455,0.01988245400439255
6/28/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,18.8093,1.6001,0.13734512846250135,0.09042865176352488,0.9055514633312631,1.4925054552668122,0.014952353201454827,0.043025718943737745,-0.041241895363536285,0.028485396974369248,0.014252672269741107,0.019748858373111206
6/29/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,19.4522,1.6001,0.18169999757004351,0.09550944038101705,0.9365031221264161,1.5435191430271773,0.03417990036843488,0.07867623409894975,-0.017357217187484175,0.03417990036843488,0.015861180569314147,0.020193217573614537
6/30/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,20.0396,1.6001,0.22063920376675816,0.10789228435857301,0.9647827991777036,1.5901289426701053,0.030197098528701005,0.10176704089374655,0.01231574374362232,0.03417990036843488,0.016861166779421868,0.020550313600033763
7/1/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,19.7958,1.6001,0.18676298672102165,0.08442792482239736,0.9530453370307783,1.570783574687562,-0.01216591149523949,0.09436778559108405,-0.026171056385836167,0.03417990036843488,0.01712504751721595,0.020326578429200742
7/2/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,19.9842,1.6001,0.21079672826416251,0.10536201151166313,0.9621156318153589,1.5857329894862133,0.009517170308853462,0.09538478403858819,-0.005513809405324532,0.03417990036843488,0.017137587244256847,0.020311326115470034
7/5/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,19.9842,1.6001,0.18945783311806963,0.10765366553380429,0.9621156318153589,1.5857329894862133,0.0,0.07385356102698593,-0.015828145930186555,0.03417990036843488,0.016781987750760164,0.020267936555329002
7/6/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,20.2688,1.6001,0.19469986325269972,0.09168552836327648,0.9758173616226391,1.6083158103550883,0.014241250587964327,0.09436264584716891,0.003664309624259676,0.03417990036843488,0.016824566145310905,0.020335028463821375
7/7/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,20.9804,1.6001,0.2520155394962196,0.08342632763034619,1.0,1.6647807974608213,0.035108146510893556,0.15560745347088734,0.05452991882586522,0.035108146510893556,0.01713720384181315,0.02070728392571561
7/8/1999,-4970.0,19.5591,98427.0972,2.1747,21.3576,20.8136,1.6001,0.2771665429197321,0.1174532267268833,0.9920497225982347,1.6515453283078756,-0.007950277401765349,0.14292617567597254,0.008503689777644263,0.035108146510893556,0.017431235347796076,0.020207804433938166
