,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/16/1999,332.5,32226.2758,12.1049,16.1058,10.9179,6.5959,0.2103833617879869,0.175583689940356,0.9617092119866814,1.367112858591803,0.004683905401674737,0.02960203696718211,0.09492147541970031,0.02225470628472892,0.009339839631228296,0.011987005781591953
6/17/1999,332.5,32226.2758,12.1049,16.1058,10.9009,6.5959,0.2096117355940479,0.19549706499184394,0.9602117576590384,1.3649841599779617,-0.0015570759944677492,0.011806528861950882,0.08314702755338277,0.02225470628472892,0.008736604586567944,0.011951249466482919
6/18/1999,332.5,32226.2758,12.1049,16.1058,10.7991,6.5959,0.21048501899947292,0.17911066772779738,0.9512446488029173,1.3522370118080163,-0.009338678457742056,0.026608487337440145,0.0712436389608071,0.02225470628472892,0.007172988274759492,0.012026572987106908
6/21/1999,332.5,32226.2758,12.1049,16.1058,10.8076,6.5959,0.2069731860670294,0.17760182258803048,0.9519933759667389,1.3533013611149372,0.0007871026289230088,0.024941676308252614,0.05707103803757785,0.02225470628472892,0.007168857698929245,0.01191014955793572
6/22/1999,332.5,32226.2758,12.1049,16.1058,10.8161,6.5959,0.20792245066616055,0.1766637258077124,0.9527421031305604,1.354365710421858,0.0007864835856248309,0.026565554943907888,0.057902407057834004,0.02225470628472892,0.007155143304601904,0.011909548653946203
6/23/1999,332.5,32226.2758,12.1049,16.1058,10.7991,6.5959,0.19612555934606357,0.179212263523991,0.9512446488029173,1.3522370118080163,-0.0015717310305933818,0.014342876465283982,0.07844331708875929,0.02225470628472892,0.006858381729088868,0.011591225318281068
6/24/1999,332.5,32226.2758,12.1049,16.1058,10.867,6.5959,0.19817853047543466,0.17946767222369253,0.957225657558621,1.3607392845068307,0.006287561000453801,0.015863816103128814,0.053340700030048316,0.02225470628472892,0.006910877921296072,0.011002201398041155
6/25/1999,332.5,32226.2758,12.1049,16.1058,10.8585,6.5959,0.18694183618814408,0.16654460391548165,0.9564769303947993,1.3596749351999098,-0.0007821845955646722,0.017485171337812355,0.0550940096195891,0.02225470628472892,0.006883306877213652,0.010996088762690535
6/28/1999,332.5,32226.2758,12.1049,16.1058,10.8246,6.5959,0.19626023627703426,0.20563174820692476,0.9534908302943819,1.3554300597287787,-0.003121978173780793,-0.007773113095128958,0.06311137301119629,0.01169601397636888,0.004870602905441748,0.010909161945536787
6/29/1999,332.5,32226.2758,12.1049,16.1058,10.7567,6.5959,0.17262242183752674,0.1892687393712118,0.9475098215386784,1.3469277870299645,-0.006272749108512055,-0.013997103415403167,0.04863615980034708,0.01169601397636888,0.005036912851244563,0.01091597006830673
6/30/1999,332.5,32226.2758,12.1049,16.1058,10.9094,6.5959,0.20122441339367314,0.19749171428886036,0.9609604848228599,1.3660485092848824,0.01419580354569705,0.0031170980644568136,0.06352239271578708,0.01419580354569705,0.005949037398241674,0.011044679073945404
7/1/1999,332.5,32226.2758,12.1049,16.1058,10.9179,6.5959,0.19451859956236306,0.203796498905908,0.9617092119866814,1.367112858591803,0.0007791445909033357,-0.0077071991420288866,0.05396325864715368,0.01419580354569705,0.005336474566547426,0.010986848623234867
7/2/1999,332.5,32226.2758,12.1049,16.1058,11.0112,6.5959,0.222488675726086,0.21307398525623955,0.9699275936789811,1.3787956574548277,0.008545599428461559,0.007761019182896511,0.07521799841810783,0.01419580354569705,0.005450097191011522,0.010914168088294693
7/5/1999,332.5,32226.2758,12.1049,16.1058,11.0112,6.5959,0.2292990075134249,0.22078081564757235,0.9699275936789811,1.3787956574548277,0.0,0.006977658689151234,0.07717441280338089,0.01419580354569705,0.005449917633227187,0.010908441319098182
7/6/1999,332.5,32226.2758,12.1049,16.1058,11.0536,6.5959,0.24907903360679828,0.2356656948493685,0.97366242094322,1.3841048822328794,0.0038506248183667324,0.010855151853240486,0.0741975296644346,0.01419580354569705,0.005502245749240557,0.010891875437724163
7/7/1999,332.5,32226.2758,12.1049,16.1058,11.2227,6.5959,0.2765688805978639,0.23900902028141457,0.9885576872258336,1.405279172562327,0.015298183397264298,0.030314436538902978,0.09063080047812933,0.015298183397264298,0.006271799637561317,0.011034399225727678
7/8/1999,332.5,32226.2758,12.1049,16.1058,11.2057,6.5959,0.27463515066031197,0.23900902028141457,0.9870602328981907,1.4031504739484855,-0.0015147869942170322,0.02875372963047962,0.09348439161958289,0.015298183397264298,0.006297867472799046,0.011018099796599477
7/9/1999,332.5,32226.2758,12.1049,16.1058,11.2569,6.5959,0.2828814660330268,0.23070874217921977,0.9915702129908567,1.4095616133031141,0.004569103224251858,0.04239242159068812,0.08945473549735783,0.015298183397264298,0.005900773168755223,0.01099099495597429
7/12/1999,332.5,32226.2758,12.1049,16.1058,11.2398,6.5959,0.2993688007213706,0.2513699105223002,0.9900639501083452,1.4074203929327207,-0.001519068304772997,0.0383570755501359,0.08246737612558386,0.015298183397264298,0.005949303070176575,0.010987832686900515
