,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,623.247,11127.7106,17.0351,15.5007,11.9905,3.0186,-0.15217744843629566,-0.15217744843629566,0.8336172194915078,1.1617688379889353,-0.009360696640724253,0.0,0.05470330559611569,0.013038334510918848,0.008286880129035215,0.018447745493165326
6/28/1999,623.247,11127.7106,17.0351,15.5007,12.1265,3.0186,-0.14138338773516101,-0.14299066082289558,0.8430723666372353,1.1749459833929212,0.0113423126641925,0.0018754440754142898,0.06034241544541974,0.013038334510918848,0.008403911150302106,0.018483440536506374
6/29/1999,623.247,11127.7106,17.0351,15.5007,12.2852,3.0186,-0.12654726948262007,-0.1394444404945574,0.8541056890786098,1.1903225493900726,0.013087040778460457,0.014987028866967345,0.04933547439270214,0.013087040778460457,0.008866823538793903,0.018321499752203717
6/30/1999,623.247,11127.7106,17.0351,15.5007,12.3758,3.0186,-0.10904575069291955,-0.13352291134228422,0.860404485633043,1.1991008536077281,0.0073747273141666625,0.028249056980009568,0.05707403737743011,0.013087040778460457,0.00885383356325609,0.01833901899925996
7/1/1999,623.247,11127.7106,17.0351,15.5007,12.4892,3.0186,-0.10958699015421036,-0.1370639441620385,0.868288409797201,1.2100882674960518,0.009163044005236154,0.0318412399411756,0.06470477911715067,0.013087040778460457,0.008971261244092869,0.018367260821387937
7/2/1999,623.247,11127.7106,17.0351,15.5007,12.7385,3.0186,-0.08548886160826452,-0.13755895845448085,0.8856205287930088,1.2342431377108585,0.019961246516990716,0.06037525388739051,0.11827551092071076,0.019961246516990716,0.009571094329823436,0.01810720861264084
7/5/1999,623.247,11127.7106,17.0351,15.5007,12.7385,3.0186,-0.11387430002434695,-0.16275607804945913,0.8856205287930088,1.2342431377108585,0.0,0.05838415394074348,0.09551165730699429,0.019961246516990716,0.009589294873102436,0.01794698762313902
7/6/1999,623.247,11127.7106,17.0351,15.5007,12.5572,3.0186,-0.11935535903388017,-0.15592148172044518,0.8730159833700648,1.2166768401980448,-0.014232444950347367,0.04332075973346172,0.08415281674940656,0.019961246516990716,0.01027198488890486,0.01804504343319377
7/7/1999,623.247,11127.7106,17.0351,15.5007,12.6808,3.0186,-0.09467476743604941,-0.13910287072799832,0.8816090435701524,1.2286525399916675,0.009842958621348652,0.05160675042501128,0.11890728126213257,0.019961246516990716,0.010410607450453621,0.017832620804254722
7/8/1999,623.247,11127.7106,17.0351,15.5007,12.6581,3.0186,-0.07842566234447013,-0.12373228105683898,0.8800308682745052,1.226453119398502,-0.001790107879629077,0.05170408281958827,0.09500082180641689,0.019961246516990716,0.01040870420061785,0.017687369882412044
7/9/1999,623.247,11127.7106,17.0351,15.5007,12.8172,3.0186,-0.06684236966065549,-0.11547618180891572,0.8910919999721908,1.2418684417056651,0.012569026947172102,0.05498304415105526,0.1131356116201312,0.019961246516990716,0.010535905616613331,0.017726366899730853
7/12/1999,623.247,11127.7106,17.0351,15.5007,13.1353,3.0186,-0.021571855283838093,-0.09502491638671418,0.9132073110534843,1.2726893972424886,0.024818213026245983,0.08116583807987365,0.1452673246608307,0.024818213026245983,0.011570259263180711,0.01794367443624505
7/13/1999,623.247,11127.7106,17.0351,15.5007,13.1353,3.0186,-0.04503188001192315,-0.11508066333689582,0.9132073110534843,1.2726893972424886,0.0,0.0791583824906752,0.09547558483799667,0.024818213026245983,0.011592845295437828,0.01707386231208236
7/14/1999,623.247,11127.7106,17.0351,15.5007,13.0899,3.0186,-0.05234237560541233,-0.10731996901447194,0.9100509604621899,1.268290556056158,-0.003456335218837814,0.06158712136571909,0.051921438788794516,0.024818213026245983,0.011486676495660111,0.016442019421641182
7/15/1999,623.247,11127.7106,17.0351,15.5007,12.9535,3.0186,-0.04885857154395734,-0.08461770040164773,0.9005680040601515,1.25507465434216,-0.01042024767186911,0.03906469337825369,0.04476347945315973,0.024818213026245983,0.01168086348981148,0.016494563437574102
7/16/1999,623.247,11127.7106,17.0351,15.5007,12.6808,3.0186,-0.07677298639272534,-0.08907704964580321,0.8816090435701524,1.2286525399916675,-0.021052225267302327,0.01350724915679602,0.032201347963403126,0.024818213026245983,0.012694886792235958,0.01667795812512806
7/19/1999,623.247,11127.7106,17.0351,15.5007,12.7035,3.0186,-0.07642478570961198,-0.08376773030309648,0.8831872188657995,1.2308519605848327,0.001790107879628966,0.008014282880380863,0.026479096300845217,0.024818213026245983,0.01261002244461034,0.016656411375648703
7/20/1999,623.247,11127.7106,17.0351,15.5007,12.6353,3.0186,-0.07089966542887605,-0.08831207029670207,0.8784457406647804,1.224244009727834,-0.0053685992049434805,0.019099084566681412,-0.009865843337617086,0.024818213026245983,0.012107045096985698,0.016203919049145792
7/21/1999,623.247,11127.7106,17.0351,15.5007,12.499,3.0186,-0.07165192331974113,-0.08248104161560343,0.8689697365768196,1.211037797091339,-0.010787238925866416,0.011802609850079415,-0.04430936269449859,0.024818213026245983,0.012341103146926052,0.015940958807074444
7/22/1999,623.247,11127.7106,17.0351,15.5007,12.6581,3.0186,-0.008397765818273006,-0.03406108747933845,0.8800308682745052,1.226453119398502,0.012729018321465668,0.02656826568265669,-0.008079177506817636,0.024818213026245983,0.012602005874938106,0.01573507899314868
7/23/1999,623.247,11127.7106,17.0351,15.5007,12.4763,3.0186,-0.02560117462375333,-0.05469341851438214,0.8673915612811725,1.2088383764981736,-0.014362345059685033,0.030775458946777023,-0.008227475794527761,0.024818213026245983,0.012314701053379066,0.01573723618874892
7/26/1999,623.247,11127.7106,17.0351,15.5007,12.5444,3.0186,-0.005210109356785453,-0.04913521700858825,0.8721260871681139,1.2154366382776696,0.00545834902976039,0.046194904299236894,-0.0010193355206574717,0.024818213026245983,0.01208263903440856,0.015750486724380793
7/27/1999,623.247,11127.7106,17.0351,15.5007,12.4081,3.0186,-0.019037228533706485,-0.04130003399505089,0.8626500830801532,1.2022304256411747,-0.010865406077612327,0.023221869459448152,-0.029388757646396257,0.024818213026245983,0.01221562123087774,0.015640151106706714
7/28/1999,623.247,11127.7106,17.0351,15.5007,12.2717,3.0186,-0.020809894274885443,-0.01973269499301822,0.8531671266781148,1.1890145239271768,-0.010992819206808502,-0.001098883209064594,-0.010227043593983187,0.024818213026245983,0.01217062011771148,0.015232729881944594
7/29/1999,623.247,11127.7106,17.0351,15.5007,11.9763,3.0186,-0.03391225084094951,-0.0016859325465647945,0.8326299908924686,1.160392988983519,-0.024071644515429758,-0.032280741447017536,-0.07948964298066952,0.024818213026245983,0.013117894127001956,0.014162852262278387
7/30/1999,623.247,11127.7106,17.0351,15.5007,11.9536,3.0186,-0.03574338331975435,0.00746166318455721,0.8310518155968214,1.1581935683903535,-0.001895410101617423,-0.04288505268552034,-0.07152899141714242,0.024818213026245983,0.012889280467055217,0.014113772896889521
8/2/1999,623.247,11127.7106,17.0351,15.5007,12.0899,3.0186,-0.02627233994571565,0.0259662857096834,0.8405278196847821,1.1713997810268484,0.011402422701110915,-0.05091651293323385,-0.07398244458401626,0.024818213026245983,0.012280897192763365,0.014071318861525727
8/3/1999,623.247,11127.7106,17.0351,15.5007,12.0218,3.0186,-0.019501015423011303,0.038953094797282484,0.8357932937978407,1.1648015192473524,-0.005632800933010107,-0.056262511284688066,-0.05794125944268558,0.024818213026245983,0.012287058428493534,0.013814508195597056
8/4/1999,623.247,11127.7106,17.0351,15.5007,11.8627,3.0186,-0.05050545474919366,0.005082561611051917,0.8247321621001551,1.1493861969401893,-0.01323429103794782,-0.05530691555442291,-0.09296173108536909,0.024818213026245983,0.012241989821182065,0.013500896966739874
8/5/1999,623.247,11127.7106,17.0351,15.5007,11.9763,3.0186,-0.04879792227596558,0.007156075516055571,0.8326299908924686,1.160392988983519,0.009576234752628032,-0.05555643177086611,-0.05983436040350121,0.024818213026245983,0.012228528340915066,0.013198536099680289
8/6/1999,623.247,11127.7106,17.0351,15.5007,11.8627,3.0186,-0.06645103918281903,-0.0038561119374208586,0.8247321621001551,1.1493861969401893,-0.009485400332323035,-0.06283723465606994,-0.09453332519158553,0.024818213026245983,0.012316550534222417,0.012693090354456035
