,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
11/7/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,18.7836,3.8846,-0.2977463398585293,-0.35624504628452636,0.6159587340834041,1.2169327251995439,0.016945849079077036,0.09087107771111969,0.003762050317422938,0.06053857845129462,0.03568536900784203,0.03479263918068264
11/8/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,19.5894,3.8846,-0.26911769095304894,-0.33975688744291543,0.6423828246690431,1.2691380740126466,0.042899124768415176,0.10698967569125406,-0.029829088189701647,0.06053857845129462,0.036321773117042606,0.03376325380509533
11/9/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,17.4536,3.8846,-0.3453631641130468,-0.3397858335052416,0.5723448838986192,1.1307660412563492,-0.10902835206795514,-0.00844775966777056,-0.13359278821333542,0.06053857845129462,0.0440858232836199,0.03645499406969927
11/10/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,17.7587,3.8846,-0.3172934238549603,-0.2959380598334628,0.5823498355462717,1.1505325489789573,0.01748063436769498,-0.030331655218355125,-0.1408050703952779,0.06053857845129462,0.043325100727228776,0.036366346017218394
11/11/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,17.6101,3.8846,-0.3276586159238247,-0.30854223776544154,0.5774768895782573,1.1409052036902663,-0.00836772961984844,-0.02764648717892093,-0.1285321218959391,0.06053857845129462,0.043295827158682396,0.03628130507298891
11/14/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,17.9856,3.8846,-0.3133222867876695,-0.27837676865631755,0.5897904239725331,1.1652327148336272,0.021322990783698037,-0.048426265415932535,-0.07818626320402222,0.06053857845129462,0.042426384054553554,0.03614504685763539
11/15/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,18.2672,3.8846,-0.30937645319712825,-0.31440475155291236,0.5990247549590259,1.1834767285166372,0.015656970020460736,0.007334208291515321,-0.010594276057802832,0.06053857845129462,0.04160220652939805,0.03555359614625255
11/16/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,17.7196,3.8846,-0.3298818190413161,-0.303549210551196,0.5810676539355761,1.147999378044988,-0.029977226942279,-0.037809718775623335,0.022109677382140314,0.06053857845129462,0.04200183385263507,0.034896977994319955
11/17/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,17.0468,3.8846,-0.3628650664912504,-0.32485404815476504,0.5590049483684157,1.1044106976262051,-0.03796925438497478,-0.056300446196259846,0.0036857785471202664,0.06053857845129462,0.04260629813805791,0.035140604867412356
11/18/2011,6323.0,20.5762,51436.225999999995,7.1181,5.7601,16.9607,3.8846,-0.3766556899872102,-0.3398519618364376,0.5561815254354007,1.0988325386130402,-0.005050801323415621,-0.055750719570651586,-0.017226793371190152,0.06053857845129462,0.04260392393989463,0.03509169681146667
