,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
1/3/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.339,1.8006,1.3127912136676283,1.3261593077435103,0.9704071776849407,2.3127912136676283,0.02310231023102305,-0.005746852346432574,0.17870722433460084,0.06797590924430819,0.023952661719458725,0.02718861745201222
1/4/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.2907,1.8006,1.2993953849567337,1.3161193698690927,0.9647865197304877,2.090338359134688,-0.005792061398249282,-0.007220692132678952,0.16002518539247212,0.06797590924430819,0.0239681097645559,0.027194646411721073
1/7/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,7.9648,1.8006,1.0081690282890423,1.050779083253492,0.9268616247541691,1.9901054420068962,-0.03930910538314003,-0.020777496373158955,0.08513739969209388,0.06797590924430819,0.024847302127898565,0.02752120635261776
1/8/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,7.9986,1.8006,0.9431056262753863,0.9407734914002528,0.930794921624987,1.9985507970616159,0.004243672157492995,0.0012016522718738543,0.0794623336662259,0.06797590924430819,0.02455288639579774,0.02750493766621133
1/9/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,7.9093,1.8006,0.7906903031537957,0.7748420838144399,0.920403104744394,1.9762380690620158,-0.011164453779411332,0.008929368693633366,0.09630605031533723,0.06797590924430819,0.024313044214950404,0.027321993068918766
1/10/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.0131,1.8006,0.7779232305302863,0.7666740625693367,0.9324822827086219,2.0021738044075756,0.013123790980238415,0.006367426906460416,0.0974894881733388,0.06797590924430819,0.024239890908725508,0.027328920183985587
1/11/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.1579,1.8006,0.8345139310530929,0.7449684049562615,0.94933261959899,2.0383539053520563,0.018070409704109558,0.05131641687178634,0.10999387713449882,0.06797590924430819,0.02375831158460265,0.027399232380180782
1/14/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.3148,1.8006,0.8448635455957401,0.6333481251386734,0.967591030221219,2.077557343461096,0.01923289081748991,0.1294980642532093,0.15560373582388265,0.06797590924430819,0.020511306264636413,0.027322733244424337
1/15/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.3052,1.8006,0.8676381299332117,0.6472598889113763,0.9664738808141227,2.075158662735495,-0.0011545677586953795,0.13378474307868715,0.16361700339059015,0.06797590924430819,0.020426939110873666,0.0272930233595914
1/16/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.4355,1.8006,0.8766407119021133,0.645761957730812,0.9816368566208558,2.107715756334016,0.01568896594904401,0.14028684591156693,0.1607155142758856,0.06797590924430819,0.020518350060989073,0.02727170147226559
1/17/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.6889,1.8006,0.9433907403265489,0.6815701185417131,1.0,2.171030932986857,0.030039713117183453,0.15570009177606647,0.20961409956565324,0.06797590924430819,0.02105939658599809,0.02742289106976584
1/18/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.3631,1.8006,0.8555802085644553,0.6681384512979811,0.9625038842661325,2.0896257058617755,-0.03749611573386746,0.11236582738118983,0.1584364135026941,0.06797590924430819,0.02317662453504773,0.027901202628366244
1/21/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.3631,1.8006,0.6646960468171503,0.5085592579322427,0.9625038842661325,2.0896257058617755,0.0,0.1035006003668173,0.1492194800197877,0.06797590924430819,0.02319618388781517,0.027894922004849883
1/22/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.2183,1.8006,0.6413620930697024,0.5386858398242462,0.9458389439399693,2.0534456049172953,-0.0173141538424747,0.06672983567404778,0.146030595027262,0.06797590924430819,0.023524287243449793,0.027924182902411106
1/23/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.3462,1.8006,0.7360790431617263,0.6025377015080604,0.9605588739656342,2.085403028334416,0.015562829295596492,0.08333117001116275,0.14956682230761809,0.06797590924430819,0.023658509579756907,0.02794479547833515
1/24/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.351,1.8006,0.7590681214980834,0.7331381387706957,0.9611113029267226,2.086602368697217,0.0005751120270303112,0.014961290244169367,0.22419960126656524,0.030039713117183453,0.018585114435600673,0.02675748332861734
1/25/2002,1448.4229999999998,62.2747,54429.2461,16.33,55.8176,8.2062,1.8006,0.7069578783151327,0.7345813832553303,0.9444463626005594,2.050422267752736,-0.017339240809483902,-0.015925170883798967,0.19873789386037966,0.030039713117183453,0.018755014607252065,0.026886808160485703
