,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/9/1999,571.0,18425.1143,5.3153,16.1625,15.9016,4.2883,0.007501647321202176,-0.022961123219625956,0.9669094844884409,1.680042260961437,0.0014421835540692207,0.03117866777339695,0.2204680292575849,0.07006836961536855,0.030197625771438183,0.03641933176238429
6/10/1999,571.0,18425.1143,5.3153,16.1625,16.0387,4.2883,-0.007837727492051139,-0.08129090526680449,0.9752459594546936,1.6945272054939249,0.00862177390954355,0.07995259674237265,0.22884966058321443,0.07006836961536855,0.028876459070887733,0.036423343862881805
6/11/1999,571.0,18425.1143,5.3153,16.1625,16.8383,4.2883,0.041625941826369806,-0.057338513120615775,1.0,1.7790068674062336,0.04985441463460272,0.10498408636020606,0.32478639203159676,0.07006836961536855,0.030217962420567134,0.03666888064524631
6/14/1999,571.0,18425.1143,5.3153,16.1625,16.9526,4.2883,0.06348569062645071,-0.059759356611419956,1.0,1.79108293713682,0.006788096185481818,0.13107819589004532,0.2550601892296074,0.07006836961536855,0.029808800121856875,0.03592141098785705
6/15/1999,571.0,18425.1143,5.3153,16.1625,17.5237,4.2883,0.12958474609047665,-0.045612180437557326,1.0,1.851421024828315,0.03368804785106727,0.18356995231598439,0.2886494833989044,0.07006836961536855,0.030066996972642052,0.03611161619216497
6/16/1999,571.0,18425.1143,5.3153,16.1625,16.7012,4.2883,0.05665677572015171,-0.10937826227247127,0.9530635653429355,1.7645219228737454,-0.04693643465706454,0.18642598867648408,0.2406364676343431,0.07006836961536855,0.029850182094246603,0.03664908373436235
6/17/1999,571.0,18425.1143,5.3153,16.1625,17.4095,4.2883,0.0860235176694426,-0.1161847727768941,0.9934831114433595,1.8393555203380878,0.042410126218475286,0.2287902315076229,0.24887017402906708,0.07006836961536855,0.030739356731078225,0.03675430363031552
6/18/1999,571.0,18425.1143,5.3153,16.1625,16.7698,4.2883,0.04758216153072525,-0.08364515464046318,0.9569782637228438,1.771769677760169,-0.036744306269565485,0.1432057863127254,0.22704656539936185,0.07006836961536855,0.031808882738524134,0.03699583518701558
6/21/1999,571.0,18425.1143,5.3153,16.1625,16.0158,4.2883,-0.01063139752531217,-0.058648743814824544,0.9139508208882826,1.6921077654516639,-0.04496177652685196,0.05100895757456425,0.19578900212789785,0.07006836961536855,0.03283911186279874,0.03738774353403223
6/22/1999,571.0,18425.1143,5.3153,16.1625,15.3989,4.2883,-0.04874010835253495,-0.09945082438117359,0.878747068256133,1.626930797675647,-0.03851821326440141,0.05631087940732615,0.12112674005474977,0.07006836961536855,0.03251472920801005,0.037649697181364475
6/23/1999,571.0,18425.1143,5.3153,16.1625,15.4218,4.2883,-0.015889424917681305,-0.08718125430737422,0.8800538699019042,1.629350237717908,0.0014871192098135921,0.0781007508074325,0.10991320369064228,0.07006836961536855,0.03213186901504762,0.0376318298316888
6/24/1999,571.0,18425.1143,5.3153,16.1625,15.0334,4.2883,-0.01524292386398618,0.0026725882838447568,0.8578896009404406,1.5883148441627049,-0.025185127546719532,-0.017867758984510318,0.0015055826471608302,0.04985441463460272,0.02891220761625351,0.036433884137888166
6/25/1999,571.0,18425.1143,5.3153,16.1625,14.7592,4.2883,-0.05136774989716175,-0.03227195598519128,0.8422422205356174,1.5593449550977285,-0.018239386965024584,-0.019732603627717338,0.0030310032212903515,0.04985441463460272,0.02896642359879012,0.03642088202646911
6/28/1999,571.0,18425.1143,5.3153,16.1625,15.239,4.2883,-0.0017751750610829342,-0.012249362967621025,0.8696222829653555,1.6100369783412574,0.032508537048078656,0.010604081145426436,0.0860718536415015,0.04985441463460272,0.029852853449607492,0.03613009298622481
6/29/1999,571.0,18425.1143,5.3153,16.1625,15.8787,4.2883,0.04166338660159008,-0.01079141410165585,0.906127130685871,1.677622820919176,0.0419778200669334,0.0530270374226578,0.19162939393029754,0.04985441463460272,0.031164276553787423,0.035846650122715484
6/30/1999,571.0,18425.1143,5.3153,16.1625,16.5413,4.2883,0.12323362645570901,0.011530234611075274,0.9439387800521578,1.7476281035393555,0.04172885689634542,0.1104301068050455,0.24135472638309352,0.04985441463460272,0.03206659733462165,0.03616668897912665
7/1/1999,571.0,18425.1143,5.3153,16.1625,15.9244,4.2883,0.07640935514397729,0.025449506556712187,0.9087350274200082,1.6824511357633387,-0.0372945294505268,0.0496951319996044,0.1730076533806728,0.04985441463460272,0.0332274727540072,0.036487387397714295
7/2/1999,571.0,18425.1143,5.3153,16.1625,16.2671,4.2883,0.06714293211577305,0.0281757590070586,0.9282913996473346,1.7186582144743792,0.021520434050890325,0.03789933070037188,0.21043075801206923,0.04985441463460272,0.03279199859624853,0.03651940990735418
7/5/1999,571.0,18425.1143,5.3153,16.1625,16.2671,4.2883,0.06243836171143813,0.026627740658737853,0.9282913996473346,1.7186582144743792,0.0,0.03488179759269161,0.22286955737310543,0.04985441463460272,0.03279536767041697,0.03647962236207113
7/6/1999,571.0,18425.1143,5.3153,16.1625,16.5413,4.2883,0.09481954105912482,0.07516199275913871,0.9439387800521578,1.7476281035393555,0.016856108341376075,0.01828333630873602,0.24989987985582696,0.04985441463460272,0.032198810111165564,0.036497505867480864
7/7/1999,571.0,18425.1143,5.3153,16.1625,16.1301,4.2883,0.09031364066513436,0.07332026497228594,0.9204734160023281,1.7041838351822503,-0.024858989317647406,0.015832530370874176,0.19618676119425116,0.04985441463460272,0.03228995378217507,0.03662911154298155
