,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
8/3/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.2794,8.3209,0.49948659168517295,0.41077441077441046,0.8928226127509526,1.6244308774834435,-0.0416348707304417,0.06288190389139969,0.11390204530537673,0.12833729382163828,0.03841959690624721,0.02421533908307062
8/6/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.739,8.3209,0.7433257450331126,0.5466680463576157,0.958169823124609,1.7194396958640574,0.07319170621396953,0.12714926072121502,0.21298846229998025,0.12833729382163828,0.04130227621388252,0.025725578642696357
8/7/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.6875,8.3209,0.7062995943153114,0.4766922664761566,0.9508474094295627,1.6407016683022568,-0.00764208339516248,0.15548759416683944,0.2235843015277652,0.12833729382163828,0.040502369583758455,0.02564252193859474
8/8/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.5522,8.3209,0.6075073601570165,0.4051766437684001,0.931610077916169,1.6015741487619466,-0.020231775700934596,0.14398952422522915,0.16318125332859945,0.12833729382163828,0.04077774318177886,0.025575511954549605
8/9/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,5.9444,8.3209,0.453007748527291,0.3831976729974824,0.8451913780356026,1.4514821507056699,-0.09276273618021424,0.05047006432459167,0.05087861966552354,0.12833729382163828,0.04613446476694743,0.028261099972196092
8/10/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.1226,8.3209,0.4926617582524746,0.394777902384319,0.8705283512483649,1.4949943839429605,0.029977794226498933,0.07017881176696794,0.0803190175389068,0.12833729382163828,0.04647654241426907,0.028493179776600857
8/13/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.2751,8.3209,0.517924528301887,0.37300435413642985,0.8922112267531138,1.5322312838794747,0.024907718942932755,0.10554968287526423,0.10638785549306196,0.12833729382163828,0.04659942169498332,0.028643459242520052
8/14/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.0518,8.3209,0.463909046927915,0.35377358490566047,0.8604618097025536,1.4777066953166968,-0.03558509027744583,0.08135441793978382,0.04953001977038607,0.12833729382163828,0.04729091091510841,0.028966711557059707
8/15/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,5.749,8.3209,0.40377008350832644,0.3817453728573523,0.8174088608314849,1.403050640634533,-0.05003470041970992,0.015939775217360452,0.005263249925685054,0.12833729382163828,0.048741385727485764,0.029656343300766504
8/16/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,5.8263,8.3209,0.4219158023184868,0.36058572300183034,0.8283995905135643,1.4196637426900585,0.013445816663767651,0.04507623318385634,0.021459001735654626,0.12833729382163828,0.04864799307337847,0.02969804178190309
8/17/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.0153,8.3209,0.4657163742690058,0.37780214424951253,0.8552721378604333,1.4218214479873308,0.0324391123011174,0.06380758687770816,0.05063401683725166,0.12833729382163828,0.04901480980857752,0.029963308262473145
8/20/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.0518,8.3209,0.42324968838926624,0.3181957150584416,0.8604618097025536,1.4304488618904674,0.00606786028959494,0.07969527751512007,0.07352810742731464,0.12833729382163828,0.048927704094605104,0.029893360009907
8/21/2007,116.55799999999999,38.6596,5450.7757,10.515,8.7261,6.0303,8.3209,0.4253669605502637,0.3791807502304585,0.8574048797133595,1.4253669605502637,-0.003552662017911934,0.03348814889715346,0.0854257789297479,0.12833729382163828,0.048239838325568565,0.02983047036176706
